"Year","Color","Value"
2017,"Gray",0.17767
2017,"Green",0.00791
2017,"Gold",0.0099
2017,"Yellow",0.00323
2018,"Biege",0.01998
2018,"White",0.226
2018,"Burgundy",0.01783
2018,"Brown",0.03634
2018,"Black",0.20713
2018,"Red",0.07112
2018,"Purple",0.00368
2018,"Blue",0.11114
2018,"Silver",0.09419
2018,"Gray",0.18871
2018,"Green",0.01008
2018,"Gold",0.0099
2018,"Yellow",0.0039
2019,"Biege",0.01902
2019,"White",0.22066
2019,"Burgundy",0.01246
2019,"Brown",0.03009
2019,"Black",0.19491
2019,"Red",0.08392
2019,"Purple",0.00307
2019,"Blue",0.11884
2019,"Silver",0.08317
2019,"Gray",0.20651
2019,"Green",0.01211
2019,"Gold",0.00955
2019,"Yellow",0.00569
2020,"Biege",0.01506
2020,"White",0.22675
2020,"Burgundy",0.00914
2020,"Brown",0.02344
2020,"Black",0.19621
2020,"Red",0.08464
2020,"Purple",0.00178
2020,"Blue",0.12528
2020,"Silver",0.07748
2020,"Gray",0.21082
2020,"Green",0.01237
2020,"Gold",0.00798
2020,"Yellow",0.00905
