Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Nov. 18, 2020","Sept. 7, 2020",Class Workout,282,0,2046,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978432552
"Nov. 18, 2020","Sept. 5, 2020",Run,196,2.3322613248,899,6.424356756541796,2.0461069852063947,9.339425568,29.3240179584,,2413,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978432765
"Nov. 18, 2020","Aug. 17, 2020",Run,453,5.4739422144,1927,5.867185635886424,2.5126386900501076,10.22636723328,23.8792853376,,5226,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978433152
"Nov. 18, 2020","Aug. 17, 2020",Class Workout,384,0,2791,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978432864
"Nov. 18, 2020","Aug. 12, 2020",Run,444,5.36703349248,1887,5.8598472421061,3.0189008689254755,10.239177611519999,19.8747546624,,5118,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978433470
"Nov. 18, 2020","Aug. 10, 2020",Class Workout,241,0,1747,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978433608
"Nov. 18, 2020","July 25, 2020",Run,414,5.00050539648,1775,5.916075121291657,2.928317376521117,10.14186057984,20.489524070399998,,4809,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978433758
"Nov. 18, 2020","July 23, 2020",Run,753,9.15262900992,3159,5.752449445239799,3.3626806947427026,10.43033549184,17.8429578624,,8587,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978433863
"Nov. 18, 2020","July 17, 2020",Run,657,7.931973772800001,2822,5.929583731010896,2.2192458542114055,10.118750399999998,27.036174527999997,,7644,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978433989
"Nov. 18, 2020","July 15, 2020",Run,1085,13.06695595392,4687,5.978181171955779,1.906509733158355,10.036496828159999,31.471043788799996,,12683,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978434214
"Nov. 18, 2020","July 14, 2020",Class Workout,683,0,4953,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978434310
"Nov. 18, 2020","July 13, 2020",Run,669,7.94745566208,3064,6.425537361807046,3.0565621768869797,9.337735756799999,19.629973439999997,,8224,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978434490
"Nov. 18, 2020","July 13, 2020",Class Workout,717,0,5204,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978434400
"Nov. 18, 2020","July 10, 2020",Class Workout,661,0,4800,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978434598
"Nov. 18, 2020","July 9, 2020",Run,1081,13.090146600959999,4593,5.8479107015032215,2.3522130756382724,10.260082990079999,25.5079414656,,12461,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978434838
"Nov. 18, 2020","July 8, 2020",Run,676,8.134831584,2922,5.986606965322516,2.8605630617195574,10.02236678784,20.9749022208,,7906,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978435012
"Nov. 18, 2020","July 8, 2020",Class Workout,248,0,1802,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978434940
"Nov. 18, 2020","July 7, 2020",Class Workout,811,0,5888,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978435249
"Nov. 18, 2020","July 6, 2020",Run,445,5.3480915136,1937,6.036416080092261,2.613878698401336,9.93967869312,22.954395340799998,,5236,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978435588
"Nov. 18, 2020","July 6, 2020",Class Workout,581,0,4215,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978435324
