com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
2666,cb665d5d-60c8-4b3c-99c0-2ce2af43c85e.binning_data.json,1528136,6000,41,2021-01-08 17:36:31.806,com.sec.android.app.shealth,2021-01-09 05:22:56.710,cb665d5d-60c8-4b3c-99c0-2ce2af43c85e.source_info.json,1.3453349,2055.8557,96.570076,2625,VfS0qUERdZ,com.sec.android.app.shealth,0,cb665d5d-60c8-4b3c-99c0-2ce2af43c85e.achievement.json,cb665d5d-60c8-4b3c-99c0-2ce2af43c85e,1610150400000,
2780,3e6889c7-f5a9-4da8-afb7-9d845d7f9b18.binning_data.json,1312039,6000,838,2021-01-01 14:34:37.866,com.sec.android.app.shealth,2020-12-31 23:15:57.279,3e6889c7-f5a9-4da8-afb7-9d845d7f9b18.source_info.json,1.8550057,2433.8413,132.78088,1942,VfS0qUERdZ,com.sec.android.app.shealth,0,3e6889c7-f5a9-4da8-afb7-9d845d7f9b18.achievement.json,3e6889c7-f5a9-4da8-afb7-9d845d7f9b18,1609459200000,
5305,f6ff59a8-ae53-4df2-b9fa-fba1cee19e6a.binning_data.json,3363820,6000,0,2020-12-29 23:00:02.269,com.sec.android.app.shealth,2020-12-29 23:00:02.269,,1.157499,3893.6182,190.05106,5305,1HYa19KYyA,com.sec.android.app.shealth,0,f6ff59a8-ae53-4df2-b9fa-fba1cee19e6a.achievement.json,f6ff59a8-ae53-4df2-b9fa-fba1cee19e6a,1609200000000,
3479,ca44a421-606e-4a9b-acf7-ad3817237f48.binning_data.json,1954508,6000,0,2021-01-12 22:07:33.282,com.sec.android.app.shealth,2021-01-12 08:30:25.073,ca44a421-606e-4a9b-acf7-ad3817237f48.source_info.json,1.3508508,2640.2498,122.472626,3479,VfS0qUERdZ,com.sec.android.app.shealth,0,ca44a421-606e-4a9b-acf7-ad3817237f48.achievement.json,ca44a421-606e-4a9b-acf7-ad3817237f48,1610409600000,
2760,31fe654d-51a6-4158-b9f5-63d6e36b9728.binning_data.json,1243451,6000,299,2021-01-04 15:23:11.316,com.sec.android.app.shealth,2021-01-04 07:22:45.790,31fe654d-51a6-4158-b9f5-63d6e36b9728.source_info.json,1.8522805,2303.2205,108.75899,2461,VfS0qUERdZ,com.sec.android.app.shealth,0,31fe654d-51a6-4158-b9f5-63d6e36b9728.achievement.json,31fe654d-51a6-4158-b9f5-63d6e36b9728,1609718400000,
2780,ff63e939-c1d6-48fe-89de-649193273626.binning_data.json,1312039,6000,838,2021-01-01 23:00:13.490,com.sec.android.app.shealth,2021-01-01 23:00:13.490,,1.8550057,2433.8413,132.78088,1942,1HYa19KYyA,com.sec.android.app.shealth,0,ff63e939-c1d6-48fe-89de-649193273626.achievement.json,ff63e939-c1d6-48fe-89de-649193273626,1609459200000,
4737,1af19bb8-2ee0-48ef-a2a4-6fffad55c92a.binning_data.json,3049670,6000,0,2021-01-07 21:03:50.094,com.sec.android.app.shealth,2021-01-07 11:44:38.131,1af19bb8-2ee0-48ef-a2a4-6fffad55c92a.source_info.json,1.1374854,3468.9563,170.11984,4737,VfS0qUERdZ,com.sec.android.app.shealth,0,1af19bb8-2ee0-48ef-a2a4-6fffad55c92a.achievement.json,1af19bb8-2ee0-48ef-a2a4-6fffad55c92a,1609977600000,
2760,a0cf9816-d8a9-49dc-a598-6a9117ec8e2d.binning_data.json,1243451,6000,299,2021-01-04 23:00:02.105,com.sec.android.app.shealth,2021-01-04 23:00:02.105,,1.8522805,2303.2205,108.75899,2461,1HYa19KYyA,com.sec.android.app.shealth,0,a0cf9816-d8a9-49dc-a598-6a9117ec8e2d.achievement.json,a0cf9816-d8a9-49dc-a598-6a9117ec8e2d,1609718400000,
71,d37b2713-b45c-4e82-a510-47cd360e1892.binning_data.json,45068,6000,0,2021-01-15 20:33:01.584,com.sec.android.app.shealth,2021-01-15 07:31:12.778,d37b2713-b45c-4e82-a510-47cd360e1892.source_info.json,1.1907111,53.663776,2.5085225,71,VfS0qUERdZ,com.sec.android.app.shealth,0,d37b2713-b45c-4e82-a510-47cd360e1892.achievement.json,d37b2713-b45c-4e82-a510-47cd360e1892,1610668800000,
4737,04ce11bf-efcf-4ba8-adef-1da1bee9b6c4.binning_data.json,3049670,6000,0,2021-01-07 23:00:01.889,com.sec.android.app.shealth,2021-01-07 23:00:01.889,,1.1374854,3468.9563,170.11984,4737,1HYa19KYyA,com.sec.android.app.shealth,0,04ce11bf-efcf-4ba8-adef-1da1bee9b6c4.achievement.json,04ce11bf-efcf-4ba8-adef-1da1bee9b6c4,1609977600000,
2663,faa6a581-2cfd-42bb-af41-feb1be18e4f6.binning_data.json,1570830,6000,13,2021-01-11 21:04:24.979,com.sec.android.app.shealth,2021-01-10 09:46:14.406,faa6a581-2cfd-42bb-af41-feb1be18e4f6.source_info.json,1.2804203,2011.3229,95.38018,2650,VfS0qUERdZ,com.sec.android.app.shealth,0,faa6a581-2cfd-42bb-af41-feb1be18e4f6.achievement.json,faa6a581-2cfd-42bb-af41-feb1be18e4f6,1610236800000,
3284,81e2c6ec-0186-4248-bb88-fd93c6d281b8.binning_data.json,1938726,6000,0,2021-01-13 14:57:14.251,com.sec.android.app.shealth,2021-01-13 07:15:21.890,81e2c6ec-0186-4248-bb88-fd93c6d281b8.source_info.json,1.2709389,2464.003,116.17499,3284,VfS0qUERdZ,com.sec.android.app.shealth,0,81e2c6ec-0186-4248-bb88-fd93c6d281b8.achievement.json,81e2c6ec-0186-4248-bb88-fd93c6d281b8,1610496000000,
2663,4c62183d-61ae-4275-a1f1-437d60492c52.binning_data.json,1570830,6000,13,2021-01-11 21:04:23.348,com.sec.android.app.shealth,2021-01-10 23:00:01.992,,1.2804203,2011.3229,95.38018,2650,1HYa19KYyA,com.sec.android.app.shealth,0,4c62183d-61ae-4275-a1f1-437d60492c52.achievement.json,4c62183d-61ae-4275-a1f1-437d60492c52,1610236800000,
3284,3335460c-bef1-443c-b439-7d575f27c9e4.binning_data.json,1938726,6000,0,2021-01-13 23:00:21.166,com.sec.android.app.shealth,2021-01-13 23:00:21.166,,1.2709389,2464.003,116.17499,3284,1HYa19KYyA,com.sec.android.app.shealth,0,3335460c-bef1-443c-b439-7d575f27c9e4.achievement.json,3335460c-bef1-443c-b439-7d575f27c9e4,1610496000000,
