"Kod","Nazwa","Gestosc_zaludnienia","Procent_chorych","woj","Wojewodztwo"
1215000,"Powiat suski",122.87,30.1940537653552,12,"MAŁOPOLSKIE"
1216000,"Powiat tarnowski",142.8,14.5259711266558,12,"MAŁOPOLSKIE"
1263000,"Powiat m.Tarnów",1506.8,21.6207294933157,12,"MAŁOPOLSKIE"
1217000,"Powiat tatrzański",144.48,26.2964810847298,12,"MAŁOPOLSKIE"
1218000,"Powiat wadowicki",247.93,23.3123087491413,12,"MAŁOPOLSKIE"
1219000,"Powiat wielicki",309.36,21.844851193755,12,"MAŁOPOLSKIE"
1401000,"Powiat białobrzeski",52.5,18.8369944263956,14,"MAZOWIECKIE"
1402000,"Powiat ciechanowski",84.61,15.4566744730679,14,"MAZOWIECKIE"
1403000,"Powiat garwoliński",84.83,24.6529593643628,14,"MAZOWIECKIE"
1404000,"Powiat gostyniński",73.52,17.0342676371037,14,"MAZOWIECKIE"
1405000,"Powiat grodziski",256.35,13.5932235814265,14,"MAZOWIECKIE"
1406000,"Powiat grójecki",77.66,13.7936638530843,14,"MAZOWIECKIE"
1407000,"Powiat kozienicki",66.01,20.009260484191,14,"MAZOWIECKIE"
1408000,"Powiat legionowski",298.84,19.0023549561122,14,"MAZOWIECKIE"
1409000,"Powiat lipski",46.22,23.236102180394,14,"MAZOWIECKIE"
1410000,"Powiat łosicki",40.16,22.2737968603939,14,"MAZOWIECKIE"
1411000,"Powiat makowski",42.5,13.5699604393661,14,"MAZOWIECKIE"
1412000,"Powiat miński",132.18,19.9318701893073,14,"MAZOWIECKIE"
1413000,"Powiat mławski",61.86,8.97376268775136,14,"MAZOWIECKIE"
1414000,"Powiat nowodworski",114.12,15.1845732807002,14,"MAZOWIECKIE"
1415000,"Powiat ostrołęcki",42.38,15.5744632895701,14,"MAZOWIECKIE"
1416000,"Powiat ostrowski",59.77,13.6847022615482,14,"MAZOWIECKIE"
1417000,"Powiat otwocki",201.38,25.0088683930472,14,"MAZOWIECKIE"
1418000,"Powiat piaseczyński",297.83,17.3289141448276,14,"MAZOWIECKIE"
1419000,"Powiat płocki",61.83,23.3688607230304,14,"MAZOWIECKIE"
1420000,"Powiat płoński",63.35,14.929812719514,14,"MAZOWIECKIE"
1421000,"Powiat pruszkowski",666.83,18.0893813930833,14,"MAZOWIECKIE"
1422000,"Powiat przasnyski",43.35,13.3840678479479,14,"MAZOWIECKIE"
1423000,"Powiat przysuski",52.32,18.0811984161061,14,"MAZOWIECKIE"
1424000,"Powiat pułtuski",62.62,13.1830376961532,14,"MAZOWIECKIE"
1425000,"Powiat radomski",99.44,34.5983683611957,14,"MAZOWIECKIE"
1426000,"Powiat siedlecki",50.73,38.9541744517652,14,"MAZOWIECKIE"
1427000,"Powiat sierpecki",61.26,7.79753237796,14,"MAZOWIECKIE"
1428000,"Powiat sochaczewski",115.82,19.5170671523412,14,"MAZOWIECKIE"
1429000,"Powiat sokołowski",47.93,16.544626224247,14,"MAZOWIECKIE"
1430000,"Powiat szydłowiecki",88.23,14.2986152919928,14,"MAZOWIECKIE"
1432000,"Powiat warszawski zachodni",219.2,16.4605536420898,14,"MAZOWIECKIE"
1465000,"Powiat m. st. Warszawa",3437.42,23.1685313379513,14,"MAZOWIECKIE"
1433000,"Powiat węgrowski",54.21,14.8245534499955,14,"MAZOWIECKIE"
1434000,"Powiat wołomiński",257.31,19.1272309328856,14,"MAZOWIECKIE"
1435000,"Powiat wyszkowski",84.51,16.0264632417471,14,"MAZOWIECKIE"
1436000,"Powiat zwoleński",63.59,15.9931733098436,14,"MAZOWIECKIE"
1437000,"Powiat żuromiński",48.28,12.7105587510271,14,"MAZOWIECKIE"
1438000,"Powiat żyrardowski",142.43,12.9469465246282,14,"MAZOWIECKIE"
1601000,"Powiat brzeski",103.06,9.22736084187206,16,"OPOLSKIE"
1602000,"Powiat głubczycki",68.21,21.7291807423229,16,"OPOLSKIE"
1603000,"Powiat kędzierzyńsko-kozielski",151.15,25.4849873527575,16,"OPOLSKIE"
1604000,"Powiat kluczborski",77.28,19.8520588726704,16,"OPOLSKIE"
1605000,"Powiat krapkowicki",144.73,21.8948422007444,16,"OPOLSKIE"
1606000,"Powiat namysłowski",57.06,27.7595577211394,16,"OPOLSKIE"
1607000,"Powiat nyski",111.89,21.1689278985878,16,"OPOLSKIE"
1608000,"Powiat oleski",66.37,25.1385406024581,16,"OPOLSKIE"
1609000,"Powiat opolski",80.51,13.860103626943,16,"OPOLSKIE"
1661000,"Powiat m.Opole",860.67,17.434464674528,16,"OPOLSKIE"
1610000,"Powiat prudnicki",97.15,28.6722858583676,16,"OPOLSKIE"
1611000,"Powiat strzelecki",100.32,31.6346347016674,16,"OPOLSKIE"
1801000,"Powiat bieszczadzki",19.21,15.0829562594268,18,"PODKARPACKIE"
1802000,"Powiat brzozowski",121.84,16.937287903459,18,"PODKARPACKIE"
1803000,"Powiat dębicki",174.24,17.9152733795425,18,"PODKARPACKIE"
1804000,"Powiat jarosławski",117.35,23.659227595805,18,"PODKARPACKIE"
1805000,"Powiat jasielski",137.16,15.382320422597,18,"PODKARPACKIE"
1806000,"Powiat kolbuszowski",80.8,17.5427364107817,18,"PODKARPACKIE"
1807000,"Powiat krośnieński",113.19,15.4429163627306,18,"PODKARPACKIE"
1861000,"Powiat m.Krosno",1069.22,17.6087377179592,18,"PODKARPACKIE"
1808000,"Powiat leżajski",119.17,20.5572007705356,18,"PODKARPACKIE"
1809000,"Powiat lubaczowski",42.54,14.8422338819809,18,"PODKARPACKIE"
1810000,"Powiat łańcucki",178.9,23.7647524556499,18,"PODKARPACKIE"
1811000,"Powiat mielecki",155.22,17.7503969328251,18,"PODKARPACKIE"
1812000,"Powiat niżański",85.08,11.1604805290008,18,"PODKARPACKIE"
1813000,"Powiat przemyski",61.42,21.7344552272911,18,"PODKARPACKIE"
1862000,"Powiat m.Przemyśl",1326.64,28.3913732020702,18,"PODKARPACKIE"
1814000,"Powiat przeworski",112.4,22.3559101684978,18,"PODKARPACKIE"
1815000,"Powiat ropczycko-sędziszowski",135.64,16.9548498131067,18,"PODKARPACKIE"
1816000,"Powiat rzeszowski",147.82,22.6822143753739,18,"PODKARPACKIE"
1863000,"Powiat m.Rzeszów",1590.93,29.5775824267608,18,"PODKARPACKIE"
1817000,"Powiat sanocki",81.94,16.5474155216446,18,"PODKARPACKIE"
1818000,"Powiat stalowowolski",128.19,11.7052307750026,18,"PODKARPACKIE"
1819000,"Powiat strzyżowski",122.27,19.493810715098,18,"PODKARPACKIE"
1820000,"Powiat tarnobrzeski",102.17,13.0926440754377,18,"PODKARPACKIE"
1864000,"Powiat m.Tarnobrzeg",550.9,14.9425043042064,18,"PODKARPACKIE"
1821000,"Powiat leski",31.81,22.0615917476094,18,"PODKARPACKIE"
2001000,"Powiat augustowski",35.17,11.3762913975363,20,"PODLASKIE"
2002000,"Powiat białostocki",49.77,16.9428600357758,20,"PODLASKIE"
2061000,"Powiat m.Białystok",2912.55,18.4428778419883,20,"PODLASKIE"
2003000,"Powiat bielski",39.61,21.4716657856843,20,"PODLASKIE"
2004000,"Powiat grajewski",49.11,11.2378467107201,20,"PODLASKIE"
2005000,"Powiat hajnowski",26.57,19.6787427856199,20,"PODLASKIE"
2006000,"Powiat kolneński",40.84,10.5740181268882,20,"PODLASKIE"
2007000,"Powiat łomżyński",37.65,9.27450980392157,20,"PODLASKIE"
2062000,"Powiat m.Łomża",1928.37,19.4920634920635,20,"PODLASKIE"
2008000,"Powiat moniecki",29.46,9.89880133621537,20,"PODLASKIE"
2009000,"Powiat sejneński",23.49,14.1847501493132,20,"PODLASKIE"
2010000,"Powiat siemiatycki",30.62,11.5688424444494,20,"PODLASKIE"
2011000,"Powiat sokólski",32.84,14.7481694483147,20,"PODLASKIE"
2012000,"Powiat suwalski",27.38,11.2036209208762,20,"PODLASKIE"
2063000,"Powiat m.Suwałki",1065.9,18.9038624027955,20,"PODLASKIE"
2013000,"Powiat wysokomazowiecki",44.42,13.0484907769704,20,"PODLASKIE"
2014000,"Powiat zambrowski",59.77,14.7206499908709,20,"PODLASKIE"
2201000,"Powiat bytowski",36.18,23.304203079484,22,"POMORSKIE"
2202000,"Powiat chojnicki",71.51,19.1079537882749,22,"POMORSKIE"
2203000,"Powiat człuchowski",35.78,9.50860386730531,22,"POMORSKIE"
2204000,"Powiat gdański",146.39,19.0707321061283,22,"POMORSKIE"
2261000,"Powiat m.Gdańsk",1781.31,13.7089048948741,22,"POMORSKIE"
2262000,"Powiat m.Gdynia",1822.62,15.8256498950505,22,"POMORSKIE"
2205000,"Powiat kartuski",121.92,23.8839400083444,22,"POMORSKIE"
2206000,"Powiat kościerski",62.22,19.6062210456651,22,"POMORSKIE"
2207000,"Powiat kwidzyński",99.79,14.4193250171087,22,"POMORSKIE"
2208000,"Powiat lęborski",93.88,16.7471333735667,22,"POMORSKIE"
2209000,"Powiat malborski",128.98,20.4241701700446,22,"POMORSKIE"
2210000,"Powiat nowodworski",53.03,19.2189335869748,22,"POMORSKIE"
2211000,"Powiat pucki",147.5,21.2887572031822,22,"POMORSKIE"
2212000,"Powiat słupski",42.88,12.6902525906736,22,"POMORSKIE"
2263000,"Powiat m.Słupsk",2109.08,18.2073906402804,22,"POMORSKIE"
2264000,"Powiat m.Sopot",2086,17.1170171447595,22,"POMORSKIE"
2213000,"Powiat starogardzki",95.15,18.5228586606669,22,"POMORSKIE"
2214000,"Powiat tczewski",166.22,19.546756878042,22,"POMORSKIE"
2215000,"Powiat wejherowski",167.99,13.1861718880264,22,"POMORSKIE"
2216000,"Powiat sztumski",56.89,13.591859318242,22,"POMORSKIE"
2401000,"Powiat będziński",408.54,21.0739301703392,24,"ŚLĄSKIE"
2402000,"Powiat bielski",359.76,25.9818181818182,24,"ŚLĄSKIE"
2461000,"Powiat m.Bielsko-Biała",1375.46,21.6455777506584,24,"ŚLĄSKIE"
2414000,"Powiat bieruńsko-lędziński",377.87,20.1472556894244,24,"ŚLĄSKIE"
2462000,"Powiat m.Bytom",2402,17.3746215414131,24,"ŚLĄSKIE"
2463000,"Powiat m.Chorzów",3262.15,18.0017337735397,24,"ŚLĄSKIE"
2403000,"Powiat cieszyński",243.93,30.4312924177187,24,"ŚLĄSKIE"
2404000,"Powiat częstochowski",88.64,20.2714221125268,24,"ŚLĄSKIE"
2464000,"Powiat m.Częstochowa",1391.85,25.9928382487899,24,"ŚLĄSKIE"
2465000,"Powiat m.Dąbrowa Górnicza",637.2,19.524526230885,24,"ŚLĄSKIE"
2405000,"Powiat gliwicki",173.94,24.7754374426695,24,"ŚLĄSKIE"
2466000,"Powiat m.Gliwice",1343.04,18.9760074747228,24,"ŚLĄSKIE"
2467000,"Powiat m.Jastrzębie-Zdrój",1044.51,33.1433444035544,24,"ŚLĄSKIE"
2468000,"Powiat m.Jaworzno",600.06,15.2463331258259,24,"ŚLĄSKIE"
2469000,"Powiat m.Katowice",1788.81,18.9059794234491,24,"ŚLĄSKIE"
2406000,"Powiat kłobucki",95.57,19.5586642174179,24,"ŚLĄSKIE"
2407000,"Powiat lubliniecki",93.15,26.4515034010941,24,"ŚLĄSKIE"
2408000,"Powiat mikołowski",422.02,21.76410193854,24,"ŚLĄSKIE"
2470000,"Powiat m.Mysłowice",1136.64,18.1133188534041,24,"ŚLĄSKIE"
2409000,"Powiat myszkowski",148.4,20.6133382077926,24,"ŚLĄSKIE"
2471000,"Powiat m.Piekary Śląskie",1383.17,18.4994303694461,24,"ŚLĄSKIE"
2410000,"Powiat pszczyński",236.02,26.6002410028597,24,"ŚLĄSKIE"
2411000,"Powiat raciborski",199.56,26.2733497368979,24,"ŚLĄSKIE"
2472000,"Powiat m.Ruda Śląska",1775.38,32.2173913043478,24,"ŚLĄSKIE"
2412000,"Powiat rybnicki",349.24,32.2390658609034,24,"ŚLĄSKIE"
2473000,"Powiat m.Rybnik",934.86,32.3152794601142,24,"ŚLĄSKIE"
2474000,"Powiat m.Siemianowice Śląskie",2633.49,12.434106680168,24,"ŚLĄSKIE"
2475000,"Powiat m.Sosnowiec",2218.71,13.0768773881882,24,"ŚLĄSKIE"
2476000,"Powiat m.Świętochłowice",3757.48,18.015676237703,24,"ŚLĄSKIE"
2413000,"Powiat tarnogórski",217.07,19.4374718414108,24,"ŚLĄSKIE"
2477000,"Powiat m.Tychy",1562.54,15.9272789855356,24,"ŚLĄSKIE"
2415000,"Powiat wodzisławski",549.66,29.8890975535479,24,"ŚLĄSKIE"
2478000,"Powiat m.Zabrze",2156.39,17.5055083230473,24,"ŚLĄSKIE"
2416000,"Powiat zawierciański",118.17,22.1726868973437,24,"ŚLĄSKIE"
2479000,"Powiat m.Żory",966.21,27.7475342641219,24,"ŚLĄSKIE"
2417000,"Powiat żywiecki",147.32,27.1298604675447,24,"ŚLĄSKIE"
2601000,"Powiat buski",74.44,12.0874850814622,26,"ŚWIĘTOKRZYSKIE"
2602000,"Powiat jędrzejowski",68.48,13.3602862586551,26,"ŚWIĘTOKRZYSKIE"
2603000,"Powiat kazimierski",80.18,15.5386842338483,26,"ŚWIĘTOKRZYSKIE"
2604000,"Powiat kielecki",93.81,50.3431516796871,26,"ŚWIĘTOKRZYSKIE"
2605000,"Powiat konecki",70.76,16.0078365241543,26,"ŚWIĘTOKRZYSKIE"
2606000,"Powiat opatowski",57.72,9.92829564258136,26,"ŚWIĘTOKRZYSKIE"
2607000,"Powiat ostrowiecki",178.55,12.02248313311,26,"ŚWIĘTOKRZYSKIE"
2608000,"Powiat pińczowski",64.08,15.5076264928319,26,"ŚWIĘTOKRZYSKIE"
2609000,"Powiat sandomierski",115.07,14.9152019338331,26,"ŚWIĘTOKRZYSKIE"
2610000,"Powiat skarżyski",189.2,17.335632276087,26,"ŚWIĘTOKRZYSKIE"
2611000,"Powiat starachowicki",172.67,14.3067373336136,26,"ŚWIĘTOKRZYSKIE"
2612000,"Powiat staszowski",78.04,10.5449859353998,26,"ŚWIĘTOKRZYSKIE"
2613000,"Powiat włoszczowski",49.94,9.88177166049056,26,"ŚWIĘTOKRZYSKIE"
2801000,"Powiat bartoszycki",44.3,14.1929691277022,28,"WARMIŃSKO-MAZURSKIE"
2802000,"Powiat braniewski",34.45,7.92442801575222,28,"WARMIŃSKO-MAZURSKIE"
2803000,"Powiat działdowski",68.6,18.3826900155863,28,"WARMIŃSKO-MAZURSKIE"
2804000,"Powiat elbląski",40.65,10.5475334063146,28,"WARMIŃSKO-MAZURSKIE"
2861000,"Powiat m.Elbląg",1505.16,13.3675151071232,28,"WARMIŃSKO-MAZURSKIE"
2805000,"Powiat ełcki",82.1,16.035639619523,28,"WARMIŃSKO-MAZURSKIE"
2806000,"Powiat giżycki",50.7,12.8096698030095,28,"WARMIŃSKO-MAZURSKIE"
2807000,"Powiat iławski",67.15,12.1479251773812,28,"WARMIŃSKO-MAZURSKIE"
2808000,"Powiat kętrzyński",51.88,10.6000889962494,28,"WARMIŃSKO-MAZURSKIE"
2809000,"Powiat lidzbarski",44.88,9.6116785507805,28,"WARMIŃSKO-MAZURSKIE"
2810000,"Powiat mrągowski",47.01,12.4800319488818,28,"WARMIŃSKO-MAZURSKIE"
2811000,"Powiat nidzicki",34.42,13.5176000967703,28,"WARMIŃSKO-MAZURSKIE"
2812000,"Powiat nowomiejski",63.4,17.9330408891515,28,"WARMIŃSKO-MAZURSKIE"
2813000,"Powiat olecki",39.42,17.1056835012924,28,"WARMIŃSKO-MAZURSKIE"
2814000,"Powiat olsztyński",44.4,11.4190036344014,28,"WARMIŃSKO-MAZURSKIE"
2862000,"Powiat m.Olsztyn",1951.34,15.4732481637484,28,"WARMIŃSKO-MAZURSKIE"
2815000,"Powiat ostródzki",59.32,16.1862950944837,28,"WARMIŃSKO-MAZURSKIE"
2816000,"Powiat piski",31.88,9.75782216722645,28,"WARMIŃSKO-MAZURSKIE"
2817000,"Powiat szczycieński",36.15,8.70000715461115,28,"WARMIŃSKO-MAZURSKIE"
2818000,"Powiat gołdapski",34.84,12.0038650215549,28,"WARMIŃSKO-MAZURSKIE"
2819000,"Powiat węgorzewski",33,28.9424211952958,28,"WARMIŃSKO-MAZURSKIE"
3001000,"Powiat chodzieski",68.94,21.3216455991022,30,"WIELKOPOLSKIE"
