,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazowieckie,,33486,32787,34160,32384,29799,33723,28288,29025,25103,25510,25280,27893,30706,27326,31680,31910,26992,25218,25635,29155,34271,33480,58475,69390,83297,82509,56417,,,,
Małopolskie,,12737,13780,13239,9232,9565,10830,10087,10664,10921,11722,14572,16115,18468,15993,17739,16826,14421,11098,12242,12403,15334,19326,25257,24098,26954,18328,15780,,,,
Wielkopolskie,,21664,20659,17452,10064,13059,10330,8638,11615,11166,10839,9790,11881,12580,12680,11911,10921,16690,11514,12350,13649,17611,23665,31751,45093,54068,50535,38233,,,,
Dolnośląskie,,11851,12303,12565,11275,8851,11247,7913,7730,21639,9520,9871,10667,12438,11776,13038,7806,15446,10627,9219,9842,12992,17162,23624,23936,28258,25837,36051,,,,
Łódzkie,,5613,5175,4865,7410,8557,10660,9889,9361,10449,9570,9536,10122,10681,11644,12437,11197,12651,8935,9595,10738,12604,15728,22395,29034,27154,31318,24608,,,,
Kujawsko-Pomorskie,,8463,9257,11309,5059,4632,6173,7119,6556,6352,6535,6949,7062,7117,7647,9674,9397,7523,8129,9825,10262,14137,16428,19708,21999,25058,25733,21751,,,,
Podkarpackie,,2182,2040,1821,1668,2010,2339,2861,2356,2692,3511,2832,2898,3282,3174,2891,2996,2381,1432,2105,3512,1486,2422,6885,5531,10207,7959,7302,,,,
Pomorskie,,8574,7906,8962,11943,7818,10352,9649,9582,7870,9514,9656,10794,11745,13693,16064,16687,14604,12700,13179,13652,14895,19842,17991,17100,45572,50942,43337,,,,
Lubelskie,,5591,5052,5827,5197,4156,5785,6169,5085,6166,6085,5013,5944,6345,5587,6068,6351,5510,5013,5219,5461,8558,10569,15345,14963,14676,14139,13584,,,,
Zachodniopomorskie,,4244,3516,5117,4203,4405,5773,5853,5455,5757,6315,6651,7234,9222,7542,8482,8068,6839,5252,8506,8321,9541,11265,16645,16 522,18 044,17 682,15 757,,,,
Świętokrzyskie *,,dane niepoprawne,,,,,,,,,,,,,3481,3617,4443,3972,3225,3027,4058,5944,8835,9352,9043,9785,8419,6919,,,,
Opolskie,,803,734,1013,1169,1115,1339,1422,1311,1222,1190,1224,1420,1826,2072,2000,1852,1742,1883,1863,1946,1766,2372,3406,3788,3248,3434,3265,,,,
Podlaskie,,2554,2299,2887,3604,3594,3910,4006,3932,3676,3145,2597,3155,3435,2960,3509,3339,3554,3209,3048,3547,6257,4926,10738,11864,10939,11298,8308,,,,
Warmińsko-Mazurskie,,2881,3590,3265,2426,2066,4200,3597,3079,3062,2819,3068,3218,3451,4046,4125,3583,3099,2822,2905,3067,4160,5412,7428,9126,12007,11215,9391,,,,
Lubuskie,,1704,1927,1779,1746,1610,1445,1182,1685,1636,1842,1606,1570,1490,1580,1629,1878,2105,1627,1551,1796,2281,2622,3315,3842,3499,3426,3002,,,,
,,135803,134183,142540,123148,116447,134009,120466,128952,130911,121680,121707,135942,159641,151692,166608,158611,155891,128097,135852,147848,184285,226684,318540,371000,453263,454871,356444,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Suma osób z wynikiem pozytywnym:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Województwo,11.05,18.05,25.05,01.06,08.06,15.06,22.06,29.06,06.07,13.07,20.07,27.07,03.08,10.08,17.08,24.08,31.08,07.09,14.09,21.09,28.09,05.10,12.10,19.10,26.10,02.11,09.11,16.11,,,,
Śląskie,3569,5547,7143,8451,9968,11033,11958,12605,13315,13873,14421,15439,16721,17946,18877,19814,20497,20852,21227,21663,22370,23415,25812,30788,38562,50612,75884,102329,26445,,,
Mazowieckie,2791,3003,3283,3628,3953,4414,4759,5002,5208,5449,5704,6119,6636,7247,7983,8666,9370,9958,10427,11223,12430,14031,17685,25318,36946,56526,74892,88503,13611,,,
Małopolskie,1047,1133,1176,1231,1389,1517,1622,1701,1863,2086,2534,3132,3846,4693,5568,6497,7488,8256,8846,9628,10844,12475,16378,24210,33641,46464,63878,79281,15403,,,
Wielkopolskie,1672,1810,2040,2155,2286,2400,2474,2643,2950,3250,3453,3596,3950,4457,4773,5195,5699,6038,6376,6842,7591,8753,11312,15786,23074,37679,55975,75285,19310,,,
Dolnośląskie,2002,2226,2455,2630,2724,2767,2857,2913,2941,2975,3073,3170,3306,3501,3688,3878,4059,4195,4381,4687,5030,5572,7031,9810,13808,20211,35025,51491,16466,,,
Łódzkie,1175,1248,1359,1602,2081,2476,2875,3104,3275,3435,3627,3821,4052,4297,4640,5023,5292,5507,5651,6025,6569,7410,9499,13676,19153,30332,40908,50796,9888,,,
Kujawsko-Pomorskie,574,582,592,593,602,626,652,669,684,696,724,750,819,887,1016,1153,1333,1475,1631,1827,2487,3530,5450,8401,14182,24827,34688,42524,7836,,,
Podkarpackie,371,374,379,388,397,473,558,648,775,959,1098,1189,1395,1645,1879,2121,2436,2746,2960,3291,3677,4635,6533,10109,15818,23873,34370,42228,7858,,,
Pomorskie,481,502,540,558,569,588,617,666,688,713,746,832,963,1208,1626,2105,2544,2812,3127,3669,4629,6027,8097,11235,15665,22410,31799,40182,8383,,,
Lubelskie,388,409,446,495,515,544,606,651,718,822,882,927,1014,1130,1268,1394,1587,1727,1858,2169,2577,3273,4840,7393,11589,20214,30117,37882,7765,,,
Zachodniopomorskie,473,497,521,536,554,583,597,609,621,637,660,697,761,873,980,1045,1125,1176,1245,1403,1680,2144,3070,4758,7943,12059,17643,24520,6877,,,
Świętokrzyskie,325,352,391,485,554,624,718,789,838,860,889,949,984,1086,1181,1302,1426,1543,1638,1785,2028,2468,3664,5414,8243,11806,17091,22738,5647,,,
Opolskie,490,551,598,652,737,803,852,940,973,1010,1040,1130,1207,1323,1441,1545,1630,1719,1823,2097,2289,2583,3309,5229,7977,11076,15832,21110,5278,,,
Podlaskie,384,389,423,458,524,621,726,823,880,902,915,947,998,1071,1147,1204,1299,1378,1471,1605,1940,2496,3260,4528,6181,9912,14500,19128,4628,,,
Warmińsko-Mazurskie,162,170,175,179,181,186,211,242,274,284,298,338,385,496,623,739,890,992,1077,1222,1526,1990,2640,3911,6154,9874,14613,20391,5778,,,
Lubuskie,92,92,108,118,126,133,145,149,152,239,319,366,432,550,589,629,697,752,791,852,969,1278,1630,2682,4993,7605,10923,15400,4477,,,
,15996,18885,21629,24159,27160,29788,32227,34154,36155,38190,40383,43402,47469,52410,57279,62310,67372,71126,74529,79988,88636,102080,130210,183248,263929,395480,568138,733788,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Udział wyników pozytywnych w tygodniowej liczbie testów,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Województwo,,11-18.05,18-25.05,25-01.06,01-08.06,08-15.06,15-22.06,22-29.06,29-06.07,06-13.07,13-20.07,20-27.07,27-03.08,03-10.08,10-17.08,17-24.08,24-31.08,31-07.09,07-14.09,14-21.09,21-28.09,28-05.10,05-12.10,12-19.10,19-26.10,26-02.11,02-09.11,09-16.11,,,,
Śląskie,→,"14,70%","12,13%","7,16%","9,62%","7,00%","5,82%","4,69%","3,30%","4,23%","4,04%","7,79%","8,03%","4,56%","4,54%","4,31%","3,20%","1,93%","2,43%","2,80%","4,30%","4,66%","7,35%","10,76%","11,84%","14,97%","27,44%","50,14%",,,,
Mazowieckie,,"0,63%","0,85%","1,01%","1,00%","1,55%","1,02%","0,86%","0,71%","0,96%","1,00%","1,64%","1,85%","1,99%","2,69%","2,16%","2,21%","2,18%","1,86%","3,11%","4,14%","4,67%","10,91%","13,05%","16,76%","23,51%","22,26%","24,13%",,,,
Małopolskie,,"0,68%","0,31%","0,42%","1,71%","1,34%","0,97%","0,78%","1,52%","2,04%","3,82%","4,10%","4,43%","4,59%","5,47%","5,24%","5,89%","5,33%","5,32%","6,39%","9,80%","10,64%","20,20%","31,01%","39,14%","47,57%","95,01%","97,61%",,,,
Wielkopolskie,,"0,64%","1,11%","0,66%","1,30%","0,87%","0,72%","1,96%","2,64%","2,69%","1,87%","1,46%","2,98%","4,03%","2,49%","3,54%","4,61%","2,03%","2,94%","3,77%","5,49%","6,60%","10,81%","14,09%","16,16%","27,01%","36,20%","50,51%",,,,
Dolnośląskie,,"1,89%","1,86%","1,39%","0,83%","0,49%","0,80%","0,71%","0,36%","0,16%","1,03%","0,98%","1,27%","1,57%","1,59%","1,46%","2,32%","0,88%","1,75%","3,32%","3,49%","4,17%","8,50%","11,76%","16,70%","22,66%","57,34%","45,67%",,,,
Łódzkie,,"1,30%","2,14%","4,99%","6,46%","4,62%","3,74%","2,32%","1,83%","1,53%","2,01%","2,03%","2,28%","2,29%","2,95%","3,08%","2,40%","1,70%","1,61%","3,90%","5,07%","6,67%","13,28%","18,65%","18,86%","41,17%","33,77%","40,18%",,,,
Kujawsko-Pomorskie,,"0,09%","0,11%","0,01%","0,18%","0,52%","0,42%","0,24%","0,23%","0,19%","0,43%","0,37%","0,98%","0,96%","1,69%","1,42%","1,92%","1,89%","1,92%","1,99%","6,43%","7,38%","11,69%","14,97%","26,28%","42,48%","38,32%","36,03%",,,,
Podkarpackie,,"0,14%","0,25%","0,49%","0,54%","3,78%","3,63%","3,15%","5,39%","6,84%","3,96%","3,21%","7,11%","7,62%","7,37%","8,37%","10,51%","13,02%","14,94%","15,72%","10,99%","64,47%","78,36%","51,94%","103,22%","78,92%","131,89%","107,61%",,,,
Pomorskie,,"0,24%","0,48%","0,20%","0,09%","0,24%","0,28%","0,51%","0,23%","0,32%","0,35%","0,89%","1,21%","2,09%","3,05%","2,98%","2,63%","1,84%","2,48%","4,11%","7,03%","9,39%","10,43%","17,44%","25,91%","14,80%","18,43%","19,34%",,,,
Lubelskie,,"0,38%","0,73%","0,84%","0,38%","0,70%","1,07%","0,73%","1,32%","1,69%","0,99%","0,90%","1,46%","1,83%","2,47%","2,08%","3,04%","2,54%","2,61%","5,96%","7,47%","8,13%","14,83%","16,64%","28,04%","58,77%","70,04%","57,16%",,,,
Zachodniopomorskie,,"0,57%","0,68%","0,29%","0,43%","0,66%","0,24%","0,21%","0,22%","0,28%","0,36%","0,56%","0,88%","1,21%","1,42%","0,77%","0,99%","0,75%","1,31%","1,86%","3,33%","4,86%","8,22%","10,14%","19,28%","22,81%","31,58%","43,64%",,,,
Świętokrzyskie *,,dane niepoprawne,,,,,,,,,,,,,"2,73%","3,35%","2,79%","2,95%","2,95%","4,86%","5,99%","7,40%","13,54%","18,71%","31,28%","36,41%","62,77%","81,62%",,,,
Opolskie,,"7,60%","6,40%","5,33%","7,27%","5,92%","3,66%","6,19%","2,52%","3,03%","2,52%","7,35%","5,42%","6,35%","5,69%","5,20%","4,59%","5,11%","5,52%","14,71%","9,87%","16,65%","30,61%","56,37%","72,54%","95,41%","138,50%","161,65%",,,,
Podlaskie,,"0,20%","1,48%","1,21%","1,83%","2,70%","2,69%","2,42%","1,45%","0,60%","0,41%","1,23%","1,62%","2,13%","2,57%","1,62%","2,85%","2,22%","2,90%","4,40%","9,44%","8,89%","15,51%","11,81%","13,93%","34,11%","40,61%","55,71%",,,,
Warmińsko-Mazurskie,,"0,28%","0,14%","0,12%","0,08%","0,24%","0,60%","0,86%","1,04%","0,33%","0,50%","1,30%","1,46%","3,22%","3,14%","2,81%","4,21%","3,29%","3,01%","4,99%","9,91%","11,15%","12,01%","17,11%","24,58%","30,98%","42,26%","61,53%",,,,
Lubuskie,,"0,00%","0,83%","0,56%","0,46%","0,43%","0,83%","0,34%","0,18%","5,32%","4,34%","2,93%","4,20%","7,92%","2,47%","2,46%","3,62%","2,61%","2,40%","3,93%","6,51%","13,55%","13,42%","31,73%","60,15%","74,65%","96,85%","149,13%",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLSKA,,"2,13%","2,04%","1,77%","2,44%","2,26%","1,82%","1,60%","1,55%","1,55%","1,80%","2,48%","2,99%","3,10%","3,21%","3,02%","3,19%","2,41%","2,66%","4,02%","5,85%","7,30%","12,41%","16,65%","21,75%","29,02%","37,96%","46,47%",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Udział wyników pozytywnych w sumie przeprowadzonych testów,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Województwo,11.05,18.05,25.05,01.06,08.06,15.06,22.06,29.06,06.07,13.07,20.07,27.07,03.08,10.08,17.08,24.08,31.08,07.09,14.09,21.09,28.09,05.10,12.10,19.10,26.10,02.11,09.11,16.11,,,,
Śląskie,"8,39%","9,91%","10,33%","9,67%","9,66%","9,32%","8,90%","8,51%","7,85%","7,59%","7,34%","7,37%","7,42%","7,11%","6,92%","6,73%","6,49%","6,24%","6,07%","5,93%","5,86%","5,79%","5,91%","6,37%","7,03%","8,04%","10,52%","13,22%",,,,
Mazowieckie,"1,94%","1,69%","1,56%","1,48%","1,43%","1,44%","1,40%","1,36%","1,31%","1,29%","1,27%","1,29%","1,32%","1,36%","1,43%","1,47%","1,50%","1,53%","1,54%","1,60%","1,70%","1,84%","2,22%","2,96%","3,99%","5,60%","6,86%","7,71%",,,,
Małopolskie,"2,91%","2,33%","1,88%","1,63%","1,64%","1,61%","1,54%","1,47%","1,48%","1,52%","1,70%","1,92%","2,14%","2,37%","2,60%","2,81%","3,01%","3,14%","3,23%","3,36%","3,63%","3,97%","4,91%","6,75%","8,79%","11,34%","14,93%","17,87%",,,,
Wielkopolskie,"3,42%","2,57%","2,24%","1,98%","1,93%","1,82%","1,74%","1,75%","1,82%","1,87%","1,87%","1,85%","1,92%","2,04%","2,06%","2,14%","2,24%","2,23%","2,26%","2,32%","2,46%","2,69%","3,24%","4,14%","5,41%","7,84%","10,54%","13,22%",,,,
Dolnośląskie,"5,91%","4,87%","4,23%","3,73%","3,33%","3,05%","2,80%","2,65%","2,50%","2,14%","2,07%","2,00%","1,95%","1,93%","1,91%","1,88%","1,89%","1,83%","1,82%","1,88%","1,94%","2,05%","2,43%","3,13%","4,10%","5,53%","8,95%","12,05%",,,,
Łódzkie,"3,62%","3,28%","3,14%","3,33%","3,75%","3,86%","3,85%","3,67%","3,48%","3,29%","3,18%","3,09%","3,03%","2,98%","2,97%","2,98%","2,95%","2,86%","2,81%","2,86%","2,97%","3,16%","3,80%","5,02%","6,36%","9,23%","11,37%","13,22%",,,,
Kujawsko-Pomorskie,"3,74%","2,44%","1,79%","1,34%","1,22%","1,16%","1,08%","0,99%","0,93%","0,87%","0,83%","0,80%","0,81%","0,82%","0,88%","0,92%","0,99%","1,04%","1,09%","1,14%","1,46%","1,91%","2,71%","3,81%","5,84%","9,27%","11,82%","13,49%",,,,
Podkarpackie,"2,83%","2,44%","2,19%","2,02%","1,91%","2,07%","2,22%","2,31%","2,55%","2,90%","3,00%","3,02%","3,30%","3,61%","3,85%","4,10%","4,46%","4,81%","5,06%","5,43%","5,74%","7,07%","9,61%","13,50%","19,67%","26,34%","34,86%","39,88%",,,,
Pomorskie,"1,41%","1,18%","1,07%","0,94%","0,80%","0,74%","0,69%","0,67%","0,63%","0,61%","0,59%","0,61%","0,66%","0,76%","0,94%","1,12%","1,24%","1,28%","1,35%","1,50%","1,79%","2,20%","2,76%","3,60%","4,76%","5,98%","7,48%","8,57%",,,,
Lubelskie,"1,80%","1,50%","1,38%","1,30%","1,19%","1,15%","1,14%","1,10%","1,11%","1,16%","1,15%","1,13%","1,16%","1,20%","1,27%","1,32%","1,42%","1,47%","1,52%","1,70%","1,93%","2,31%","3,18%","4,41%","6,34%","10,24%","14,24%","16,83%",,,,
Zachodniopomorskie,"3,90%","3,04%","2,62%","2,14%","1,90%","1,74%","1,52%","1,35%","1,23%","1,13%","1,05%","1,00%","0,99%","1,02%","1,05%","1,03%","1,02%","1,01%","1,02%","1,07%","1,21%","1,44%","1,92%","2,70%","4,12%","5,72%","7,72%","10,04%",,,,
Świętokrzyskie *,dane niepoprawne,,,,,,,,,,,,,"2,00%","2,05%","2,12%","2,17%","2,21%","2,24%","2,35%","2,53%","2,87%","3,86%","5,20%","7,28%","9,60%","13,00%","16,43%",,,,
Opolskie,"10,32%","9,92%","9,51%","8,93%","8,70%","8,38%","7,80%","7,61%","7,13%","6,79%","6,47%","6,53%","6,45%","6,44%","6,37%","6,28%","6,16%","6,09%","6,06%","6,56%","6,75%","7,24%","8,70%","12,62%","17,64%","22,85%","30,50%","38,26%",,,,
Podlaskie,"2,50%","2,17%","2,09%","1,98%","1,96%","2,05%","2,12%","2,15%","2,09%","1,97%","1,87%","1,84%","1,82%","1,84%","1,88%","1,86%","1,91%","1,93%","1,97%","2,06%","2,38%","2,85%","3,52%","4,38%","5,37%","7,86%","10,56%","13,13%",,,,
Warmińsko-Mazurskie,"0,95%","0,85%","0,75%","0,67%","0,62%","0,60%","0,60%","0,62%","0,65%","0,63%","0,62%","0,66%","0,71%","0,86%","1,01%","1,12%","1,28%","1,37%","1,43%","1,56%","1,88%","2,33%","2,90%","3,98%","5,72%","8,26%","11,18%","14,55%",,,,
Lubuskie,"1,34%","1,07%","1,03%","0,96%","0,90%","0,85%","0,85%","0,82%","0,76%","1,11%","1,36%","1,46%","1,62%","1,96%","1,99%","2,01%","2,10%","2,13%","2,14%","2,22%","2,41%","3,01%","3,61%","5,53%","9,55%","13,63%","18,44%","24,75%",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLSKA,"3,26%","2,97%","2,77%","2,59%","2,54%","2,47%","2,38%","2,28%","2,18%","2,10%","2,05%","2,03%","2,05%","2,34%","2,40%","2,44%","2,48%","2,48%","2,49%","2,55%","2,70%","2,94%","3,53%","4,57%","6,02%","8,18%","10,74%","12,99%",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liczba testów na 1000 mieszkańców:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Województwo,11.05,18.05,25.05,01.06,08.06,15.06,22.06,29.06,06.07,13.07,20.07,27.07,03.08,10.08,17.08,24.08,31.08,07.09,14.09,21.09,28.09,05.10,12.10,19.10,26.10,02.11,09.11,16.11,,,,
Śląskie,"9,4","12,3","15,2","19,3","22,8","26,1","29,6","32,7","37,4","40,3","43,3","46,2","49,7","55,6","60,2","65,0","69,7","73,7","77,1","80,6","84,2","89,1","96,3","106,5","121,0","138,8","159,1","170,7",,,4 533 565,Populacja (2019) - Źródło: GUS
Mazowieckie,"26,6","32,8","38,9","45,2","51,2","56,7","63,0","68,2","73,6","78,2","83,0","87,6","92,8","98,5","103,5","109,4","115,3","120,3","125,0","129,7","135,1","141,4","147,6","158,5","171,3","186,7","202,0","212,4",,,5 403 412,
Małopolskie,"10,6","14,3","18,4","22,3","25,0","27,8","31,0","33,9","37,1","40,3","43,7","48,0","52,8","58,2","62,9","68,1","73,1","77,3","80,6","84,2","87,8","92,3","98,0","105,4","112,5","120,4","125,8","130,5",,,3 400 577,
Wielkopolskie,"14,0","20,2","26,1","31,1","34,0","37,7","40,7","43,1","46,5","49,7","52,8","55,6","59,0","62,6","66,2","69,6","72,7","77,5","80,8","84,3","88,2","93,3","100,1","109,1","122,0","137,5","152,0","162,9",,,3 493 969,
Dolnośląskie,"11,7","15,7","20,0","24,3","28,2","31,3","35,1","37,9","40,5","48,0","51,3","54,7","58,3","62,6","66,7","71,2","73,9","79,2","82,9","86,0","89,4","93,9","99,8","108,0","116,2","126,0","134,9","147,3",,,2 901 225,
Łódzkie,"13,2","15,4","17,5","19,5","22,5","26,0","30,3","34,3","38,1","42,3","46,2","50,1","54,2","58,5","63,2","68,3","72,8","78,0","81,6","85,5","89,8","94,9","101,3","110,4","122,2","133,2","145,9","155,8",,,2 466 322,
Kujawsko-Pomorskie,"7,4","11,5","15,9","21,4","23,8","26,0","29,0","32,4","35,6","38,6","41,8","45,1","48,5","52,0","55,6","60,3","64,8","68,4","72,3","77,1","82,0","88,8","96,7","106,2","116,8","128,9","141,2","151,7",,,2 077 775,
Podkarpackie,"6,2","7,2","8,1","9,0","9,8","10,7","11,8","13,2","14,3","15,5","17,2","18,5","19,9","21,4","22,9","24,3","25,7","26,8","27,5","28,5","30,1","30,8","31,9","35,2","37,8","42,6","46,3","49,7",,,2 129 015,
Pomorskie,"14,6","18,3","21,7","25,5","30,6","34,0","38,4","42,5","46,7","50,0","54,1","58,2","62,9","67,9","73,8","80,7","87,8","94,1","99,5","105,2","111,0","117,4","125,9","133,6","140,9","160,5","182,3","200,9",,,2 333 523,
Lubelskie,"10,2","12,8","15,2","18,0","20,4","22,4","25,1","28,0","30,4","33,3","36,2","38,6","41,4","44,4","47,0","49,9","52,9","55,5","57,9","60,3","62,9","67,0","71,9","79,2","86,3","93,2","99,9","106,3",,,2 117 619,
Zachodniopomorskie,"7,1","9,6","11,7","14,7","17,2","19,7","23,1","26,6","29,8","33,2","36,9","40,8","45,1","50,5","54,9","59,9","64,6","68,7","71,7","76,7","81,6","87,2","93,9","103,7","113,4","124,0","134,4","143,6",,,1 701 030,
Świętokrzyskie *,dane niepoprawne,,,,,,,,,,,,,"43,7","46,5","49,4","53,0","56,2","58,8","61,2","64,5","69,3","76,4","83,9","91,2","99,1","105,9","111,4",,,1 241 546,
Opolskie,"4,8","5,6","6,4","7,4","8,6","9,7","11,1","12,5","13,8","15,1","16,3","17,5","19,0","20,8","22,9","24,9","26,8","28,6","30,5","32,4","34,4","36,1","38,6","42,0","45,8","49,1","52,6","55,9",,,986 506,
Podlaskie,"13,0","15,2","17,1","19,6","22,6","25,7","29,0","32,3","35,7","38,8","41,5","43,7","46,3","49,2","51,7","54,7","57,5","60,5","63,3","65,8","68,8","74,1","78,3","87,4","97,4","106,7","116,3","123,3",,,1 181 533,
Warmińsko-Mazurskie,"11,9","13,9","16,4","18,7","20,4","21,9","24,8","27,3","29,5","31,6","33,6","35,7","38,0","40,4","43,2","46,1","48,6","50,8","52,8","54,8","56,9","59,9","63,6","68,8","75,2","83,6","91,5","98,1",,,1 428 983,
Lubuskie,"6,8","8,4","10,3","12,1","13,8","15,4","16,8","18,0","19,6","21,3","23,1","24,7","26,2","27,7","29,2","30,8","32,7","34,8","36,4","37,9","39,7","41,9","44,5","47,8","51,6","55,0","58,4","61,3",,,1 014 548,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLSKA,"12,8","16,6","20,3","24,3","27,9","31,3","35,3","39,0","43,1","47,2","51,3","55,6","60,3","58,3","62,2","66,5","70,7","74,7","78,1","81,6","85,4","90,2","96,1","104,4","114,1","125,9","137,7","147,0",,,38 411 148,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* UWAGI,W dniu 08.08 MZ podało informację o zawyżeniu sumy przebadanych próbek o 230 tys. przez WSSE Kielce przez błąd w raportowaniu. Dane historyczne dot. sumy przebadanych próbek nie zostały skorygowane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
