Data,Liczba osób hospitalizowanych ,zmiana (d/d),% osób hospitalizowanych w aktualnej liczbie aktywnych przypadków,Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),% osób pod respiratorem w aktualnej liczbie osób hospitalizowanych,Liczba respiratorów,% zajęte,Liczba objętych kwarantanną lokalnie,Obywatele wracający zza granicy,Liczba osób objętych kwarantanną,Liczba osób objętych nadzorem epidemiologicznym,,,,,,,,,,,Przybliżenie od 01.11
16.07,1604,+ 54,"18,82%",,,71,+ 3,"4,43%",,,,,86073,9627,,,,,,,,,,,
17.07,1551,-53,"18,71%",,,66,-5,"4,26%",,,,,92008,9715,,,,,,,,,,,
18.07,1560,+ 9,"19,01%",,,67,+ 1,"4,29%",,,,,89956,9665,,,,,,,,,,,
19.07,1575,+ 15,"19,23%",,,72,+ 5,"4,57%",,,,,89822,9557,,,,,,,,,,,
20.07,1607,+ 32,"19,56%",,,73,+ 1,"4,54%",,,,,90767,9356,,,,,,,,,,,
21.07,1644,+ 37,"19,63%",,,73,+ 0,"4,44%",,,,,90961,9846,,,,,,,,,,,
22.07,1626,-18,"19,40%",,,71,-2,"4,37%",,,,,92577,8907,,,,,,,,,,,
23.07,1617,-9,"19,28%",,,61,-10,"3,77%",,,,,92577,7472,,,,,,,,,,,
24.07,1594,-23,"19,01%",,,65,+ 4,"4,08%",,,,,94164,7411,,,,,,,,,,,
25.07,1601,+ 7,"18,75%",,,68,+ 3,"4,25%",,,,,93311,7418,,,,,,,,,,,
26.07,1625,+ 24,"18,81%",,,69,+ 1,"4,25%",,,,,92803,7394,,,,,,,,,,,
27.07,1655,+ 30,"18,66%",,,61,-8,"3,69%",,,,,94920,7245,,,,,,,,,,,
28.07,1687,+ 32,"18,68%",,,66,+ 5,"3,91%",,,,,95453,6222,,,,,,,,,,,
29.07,1694,+ 7,"17,59%",,,63,-3,"3,72%",,,,,97561,8094,,,,,,,,,,,
30.07,1778,+ 84,"18,37%",,,72,+ 9,"4,05%",,,,,97189,8069,,,,,,,,,,,
31.07,1841,+ 63,"18,44%",,,74,+ 2,"4,02%",,,,,98282,8241,,,,,,,,,,,
01.08,1835,-6,"17,90%",,,76,+ 2,"4,14%",,,,,96425,8523,,,,,,,,,,,
02.08,1841,+ 6,"17,61%",,,74,-2,"4,02%",,,,,95794,8272,,,,,,,,,,,
03.08,1859,+ 18,"17,12%",,,65,-9,"3,50%",,,,,98875,8499,,,,,,,,,,,
04.08,1898,+ 39,"16,72%",,,72,+ 7,"3,79%",,,,,100151,9044,,,,,,,,,,,
05.08,1913,+ 15,"16,33%",,,72,+ 0,"3,76%",,,,,102815,9052,,,,,,,,,,,
06.08,1928,+ 15,"15,94%",,,73,+ 1,"3,79%",,,,,104923,9237,,,,,,,,,,,
07.08,1928,+ 0,"15,43%",,,72,-1,"3,73%",,,,,107229,9256,,,,,,,,,,,
08.08,1930,+ 2,"14,89%",,,73,+ 1,"3,78%",,,,,105795,9227,,,,,,,,,,,
09.08,1929,-1,"14,51%",,,71,-2,"3,68%",,,,,104167,9566,,,,,,,,,,,
10.08,1985,+ 56,"14,46%",,,74,+ 3,"3,73%",,,,,105427,9230,,,,,,,,,,,
11.08,2021,+ 36,"14,45%",,,76,+ 2,"3,76%",,,,,106915,9490,,,,,,,,,,,
12.08,2059,+ 38,"14,46%",,,82,+ 6,"3,98%",,,,,108677,9413,,,,,,,,,,,
13.08,2040,-19,"13,89%",,,79,-3,"3,87%",,,,,108309,9660,,,,,,,,,,,
14.08,2028,-12,"13,43%",,,84,+ 5,"4,14%",,,,,107395,9606,,,,,,,,,,,
15.08,2035,+ 7,"13,24%",,,81,-3,"3,98%",,,,,103805,9477,,,,,,,,,,,
16.08,2040,+ 5,"13,01%",,,83,+ 2,"4,07%",,,,,102970,9305,,,,,,,,,,,
17.08,2057,+ 17,"12,83%",,,82,-1,"3,99%",,,,,103236,8920,,,,,,,,,,,
18.08,2097,+ 40,"12,84%",,,83,+ 1,"3,96%",,,,,103621,8813,,,,,,,,,,,
19.08,2110,+ 13,"12,71%",,,85,+ 2,"4,03%",,,,,103961,9034,,,,,,,,,,,
20.08,2151,+ 41,"12,67%",,,84,-1,"3,91%",,,,,103351,8902,,,,,,,,,,,
21.08,2189,+ 38,"12,64%",,,79,-5,"3,61%",,,,,103876,8899,,,,,,,,,,,
22.08,2195,+ 6,"12,49%",,,81,+ 2,"3,69%",,,,,100066,7892,,,,,,,,,,,
23.08,2207,+ 12,"12,52%",,,83,+ 2,"3,76%",,,,,98233,8894,,,,,,,,,,,
24.08,2167,-40,"12,10%",,,76,-7,"3,51%",,,,,100023,8544,,,,,,,,,,,
25.08,2170,+ 3,"11,85%",,,79,+ 3,"3,64%",,,,,99705,8947,,,,,,,,,,,
26.08,2185,+ 15,"11,87%",,,82,+ 3,"3,75%",,,,,101678,8984,,,,,,,,,,,
27.08,2221,+ 36,"11,95%",,,89,+ 7,"4,01%",,,,,101547,8893,,,,,,,,,,,
28.08,2237,+ 16,"11,98%",,,87,-2,"3,89%",,,,,100845,8817,,,,,,,,,,,
29.08,2242,+ 5,"12,01%",,,85,-2,"3,79%",,,,,98576,8555,,,,,,,,,,,
30.08,2249,+ 7,"12,06%",,,83,-2,"3,69%",,,,,96351,8397,,,,,,,,,,,
31.08,2138,-111,"11,44%",,,86,+ 3,"4,02%",,,,,96888,7929,,,,,,,,,,,
01.09,2168,+ 30,"11,51%",,,83,-3,"3,83%",,,,,96664,8145,,,,,,,,,,,
02.09,2170,+ 2,"11,68%",,,81,-2,"3,73%",,,,,98341,8070,,,,,,,,,,,
03.09,2179,+ 9,"11,81%",,,75,-6,"3,44%",,,,,71311,7610,,,,,,,,,,,
04.09,2090,-89,"11,68%",,,77,+ 2,"3,68%",,,,,71452,7090,,,,,,,,,,,
05.09,2091,+ 1,"13,13%",,,79,+ 2,"3,78%",,,,,70788,7112,,,,,,,,,,,
06.09,2113,+ 22,"14,62%",,,81,+ 2,"3,83%",,,,,72285,7097,,,,,,,,,,,
07.09,2042,-71,"14,70%",,,81,+ 0,"3,97%",,,,,76047,7010,,,,,,,,,,,
08.09,2070,+ 28,"15,35%",,,81,+ 0,"3,91%",,,,,79124,7160,,,,,,,,,,,
09.09,1924,-146,"15,19%",,,84,+ 3,"4,37%",,,,,83170,7408,,,,,,,,,,,
10.09,1957,+ 33,"16,01%",,,82,-2,"4,19%",,,,,86892,7090,,,,,,,,,,,
11.09,1946,-11,"16,17%",,,85,+ 3,"4,37%",,,,,90216,7343,,,,,,,,,,,
12.09,1961,+ 15,"16,70%",,,86,+ 1,"4,39%",,,,,91819,7229,,,,,,,,,,,
13.09,1972,+ 11,"17,44%",,,87,+ 1,"4,41%",,,,,92057,6972,,,,,,,,,,,
14.09,1996,+ 24,"17,77%",,,92,+ 5,"4,61%",,,,,95241,6934,,,,,,,,,,,
15.09,2007,+ 11,"17,67%",,,86,-6,"4,29%",,,,,94273,8062,,,,,,,,,,,
16.09,1917,-90,"16,83%",,,84,-2,"4,38%",,,,,103425,9331,,,,,,,,,,,
17.09,1925,+ 8,"16,60%",,,83,-1,"4,31%",,,,,111530,10102,,,,,,,,,,,
18.09,1977,+ 52,"16,83%",,,83,+ 0,"4,20%",,,,,118864,11494,,,,,,,,,,,
19.09,1985,+ 8,"16,29%",,,86,+ 3,"4,33%",,,,,118212,11751,,,,,,,,,,,
20.09,1979,-6,"15,65%",,,83,-3,"4,19%",,,,,116871,11956,,,,,,,,,,,
21.09,1993,+ 14,"15,23%",,,85,+ 2,"4,26%",,,,,115789,11849,,,,,,,,,,,
22.09,1971,-22,"14,70%",,,89,+ 4,"4,52%",,,,,114000,9962,,,,,,,,,,,
23.09,1964,-7,"14,26%",,,91,+ 2,"4,63%",,,,,125220,11089,,,,,,,,,,,
24.09,1995,+ 31,"13,97%",,,96,+ 5,"4,81%",,,,,137023,12937,,,,,,,,,,,
25.09,2134,+ 139,"13,98%",,,110,+ 14,"5,15%",,,,,143442,13894,,,,,,,,,,,
26.09,2223,+ 89,"13,70%",,,124,+ 14,"5,58%",,,,,139460,16368,,,,,,,,,,,
27.09,2305,+ 82,"13,56%",,,130,+ 6,"5,64%",,,,,136128,16128,,,,,,,,,,,
28.09,2399,+ 94,"13,50%",,,141,+ 11,"5,88%",,,,,134588,14660,,,,,,,,,,,
29.09,2481,+ 82,"13,39%",,,152,+ 11,"6,13%",,,,,129961,15619,,,,,,,,,,,
30.09,2560,+ 79,"13,26%",,,159,+ 7,"6,21%",,,,,133981,16891,,,,,,,,,,,
01.10,2702,+ 142,"13,16%",,,166,+ 7,"6,14%",,,,,139056,20876,,,,,,,,,,,
02.10,2850,+ 148,"13,04%",,,179,+ 13,"6,28%",,,,,158038,21464,,,,,,,,,,,
03.10,2977,+ 127,"12,76%",,,191,+ 12,"6,42%",,,,,150565,22003,,,,,,,,,,,
04.10,3158,+ 181,"12,92%",,,219,+ 28,"6,93%",,,,,154365,21375,,,,,,,,,,,
05.10,3719,+ 561,"14,38%",,,263,+ 44,"7,07%",,,,,159530,19933,,,,,,,,,,,
06.10,4000,+ 281,"14,58%",,,283,+ 20,"7,08%",,,,,145873,21289,,,,,,,,,,,
07.10,4138,+ 138,"14,18%",,,296,+ 13,"7,15%",,,,,171251,22737,,,,,,,,,,,
08.10,4407,+ 269,"13,67%",,,320,+ 24,"7,26%",,,,,188629,26716,,,,,,,,,,,
09.10,4725,+ 318,"13,29%",,,346,+ 26,"7,32%",,,,,206048,31863,,,,,,,,,,,
10.10,4924,+ 199,"12,41%",,,383,+ 37,"7,78%",,,,,231032,32394,,,,,,,,,,,
11.10,5262,+ 338,"12,38%",,,404,+ 21,"7,68%",,,,,250094,35094,,,,,,,,,,,
12.10,5669,+ 407,"12,33%",,,421,+ 17,"7,43%",,,,,212446,33533,,,,,,,,,,,
13.10,6084,+ 415,"12,13%",,,467,+ 46,"7,68%",,,,,249349,33071,,,,,,,,,,,
14.10,6538,+ 454,"11,94%",,,508,+ 41,"7,77%",,,,,296020,36066,,,,,,,,,,,
15.10,6980,+ 442,"11,44%",,,540,+ 32,"7,74%",,,,,311625,41498,,,,,,,,,,,
16.10,7512,+ 532,"11,31%",,,604,+ 64,"8,04%",,,,,327507,45605,,,,,,,,,,,
17.10,8076,+ 564,"10,98%",,,649,+ 45,"8,04%",,,,,320482,45909,,,,,,,,,,,
18.10,8375,+ 299,"10,53%",,,672,+ 23,"8,02%",,,,,304567,46864,,,,,,,,,,,
19.10,8962,+ 587,"10,47%",,,725,+ 53,"8,09%",,,,,289447,44675,,,,,,,,,,,
20.10,9439,+ 477,"10,16%",,,757,+ 32,"8,02%",,,,,335060,42688,,,,,,,,,,,
21.10,10091,+ 652,"10,11%",,,812,+ 55,"8,05%",,,,,378348,47314,,,,,,,,,,,
22.10,10788,+ 697,"9,95%",18432,"58,53%",851,+ 39,"7,89%",1393,"61,09%",,,398851,52753,,,,,,,,,,,
23.10,11396,+ 608,"9,57%",19132,"59,57%",911,+ 60,"7,99%",1434,"63,53%",,,478761,57802,,,,,,,,,,,
24.10,11887,+ 491,"9,27%",19453,"61,11%",947,+ 36,"7,97%",1457,"65,00%",,,446154,49174,,,,,,,,,,,
25.10,12282,+ 395,"8,99%",19610,"62,63%",999,+ 52,"8,13%",1490,"67,05%",,,445991,54268,,,,,,,,,,,
26.10,13291,+ 1009,"9,22%",20704,"64,20%",1078,+ 79,"8,11%",1594,"67,63%",,,442109,54440,,,,,,,,,,,
27.10,13931,+ 640,"8,91%",21506,"64,78%",1150,+ 72,"8,25%",1663,"69,15%",,,479288,47242,,,,,,,,,,,
28.10,14631,+ 700,"8,57%",22467,"65,12%",1203,+ 53,"8,22%",1733,"69,42%",,,489079,48977,,,,,,,,,,,
29.10,15444,+ 813,"8,36%",23111,"66,83%",1254,+ 51,"8,12%",1777,"70,57%",,,496213,49503,,,,,,,,,,,
30.10,16144,+ 700,"8,04%",24024,"67,20%",1305,+ 51,"8,08%",1807,"72,22%",,,504706,48928,,,,,,,,,,,
31.10,16427,+ 283,"7,58%",24483,"67,10%",1371,+ 66,"8,35%",1852,"74,03%",,,439159,48301,,,,,,,,,,,
01.11,17223,+ 796,"7,57%",24807,"69,43%",1453,+ 82,"8,44%",1916,"75,84%",,,435343,46844,,,,,,,,,,,
02.11,18160,+ 937,"7,72%",25902,"70,11%",1550,+ 97,"8,54%",1979,"78,32%",,,421582,46697,,,,,,,,,,,
03.11,18654,+ 494,"7,50%",27143,"68,72%",1625,+ 75,"8,71%",2094,"77,60%",,,408121,43549,,,,,,,,,,,
04.11,19114,+ 460,"7,24%",28010,"68,24%",1615,-10,"8,45%",2144,"75,33%",,,430732,42689,,,,,,,,,,,
05.11,19479,+ 365,"6,90%",29407,"66,24%",1703,+ 88,"8,74%",2238,"76,09%",,,433524,42562,,,,,,,,,,,
06.11,20249,+ 770,"6,80%",30896,"65,54%",1813,+ 110,"8,95%",2357,"76,92%",,,441832,52655,,,,,,,,,,,
07.11,20214,-35,"6,45%",31250,"64,68%",1841,+ 28,"9,11%",2459,"74,87%",,,407579,42921,,,,,,,,,,,
08.11,20967,+ 753,"6,37%",31815,"65,90%",1804,-37,"8,60%",2442,"73,87%",,,376567,41403,,,,,,,,,,,
09.11,21640,+ 673,"6,35%",32586,"66,41%",1898,+ 94,"8,77%",2460,"77,15%",,,407486,37655,,,,,,,,,,,
10.11,21521,-119,"6,07%",33603,"64,04%",1975,+ 77,"9,18%",2569,"76,88%",,,431104,36263,,,,,,,,,,,
11.11,21899,+ 378,"5,96%",33662,"65,06%",2008,+ 33,"9,17%",2601,"77,20%",,,404352,27706,,,,,,,,,,,
12.11,22298,+ 399,"5,90%",34622,"64,40%",2047,+ 39,"9,18%",2659,"76,98%",,,430310,30420,,,,,,,,,,,
13.11,22320,+ 22,"5,75%",35182,"63,44%",2126,+ 79,"9,53%",2805,"75,79%",,,440025,30625,,,,,,,,,,,
14.11,21988,-332,"5,51%",35488,"61,96%",2114,-12,"9,61%",2751,"76,84%",,,409322,29920,,,,,,,,,,,
15.11,22458,470,"5,51%",35604,"63,08%",2103,-11,"9,36%",2754,"76,36%",,,422767,28528,,,,,,,,,,,
16.11,23033,575,"5,52%",36730,"62,71%",2114,11,"9,18%",2815,"75,10%",,,415174,25618,,,,,,,,,,,
17.11,22812,-221,"5,46%",36802,"61,99%",2117,3,"9,28%",2829,"74,83%",,,415601,25653,,,,,,,,,,,
18.11,22536,-276,"5,39%",37348,"60,34%",2080,-37,"9,23%",2888,"72,02%",n/a,,434034,24717,,,,,,,,,,,
