Powiat;Powierzchnia;Liczba_ludności;Gęstość_zaludnienia
powiat zawierciański;1002,23;118 434;118,17
powiat ząbkowicki;801,53;65 428;81,63
powiat zduńskowolski;369,23;66 766;180,82
powiat zgierski;855,18;165 916;194,01
powiat zgorzelecki;838,60;90 003;107,33
Zielona Góra;278,32;140 297;504,09
powiat zielonogórski;1349,75;75 750;56,12
powiat złotoryjski;575,81;43 869;76,19
powiat złotowski;1660,17;69 606;41,93
powiat zwoleński;571,24;36 328;63,59
powiat żagański;1131,82;79 583;70,31
powiat żarski;1392,78;96 876;69,56
powiat żniński;984,77;70 413;71,50
Żory;64,64;62 456;966,21
powiat żuromiński;806,60;38 944;48,28
powiat żyrardowski;532,54;75 848;142,43
powiat żywiecki;1040,06;153 226;147,32
