,id,name,img,link,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,author,album,whose
25,4UO5olRZ5hRH0YJQX84VK6,Panteon,https://i.scdn.co/image/ab67616d00001e02176c6ac2acb07d66166bf715,https://p.scdn.co/mp3-preview/aaba34808f8e6669d4a920be6f18e70966b5ed45?cid=774b29d4f13844c495f206cafdad9c86,0.344,0.86,-6.546,0.228,0.0521,0.0,0.201,0.423,154.236,223387.0,Zeus,Zeus. Jest super.,p
26,7sroTkLGtNmhmVjVZcHkOu,O Krok,https://i.scdn.co/image/ab67616d00001e024545962743e846a8095743f0,https://p.scdn.co/mp3-preview/9b6c29ec622047e0346db387f834ccae7b28300c?cid=774b29d4f13844c495f206cafdad9c86,0.734,0.635,-9.94,0.0756,0.0116,0.0,0.11,0.18,134.98,190053.0,Małpa,Blur,p
27,23qZiN0yTTxvUGMSaw6RGt,Królowa dram,https://i.scdn.co/image/ab67616d00001e02e8426ba765e1024a155949bf,,0.592,0.313,-10.956,0.0794,0.739,0.00194,0.106,0.254,99.733,185063.0,sanah,Królowa dram,p
28,2GK1vRUCaqO8VOKjM3Uirk,Wzięli zamknęli mi klub,https://i.scdn.co/image/ab67616d00001e026105bf671731aa08830e9a86,https://p.scdn.co/mp3-preview/dfca2b5870124d1a513a8976098b2c8821cddf1a?cid=774b29d4f13844c495f206cafdad9c86,0.76,0.592,-9.264,0.0342,0.872,0.134,0.146,0.93,119.989,216261.0,Kwiat Jabłoni,Niemożliwe,p
29,2VO7otia7OkC00zRIOaP9f,Kopi luwak,https://i.scdn.co/image/ab67616d00001e029f29a5163b0396c126a08506,https://p.scdn.co/mp3-preview/7a1065f5ddc0b2d9440ce05623208f999612f602?cid=774b29d4f13844c495f206cafdad9c86,0.605,0.781,-7.759,0.293,0.406,0.0,0.449,0.934,161.91,152813.0,Te-Tris,Definitywnie,p
30,53ghxrvvaxfjbHvBOkIYW2,Nie Wiem Co Będzie Jutro,https://i.scdn.co/image/ab67616d00001e024545962743e846a8095743f0,https://p.scdn.co/mp3-preview/5ac0ad3e8e0db7056da279e4e6fff758740e2121?cid=774b29d4f13844c495f206cafdad9c86,0.629,0.691,-10.283,0.134,0.00857,0.0,0.215,0.432,105.96,188407.0,Małpa,Blur,p
31,4fRkBB2f0sodVxjmLGlM7Y,Oto cała ja,https://i.scdn.co/image/ab67616d00001e02e8426ba765e1024a155949bf,,0.511,0.564,-8.004,0.252,0.772,0.00164,0.107,0.237,99.444,178176.0,sanah,Królowa dram,p
32,3ZjytV5BojgvkPnXdY5zV2,Patointeligencja,https://i.scdn.co/image/ab67616d00001e020e33698e02004a608a15c177,https://p.scdn.co/mp3-preview/13bec3aa8e924875d186d6c11fd19765f42a09c3?cid=774b29d4f13844c495f206cafdad9c86,0.838,0.594,-8.314,0.345,0.242,0.0,0.0631,0.324,136.95,257400.0,Mata,100 dni do matury,p
33,2FY7b99s15jUprqC0M5NCT,Natural,https://i.scdn.co/image/ab67616d00001e02da6f73a25f4c79d0e6b4a8bd,,0.704,0.611,-6.112,0.0409,0.217,0.0,0.0812,0.22,100.0,189467.0,Imagine Dragons,Origins (Deluxe),p
34,3PH5CT90AEzqGPSn5BHRfZ,Zobaczymy,https://i.scdn.co/image/ab67616d00001e024816c5cfceeca30b29e16f77,https://p.scdn.co/mp3-preview/e0f8cb546e75a4c52307cd8de183882724278366?cid=774b29d4f13844c495f206cafdad9c86,0.711,0.732,-9.543,0.399,0.621,0.0,0.153,0.669,104.37,242293.0,Solar,Pokój zero,p
35,4MT3LuK0qd7eSyc5tN5uhz,Sama,https://i.scdn.co/image/ab67616d00001e02e8426ba765e1024a155949bf,,0.759,0.415,-6.658,0.178,0.543,0.0,0.147,0.251,109.917,191272.0,sanah,Królowa dram,p
36,1ef8jV2jElVL74JzBKo6K7,Wiking,https://i.scdn.co/image/ab67616d00001e02de569c7102b690cc53af07b3,https://p.scdn.co/mp3-preview/dd29dd82ceb7e2deb9bfdf2a47d8a9dd2dbb40a0?cid=774b29d4f13844c495f206cafdad9c86,0.662,0.554,-6.793,0.0512,0.547,5.6e-05,0.112,0.276,164.134,176347.0,Sarius,Wszystko co złe,p
37,35UvOH0tRlSCdtWtaXuiWh,Najnowszy Klip,https://i.scdn.co/image/ab67616d00001e02c4aa14d6f01b64808cf9ae31,https://p.scdn.co/mp3-preview/c40773542c25033eadc8653be21dab8fea880971?cid=774b29d4f13844c495f206cafdad9c86,0.719,0.673,-8.083,0.0343,0.0661,1.34e-06,0.135,0.345,94.008,229667.0,Dawid Podsiadło,Malomiasteczkowy,p
