"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1578,,
"BEL","Belgium","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1583,,
"CAN","Canada","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1778,,
"CAN","Canada","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1764,,
"CAN","Canada","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1751,,
"CAN","Canada","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1739,,
"CAN","Canada","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1747,,
"CAN","Canada","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1741,,
"CAN","Canada","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1741,,
"CAN","Canada","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1739,,
"CAN","Canada","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1740,,
"CAN","Canada","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1712,,
"CAN","Canada","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1718,,
"CAN","Canada","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1718,,
"CAN","Canada","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1726,,
"CAN","Canada","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1721,,
"CAN","Canada","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1718,,
"CAN","Canada","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1718,,
"CAN","Canada","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1714,,
"CAN","Canada","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1705,,
"CAN","Canada","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1721,,
"CAN","Canada","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1682,,
"CAN","Canada","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1787,,
"CAN","Canada","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1774,,
"CAN","Canada","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1755,,
"CAN","Canada","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1745,,
"CAN","Canada","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1755,,
"CAN","Canada","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1745,,
"CAN","Canada","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1744,,
"CAN","Canada","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1744,,
