freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,SI	50365 	52540 	67395 	78586 	88117 	94223 	103604 	105910 	86852 	47680 	43421 	43730 	36880 	39683 	17906 	160 	49 	2707 	10613 	13760 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,SK	72505 	74149 	85260 	93845 	102208 	135229 	213480 	212727 	164598 	101252 	79318 	87676 	71736 	72331 	22989 	576 	529 	1530 	11808 	32916 	16985 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,TR	6932028 	6445290 	7436140 	8143845 	8653986 	10503832 	11575805 	11427880 	10234265 	9331589 	7080641 	6785121 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,UK	9978936 	9527280 	11186224 	12413153 	13168687 	14392050 	14694958 	15543197 	14372184 	13087307 	10210854 	10248216 	10019886 	9373079 	5239542 	165947 	184014 	298227 	1427100 	3477630 	3119339 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,AT	1182607 	1195415 	1475220 	1531299 	1554580 	1713044 	1824096 	1787672 	1661673 	1593229 	1294039 	1417569 	1312466 	1283108 	512459 	4759 	9894 	72966 	328913 	430061 	298090 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,BE	1091888 	1112087 	1315960 	1595546 	1561965 	1654618 	1978972 	1658660 	1608364 	1567097 	1267872 	1335918 	1139999 	1192289 	493075 	6818 	11162 	63391 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,BG	316072 	277279 	328321 	343783 	420254 	682267 	908931 	1019402 	747037 	384295 	308180 	305079 	341941 	305058 	147883 	13449 	39113 	70625 	190650 	307869 	238410 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,CH	1945496 	2021385 	2381928 	2578987 	2447542 	2587014 	3029089 	2705839 	2586334 	2555002 	1907739 	2232606 	1995090 	2026234 	871623 	12213 	27726 	144624 	715155 	762171 	518153 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,CY	220642 	201962 	279260 	412743 	547013 	643775 	719788 	758817 	665973 	632781 	352074 	264535 	240156 	220229 	124121 	2328 	4236 	19046 	91483 	143490 	125738 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,CZ	528268 	503088 	624167 	711490 	774126 	1004644 	1084988 	1097083 	974146 	811265 	634259 	669393 	561668 	516727 	229645 	2585 	3883 	18923 	144500 	187519 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,DE	7729653 	7968223 	9600695 	10703900 	11258368 	11813062 	12858635 	12081605 	11989804 	11561631 	8572529 	8679321 	7586910 	7666472 	3249158 	108165 	216809 	821771 	2745285 	2886209 	2278965 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,DK	1159512 	1188928 	1388875 	1496978 	1605457 	1812877 	1893135 	1692462 	1721480 	1648189 	1274250 	1273451 	1158048 	1184964 	467830 	15121 	27127 	103569 	374380 	376806 	317955 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,EE	106939 	101379 	112544 	134418 	150681 	162524 	157553 	168885 	162114 	158183 	120776 	117554 	110605 	107662 	45384 	1429 	5258 	11951 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,EL	1097649 	1024097 	1253812 	1752034 	2816665 	4151647 	4893075 	5301926 	4469746 	3072282 	1366675 	1250023 	1288242 	1176713 	571953 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,ES	8306861 	7897924 	9733441 	11225215 	11845476 	13338216 	14284227 	14654901 	13227401 	12340395 	9172975 	8720890 	8404845 	8186982 	4304754 	65801 	131077 	484480 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,EU27_2020	46659116 	45592655 	54417988 	62613770 	66565226 	74370627 	81083370 	79981564 	73604742 	68265902 	51398647 	51589342 	48028399 	46213123 	20017202 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,FI	992340 	993043 	1104168 	1080394 	1134647 	1197620 	1149119 	1171825 	1153274 	1134478 	978623 	1138424 	1019733 	974621 	453621 	10565 	21503 	46718 	126126 	173637 	117561 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,FR	6730332 	6641151 	7616276 	8947998 	8539697 	9424259 	10710390 	9822795 	8733548 	8849799 	6906762 	7366582 	6976598 	6761791 	3142081 	71440 	137168 	635567 	2868274 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,HR	136207 	125969 	169774 	351832 	522534 	728153 	936609 	1001419 	770402 	553239 	186038 	152655 	137363 	125490 	65245 	2247 	9753 	34003 	148245 	307881 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,HU	551485 	496824 	602460 	685886 	732605 	781417 	824558 	852539 	787582 	777932 	652127 	665504 	635235 	566973 	263285 	3603 	10089 	40554 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,IE	1174192 	1144942 	1381135 	1629057 	1752547 	1941505 	2014863 	1975998 	1764288 	1668162 	1285087 	1325761 	1188332 	1167341 	578029 	13049 	24880 	53296 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,IS	291470 	271138 	316265 	259520 	306759 	412191 	440660 	447303 	352773 	304215 	240719 	238375 	206199 	211990 	123590 	3343 	7394 	22979 	74881 	85414 	26434 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,IT	5981689 	5755522 	6936018 	8007812 	8398187 	9512365 	10361762 	10367288 	9319468 	8654046 	6716512 	6781425 	6214427 	5561380 	1040834 	56725 	96037 	478451 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,LT	235818 	203995 	234150 	270652 	308082 	299881 	282875 	314600 	312457 	310589 	243104 	224753 	242392 	219616 	93721 	407 	2577 	19072 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,LU	121948 	136672 	161348 	194120 	200778 	204317 	228513 	205223 	198583 	202865 	158935 	176202 	138208 	150115 	58543 	6 	1089 	19882 	76803 	88026 	57123 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,LV	242754 	215217 	265209 	322077 	354755 	381711 	405218 	423287 	376366 	349978 	275219 	281634 	272826 	242890 	114318 	1403 	4361 	24522 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,ME	44730 	37486 	48115 	67395 	101190 	161106 	212350 	246936 	204460 	106677 	57184 	50396 	52169 	44567 	20440 	1257 	423 	1797 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,MK	83035 	69322 	82065 	94793 	98264 	102210 	107197 	148093 	124974 	109565 	89400 	84313 	87774 	73769 	36951 	970 	334 	24 	19146 	38341 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,MT	180880 	175786 	234714 	319155 	333581 	358896 	392918 	423053 	380253 	357651 	256411 	242723 	206939 	206580 	95355 	1710 	2615 	2583 	65790 	133024 	64889 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,NL	2727503 	2723078 	3110285 	3558695 	3692119 	3720392 	4100468 	3795205 	3734631 	3648273 	2928700 	3038664 	2770707 	2666277 	1312347 	60024 	103853 	276025 	932898 	1045540 	752948 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,NO	1934637 	2018416 	2314560 	2200444 	2422122 	2774833 	2648264 	2503290 	2653107 	2544750 	2164900 	2019585 	1950572 	2026894 	981638 	196258 	305107 	554712 	965339 	888578 	807617 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,PL	1602282 	1454163 	1684366 	1902025 	2153538 	2449916 	2531151 	2637213 	2456315 	2070587 	1799296 	1694457 	1786768 	1597563 	608676 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,PT	1801549 	1638921 	2082792 	2569486 	2713565 	2886838 	3028337 	3296200 	2985842 	2753443 	2034691 	1872545 	1905070 	1808881 	1033780 	17462 	38188 	136172 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,RO	826462 	733708 	821124 	884219 	993240 	1052887 	1099008 	1189365 	1116478 	1025381 	886909 	816318 	867918 	746305 	319977 	29865 	31609 	58288 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,RS	199371 	168820 	197596 	246035 	263952 	320048 	385526 	445354 	372166 	305490 	238754 	221292 	235510 	196552 	90768 	1579 	2739 	28935 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,SE	1481403 	1556699 	1750244 	1808111 	2014754 	2195836 	2097068 	1971343 	2054767 	1992145 	1606689 	1653845 	1404812 	1466123 	650145 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,SI	52769 	53233 	66480 	79406 	81701 	94800 	103168 	105685 	85129 	51549 	42365 	41783 	38592 	40093 	18188 	30 	62 	2284 	10379 	14264 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,SK	79412 	73350 	85150 	95439 	104311 	163160 	213945 	207113 	147621 	96438 	77550 	82334 	77599 	70880 	22795 	916 	309 	1295 	10243 	31760 	19465 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,TR	7220511 	6396408 	7248033 	7736276 	8470791 	9984342 	11006439 	11916958 	10660509 	10037742 	7463706 	6626361 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,UK	9272671 	9602558 	11117034 	12265127 	13612021 	14155578 	15598406 	15303372 	13262288 	12818040 	9757065 	11108808 	9281685 	9403486 	4811900 	168791 	200726 	400983 	2086910 	3327200 	2536654 
M,PAS,PAS_CRD,TOTAL,TOT,AT	2285034 	2349892 	2871838 	2978376 	3038394 	3314289 	3504875 	3511121 	3306004 	3095301 	2591272 	2797792 	2559980 	2536936 	1006487 	12868 	21196 	141631 	612971 	854724 	604214 
M,PAS,PAS_CRD,TOTAL,TOT,BE	2253327 	2187148 	2643934 	3107492 	3102755 	3257996 	3650171 	3570657 	3325409 	3120567 	2611508 	2554224 	2340520 	2345828 	1058082 	17596 	22975 	109685 	: 	: 	: 
