Entity,Code,Date,parks
United States,USA,2020-08-19,51
United States,USA,2020-08-20,51
United States,USA,2020-08-21,50.286
United States,USA,2020-08-22,50.143
United States,USA,2020-08-23,50.429
United States,USA,2020-08-24,49
United States,USA,2020-08-25,47.143
United States,USA,2020-08-26,46.857
United States,USA,2020-08-27,45.143
United States,USA,2020-08-28,43.571
United States,USA,2020-08-29,41.143
United States,USA,2020-08-30,42.429
United States,USA,2020-08-31,42.143
United States,USA,2020-09-01,42
United States,USA,2020-09-02,41
United States,USA,2020-09-03,41.571
United States,USA,2020-09-04,44.143
United States,USA,2020-09-05,48.714
United States,USA,2020-09-06,51.857
United States,USA,2020-09-07,58.286
United States,USA,2020-09-08,56.571
United States,USA,2020-09-09,55
United States,USA,2020-09-10,52.429
United States,USA,2020-09-11,49.571
United States,USA,2020-09-12,45.143
United States,USA,2020-09-13,39
United States,USA,2020-09-14,32.571
United States,USA,2020-09-15,34.286
United States,USA,2020-09-16,36
United States,USA,2020-09-17,37
United States,USA,2020-09-18,37
United States,USA,2020-09-19,38.714
United States,USA,2020-09-20,39.857
United States,USA,2020-09-21,39.143
United States,USA,2020-09-22,38
United States,USA,2020-09-23,36.714
United States,USA,2020-09-24,35.429
United States,USA,2020-09-25,34
United States,USA,2020-09-26,32.571
United States,USA,2020-09-27,31
United States,USA,2020-09-28,29.143
United States,USA,2020-09-29,26.714
United States,USA,2020-09-30,25.286
United States,USA,2020-10-01,24.714
United States,USA,2020-10-02,23.714
United States,USA,2020-10-03,22.286
United States,USA,2020-10-04,20.857
United States,USA,2020-10-05,21.286
United States,USA,2020-10-06,23.286
United States,USA,2020-10-07,24.286
United States,USA,2020-10-08,25.429
United States,USA,2020-10-09,27.143
United States,USA,2020-10-10,27.714
United States,USA,2020-10-11,27.714
United States,USA,2020-10-12,26.857
United States,USA,2020-10-13,25.857
United States,USA,2020-10-14,26
United States,USA,2020-10-15,25.143
United States,USA,2020-10-16,22
United States,USA,2020-10-17,21.286
United States,USA,2020-10-18,20.286
United States,USA,2020-10-19,19.571
United States,USA,2020-10-20,18.429
United States,USA,2020-10-21,16.714
United States,USA,2020-10-22,16.286
United States,USA,2020-10-23,16.571
United States,USA,2020-10-24,14.714
United States,USA,2020-10-25,12.286
United States,USA,2020-10-26,10.429
United States,USA,2020-10-27,9.143
United States,USA,2020-10-28,7
United States,USA,2020-10-29,3.286
United States,USA,2020-10-30,2
United States,USA,2020-10-31,1.857
United States,USA,2020-11-01,1
United States,USA,2020-11-02,1.429
United States,USA,2020-11-03,3.286
United States,USA,2020-11-04,4.143
United States,USA,2020-11-05,6
United States,USA,2020-11-06,6.714
United States,USA,2020-11-07,6.143
United States,USA,2020-11-08,8.714
United States,USA,2020-11-09,9.143
United States,USA,2020-11-10,6.857
United States,USA,2020-11-11,4.857
United States,USA,2020-11-12,2.143
United States,USA,2020-11-13,-0.286
United States,USA,2020-11-14,-3.286
United States,USA,2020-11-15,-6.286
United States,USA,2020-11-16,-7.286
United States,USA,2020-11-17,-8.714
United States,USA,2020-11-18,-9.143
United States,USA,2020-11-19,-8.286
United States,USA,2020-11-20,-7.429
United States,USA,2020-11-21,-7.143
United States,USA,2020-11-22,-7.857
United States,USA,2020-11-23,-8.143
United States,USA,2020-11-24,-7.714
Uruguay,URY,2020-02-17,-10
Uruguay,URY,2020-02-18,-11.5
Uruguay,URY,2020-02-19,-10
Uruguay,URY,2020-02-20,-10.667
Uruguay,URY,2020-02-21,-13
Uruguay,URY,2020-02-22,-14.571
Uruguay,URY,2020-02-23,-13.286
Uruguay,URY,2020-02-24,-6.143
Uruguay,URY,2020-02-25,-4.857
Uruguay,URY,2020-02-26,-5.571
Uruguay,URY,2020-02-27,-4
Uruguay,URY,2020-02-28,-1.857
Uruguay,URY,2020-02-29,-1.714
Uruguay,URY,2020-03-01,-4.143
Uruguay,URY,2020-03-02,-10.286
Uruguay,URY,2020-03-03,-11
Uruguay,URY,2020-03-04,-11.714
Uruguay,URY,2020-03-05,-13.286
Uruguay,URY,2020-03-06,-14
Uruguay,URY,2020-03-07,-14.429
Uruguay,URY,2020-03-08,-13.857
Uruguay,URY,2020-03-09,-15.429
Uruguay,URY,2020-03-10,-16.857
Uruguay,URY,2020-03-11,-19.429
Uruguay,URY,2020-03-12,-20.571
Uruguay,URY,2020-03-13,-21.714
Uruguay,URY,2020-03-14,-28
Uruguay,URY,2020-03-15,-34.571
Uruguay,URY,2020-03-16,-37.429
Uruguay,URY,2020-03-17,-42.571
Uruguay,URY,2020-03-18,-47.571
Uruguay,URY,2020-03-19,-54
Uruguay,URY,2020-03-20,-59.429
Uruguay,URY,2020-03-21,-61
Uruguay,URY,2020-03-22,-63.714
Uruguay,URY,2020-03-23,-67
Uruguay,URY,2020-03-24,-68.571
Uruguay,URY,2020-03-25,-69.143
Uruguay,URY,2020-03-26,-69.571
Uruguay,URY,2020-03-27,-70.714
Uruguay,URY,2020-03-28,-71.857
Uruguay,URY,2020-03-29,-72
Uruguay,URY,2020-03-30,-72.143
Uruguay,URY,2020-03-31,-72.571
Uruguay,URY,2020-04-01,-72.857
Uruguay,URY,2020-04-02,-72.857
Uruguay,URY,2020-04-03,-72.143
Uruguay,URY,2020-04-04,-71.429
Uruguay,URY,2020-04-05,-71.429
Uruguay,URY,2020-04-06,-71.429
Uruguay,URY,2020-04-07,-71.143
Uruguay,URY,2020-04-08,-70.714
Uruguay,URY,2020-04-09,-70.857
Uruguay,URY,2020-04-10,-72.429
Uruguay,URY,2020-04-11,-73
Uruguay,URY,2020-04-12,-73
