number-of-people	living-voivodeship	living-county	living-municipality	working-voivodeship	working-county	working-municipality
60	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
77	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski
11	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka
31	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto	Dolnośląskie	Powiat lubański	Lubań
10	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto	Dolnośląskie	Powiat m.Jelenia Góra	Jelenia Góra
44	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto	Dolnośląskie	Powiat m.Wrocław	Wrocław
13	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
356	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
146	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
184	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto
11	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat bolesławiecki	Osiecznica
26	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka
47	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat lubański	Lubań
13	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat lwówecki	Gryfów Śląski - obszar wiejski
34	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat wrocławski	Kobierzyce
24	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat zgorzelecki	Zgorzelec
18	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat zgorzelecki	Węgliniec - miasto
10	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat m.Jelenia Góra	Jelenia Góra
12	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat m.Legnica	Legnica
161	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Dolnośląskie	Powiat m.Wrocław	Wrocław
40	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
138	Dolnośląskie	Powiat bolesławiecki	Osiecznica	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
64	Dolnośląskie	Powiat bolesławiecki	Osiecznica	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
13	Dolnośląskie	Powiat bolesławiecki	Osiecznica	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski
13	Dolnośląskie	Powiat bolesławiecki	Osiecznica	Dolnośląskie	Powiat zgorzelecki	Węgliniec - miasto
33	Dolnośląskie	Powiat bolesławiecki	Osiecznica	Dolnośląskie	Powiat m.Legnica	Legnica
42	Dolnośląskie	Powiat bolesławiecki	Osiecznica	Dolnośląskie	Powiat m.Wrocław	Wrocław
11	Dolnośląskie	Powiat bolesławiecki	Osiecznica	Lubuskie	Powiat świebodziński	Świebodzin - miasto
12	Dolnośląskie	Powiat bolesławiecki	Osiecznica	Lubuskie	Powiat żagański	Żagań
14	Dolnośląskie	Powiat bolesławiecki	Osiecznica	Lubuskie	Powiat żarski	Żary
11	Dolnośląskie	Powiat bolesławiecki	Osiecznica	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
406	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
136	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
52	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Dolnośląskie	Powiat bolesławiecki	Gromadka
28	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Dolnośląskie	Powiat lubiński	Lubin
37	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
22	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Dolnośląskie	Powiat polkowicki	Polkowice - obszar wiejski
24	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Dolnośląskie	Powiat wrocławski	Kobierzyce
16	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Dolnośląskie	Powiat złotoryjski	Złotoryja
34	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Dolnośląskie	Powiat m.Legnica	Legnica
102	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Dolnośląskie	Powiat m.Wrocław	Wrocław
14	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Mazowieckie	Powiat pruszkowski	Raszyn
19	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
1477	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
158	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat dzierżoniowski	Pieszyce
23	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat dzierżoniowski	Piława Górna
85	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
12	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat dzierżoniowski	Niemcza - miasto
118	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat świdnicki	Świdnica
17	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat świdnicki	Świdnica
11	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat wałbrzyski	Mieroszów - obszar wiejski
136	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
13	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat wrocławski	Kąty Wrocławskie - obszar wiejski
581	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat wrocławski	Kobierzyce
19	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat ząbkowicki	Ząbkowice Śląskie - miasto
12	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat m.Legnica	Legnica
423	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Dolnośląskie	Powiat m.Wrocław	Wrocław
60	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Kujawsko-pomorskie	Powiat m.Toruń	Toruń
23	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Lubuskie	Powiat m.Gorzów Wielkopolski	Gorzów Wielkopolski
20	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Małopolskie	Powiat m.Kraków	Kraków
44	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
23	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Świętokrzyskie	Powiat m.Kielce	Kielce
10	Dolnośląskie	Powiat dzierżoniowski	Bielawa	Wielkopolskie	Powiat m.Poznań	Poznań
357	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Bielawa
161	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Pieszyce
62	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Piława Górna
87	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
21	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki
26	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Niemcza - miasto
11	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat kłodzki	Kłodzko
14	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat oławski	Jelcz-Laskowice - miasto
183	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat świdnicki	Świdnica
13	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat wałbrzyski	Mieroszów - obszar wiejski
56	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
426	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat wrocławski	Kobierzyce
12	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat ząbkowicki	Ząbkowice Śląskie - miasto
23	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat m.Legnica	Legnica
511	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat m.Wrocław	Wrocław
12	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Kujawsko-pomorskie	Powiat m.Toruń	Toruń
28	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Lubuskie	Powiat m.Gorzów Wielkopolski	Gorzów Wielkopolski
11	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Małopolskie	Powiat m.Kraków	Kraków
60	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
21	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Opolskie	Powiat m.Opole	Opole
15	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Świętokrzyskie	Powiat m.Kielce	Kielce
14	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Wielkopolskie	Powiat m.Poznań	Poznań
113	Dolnośląskie	Powiat dzierżoniowski	Pieszyce	Dolnośląskie	Powiat dzierżoniowski	Bielawa
563	Dolnośląskie	Powiat dzierżoniowski	Pieszyce	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
12	Dolnośląskie	Powiat dzierżoniowski	Pieszyce	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
48	Dolnośląskie	Powiat dzierżoniowski	Pieszyce	Dolnośląskie	Powiat świdnicki	Świdnica
10	Dolnośląskie	Powiat dzierżoniowski	Pieszyce	Dolnośląskie	Powiat świdnicki	Świdnica
17	Dolnośląskie	Powiat dzierżoniowski	Pieszyce	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
105	Dolnośląskie	Powiat dzierżoniowski	Pieszyce	Dolnośląskie	Powiat wrocławski	Kobierzyce
94	Dolnośląskie	Powiat dzierżoniowski	Pieszyce	Dolnośląskie	Powiat m.Wrocław	Wrocław
15	Dolnośląskie	Powiat dzierżoniowski	Pieszyce	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
25	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Dolnośląskie	Powiat dzierżoniowski	Bielawa
316	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
15	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Dolnośląskie	Powiat dzierżoniowski	Pieszyce
37	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
39	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Dolnośląskie	Powiat dzierżoniowski	Niemcza - miasto
12	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski
11	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
180	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Dolnośląskie	Powiat wrocławski	Kobierzyce
23	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Dolnośląskie	Powiat ząbkowicki	Ząbkowice Śląskie - miasto
89	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Dolnośląskie	Powiat m.Wrocław	Wrocław
16	Dolnośląskie	Powiat dzierżoniowski	Piława Górna	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
144	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Bielawa
667	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
33	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Pieszyce
20	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Piława Górna
10	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki
142	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat świdnicki	Świdnica
15	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
84	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat wrocławski	Kobierzyce
128	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Dolnośląskie	Powiat m.Wrocław	Wrocław
14	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
11	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat dzierżoniowski	Bielawa
218	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
14	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
11	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat dzierżoniowski	Niemcza - miasto
14	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat świdnicki	Świdnica
13	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
26	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat wrocławski	Jordanów Śląski
14	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat wrocławski	Kąty Wrocławskie - miasto
11	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat wrocławski	Kąty Wrocławskie - obszar wiejski
324	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat wrocławski	Kobierzyce
12	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat wrocławski	Sobótka - miasto
320	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Dolnośląskie	Powiat m.Wrocław	Wrocław
15	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Kujawsko-pomorskie	Powiat m.Toruń	Toruń
11	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
10	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Opolskie	Powiat m.Opole	Opole
10	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki	Wielkopolskie	Powiat m.Poznań	Poznań
75	Dolnośląskie	Powiat dzierżoniowski	Niemcza - miasto	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
10	Dolnośląskie	Powiat dzierżoniowski	Niemcza - miasto	Dolnośląskie	Powiat dzierżoniowski	Piława Górna
16	Dolnośląskie	Powiat dzierżoniowski	Niemcza - miasto	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski
99	Dolnośląskie	Powiat dzierżoniowski	Niemcza - miasto	Dolnośląskie	Powiat wrocławski	Kobierzyce
72	Dolnośląskie	Powiat dzierżoniowski	Niemcza - miasto	Dolnośląskie	Powiat m.Wrocław	Wrocław
18	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski	Dolnośląskie	Powiat dzierżoniowski	Bielawa
100	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
13	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski	Dolnośląskie	Powiat dzierżoniowski	Piława Górna
11	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski	Dolnośląskie	Powiat dzierżoniowski	Dzierżoniów
10	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski	Dolnośląskie	Powiat dzierżoniowski	Łagiewniki
61	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski	Dolnośląskie	Powiat dzierżoniowski	Niemcza - miasto
67	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski	Dolnośląskie	Powiat wrocławski	Kobierzyce
18	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski	Dolnośląskie	Powiat ząbkowicki	Ząbkowice Śląskie - miasto
64	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski	Dolnośląskie	Powiat m.Wrocław	Wrocław
10	Dolnośląskie	Powiat dzierżoniowski	Niemcza - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
142	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat głogowski	Głogów
103	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat głogowski	Jerzmanowa
36	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat głogowski	Kotla
46	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat głogowski	Pęcław
47	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat głogowski	Żukowice
22	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat górowski	Góra - miasto
815	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat lubiński	Lubin
111	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat lubiński	Rudna
28	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat polkowicki	Gaworzyce
66	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat polkowicki	Grębocice
2299	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
1055	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat polkowicki	Polkowice - obszar wiejski
14	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat polkowicki	Przemków - miasto
97	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat polkowicki	Radwanice
14	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
23	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat wrocławski	Kobierzyce
12	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat zgorzelecki	Zgorzelec
13	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat zgorzelecki	Zgorzelec
13	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat złotoryjski	Złotoryja
162	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat m.Legnica	Legnica
691	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat m.Wrocław	Wrocław
29	Dolnośląskie	Powiat głogowski	Głogów	Lubuskie	Powiat nowosolski	Nowa Sól
11	Dolnośląskie	Powiat głogowski	Głogów	Lubuskie	Powiat świebodziński	Świebodzin - miasto
23	Dolnośląskie	Powiat głogowski	Głogów	Lubuskie	Powiat wschowski	Sława - miasto
27	Dolnośląskie	Powiat głogowski	Głogów	Lubuskie	Powiat wschowski	Sława - obszar wiejski
13	Dolnośląskie	Powiat głogowski	Głogów	Lubuskie	Powiat wschowski	Szlichtyngowa - miasto
28	Dolnośląskie	Powiat głogowski	Głogów	Lubuskie	Powiat wschowski	Wschowa - miasto
55	Dolnośląskie	Powiat głogowski	Głogów	Lubuskie	Powiat m.Zielona Góra	Zielona Góra
31	Dolnośląskie	Powiat głogowski	Głogów	Łódzkie	Powiat m.Łódź	Łódź
