date	voivodeship	region	infected_total
13.11.2020	Mazowieckie	Powiat białobrzeski	618
14.11.2020	Mazowieckie	Powiat białobrzeski	624
15.11.2020	Mazowieckie	Powiat białobrzeski	632
16.11.2020	Mazowieckie	Powiat białobrzeski	638
17.11.2020	Mazowieckie	Powiat białobrzeski	643
18.11.2020	Mazowieckie	Powiat białobrzeski	652
19.11.2020	Mazowieckie	Powiat białobrzeski	656
20.11.2020	Mazowieckie	Powiat białobrzeski	690
21.11.2020	Mazowieckie	Powiat białobrzeski	698
22.11.2020	Mazowieckie	Powiat białobrzeski	703
23.11.2020	Mazowieckie	Powiat białobrzeski	705
04.03.2020	Mazowieckie	Powiat ciechanowski	0
05.03.2020	Mazowieckie	Powiat ciechanowski	0
06.03.2020	Mazowieckie	Powiat ciechanowski	0
07.03.2020	Mazowieckie	Powiat ciechanowski	0
08.03.2020	Mazowieckie	Powiat ciechanowski	0
09.03.2020	Mazowieckie	Powiat ciechanowski	0
10.03.2020	Mazowieckie	Powiat ciechanowski	0
11.03.2020	Mazowieckie	Powiat ciechanowski	0
12.03.2020	Mazowieckie	Powiat ciechanowski	0
13.03.2020	Mazowieckie	Powiat ciechanowski	NA
14.03.2020	Mazowieckie	Powiat ciechanowski	NA
15.03.2020	Mazowieckie	Powiat ciechanowski	NA
16.03.2020	Mazowieckie	Powiat ciechanowski	NA
17.03.2020	Mazowieckie	Powiat ciechanowski	NA
18.03.2020	Mazowieckie	Powiat ciechanowski	NA
19.03.2020	Mazowieckie	Powiat ciechanowski	NA
20.03.2020	Mazowieckie	Powiat ciechanowski	NA
21.03.2020	Mazowieckie	Powiat ciechanowski	NA
22.03.2020	Mazowieckie	Powiat ciechanowski	NA
23.03.2020	Mazowieckie	Powiat ciechanowski	NA
24.03.2020	Mazowieckie	Powiat ciechanowski	NA
25.03.2020	Mazowieckie	Powiat ciechanowski	1
26.03.2020	Mazowieckie	Powiat ciechanowski	1
27.03.2020	Mazowieckie	Powiat ciechanowski	1
28.03.2020	Mazowieckie	Powiat ciechanowski	1
29.03.2020	Mazowieckie	Powiat ciechanowski	1
30.03.2020	Mazowieckie	Powiat ciechanowski	1
31.03.2020	Mazowieckie	Powiat ciechanowski	1
01.04.2020	Mazowieckie	Powiat ciechanowski	1
02.04.2020	Mazowieckie	Powiat ciechanowski	1
03.04.2020	Mazowieckie	Powiat ciechanowski	1
04.04.2020	Mazowieckie	Powiat ciechanowski	1
05.04.2020	Mazowieckie	Powiat ciechanowski	1
