id_living_municipality	id_working_municipality	number_of_people	living_municipality	living_voivodeship	working_municipality	working_voivodeship
1012082	2464011	13	Lgota Wielka	Łódzkie	Częstochowa	Śląskie
1012092	1001042	33	Ładzice	Łódzkie	Kleszczów	Łódzkie
1012092	1012011	321	Ładzice	Łódzkie	Radomsko	Łódzkie
1012092	1061011	31	Ładzice	Łódzkie	Łódź	Łódzkie
1012092	1465011	14	Ładzice	Łódzkie	Warszawa	Mazowieckie
1012092	2261011	18	Ładzice	Łódzkie	Gdańsk	Pomorskie
1012092	2464011	12	Ładzice	Łódzkie	Częstochowa	Śląskie
1012102	1001042	15	Masłowice	Łódzkie	Kleszczów	Łódzkie
1012102	1010032	10	Masłowice	Łódzkie	Gorzkowice	Łódzkie
1012102	1012011	63	Masłowice	Łódzkie	Radomsko	Łódzkie
1012102	1012072	14	Masłowice	Łódzkie	Kodrąb	Łódzkie
1012102	1012114	38	Masłowice	Łódzkie	Przedbórz - miasto	Łódzkie
1012102	1012132	18	Masłowice	Łódzkie	Wielgomłyny	Łódzkie
1012102	1061011	30	Masłowice	Łódzkie	Łódź	Łódzkie
1012102	1062011	14	Masłowice	Łódzkie	Piotrków Trybunalski	Łódzkie
1012114	1012011	30	Przedbórz - miasto	Łódzkie	Radomsko	Łódzkie
1012114	1012102	40	Przedbórz - miasto	Łódzkie	Masłowice	Łódzkie
1012114	1012115	47	Przedbórz - miasto	Łódzkie	Przedbórz - obszar wiejski	Łódzkie
1012114	1061011	27	Przedbórz - miasto	Łódzkie	Łódź	Łódzkie
1012114	1062011	12	Przedbórz - miasto	Łódzkie	Piotrków Trybunalski	Łódzkie
1012115	1012011	11	Przedbórz - obszar wiejski	Łódzkie	Radomsko	Łódzkie
1012115	1012102	16	Przedbórz - obszar wiejski	Łódzkie	Masłowice	Łódzkie
1012115	1012114	57	Przedbórz - obszar wiejski	Łódzkie	Przedbórz - miasto	Łódzkie
1012115	1061011	19	Przedbórz - obszar wiejski	Łódzkie	Łódź	Łódzkie
1012115	2605012	14	Przedbórz - obszar wiejski	Łódzkie	Fałków	Świętokrzyskie
1012115	2613064	14	Przedbórz - obszar wiejski	Łódzkie	Włoszczowa - miasto	Świętokrzyskie
1012122	1001042	36	Radomsko	Łódzkie	Kleszczów	Łódzkie
1012122	1012011	368	Radomsko	Łódzkie	Radomsko	Łódzkie
1012122	1012062	15	Radomsko	Łódzkie	Kobiele Wielkie	Łódzkie
1012122	1012072	10	Radomsko	Łódzkie	Kodrąb	Łódzkie
1012122	1012092	24	Radomsko	Łódzkie	Ładzice	Łódzkie
1012122	1061011	62	Radomsko	Łódzkie	Łódź	Łódzkie
1012122	1465011	12	Radomsko	Łódzkie	Warszawa	Mazowieckie
1012122	2464011	17	Radomsko	Łódzkie	Częstochowa	Śląskie
1012132	1001042	11	Wielgomłyny	Łódzkie	Kleszczów	Łódzkie
1012132	1012011	128	Wielgomłyny	Łódzkie	Radomsko	Łódzkie
1012132	1012062	13	Wielgomłyny	Łódzkie	Kobiele Wielkie	Łódzkie
1012132	1012072	17	Wielgomłyny	Łódzkie	Kodrąb	Łódzkie
1012132	1012102	22	Wielgomłyny	Łódzkie	Masłowice	Łódzkie
1012132	1012114	10	Wielgomłyny	Łódzkie	Przedbórz - miasto	Łódzkie
1012132	1012122	26	Wielgomłyny	Łódzkie	Radomsko	Łódzkie
1012132	1061011	30	Wielgomłyny	Łódzkie	Łódź	Łódzkie
1012142	1012011	66	Żytno	Łódzkie	Radomsko	Łódzkie
1012142	1012032	11	Żytno	Łódzkie	Gidle	Łódzkie
1012142	1061011	21	Żytno	Łódzkie	Łódź	Łódzkie
1012142	1465011	21	Żytno	Łódzkie	Warszawa	Mazowieckie
1012142	2464011	65	Żytno	Łódzkie	Częstochowa	Śląskie
1012142	2613064	27	Żytno	Łódzkie	Włoszczowa - miasto	Świętokrzyskie
1013011	1013024	62	Rawa Mazowiecka	Łódzkie	Biała Rawska - miasto	Łódzkie
1013011	1013025	30	Rawa Mazowiecka	Łódzkie	Biała Rawska - obszar wiejski	Łódzkie
1013011	1013032	77	Rawa Mazowiecka	Łódzkie	Cielądz	Łódzkie
1013011	1013042	228	Rawa Mazowiecka	Łódzkie	Rawa Mazowiecka	Łódzkie
1013011	1013052	25	Rawa Mazowiecka	Łódzkie	Regnów	Łódzkie
1013011	1013062	13	Rawa Mazowiecka	Łódzkie	Sadkowice	Łódzkie
1013011	1015022	20	Rawa Mazowiecka	Łódzkie	Głuchów	Łódzkie
1013011	1016011	18	Rawa Mazowiecka	Łódzkie	Tomaszów Mazowiecki	Łódzkie
1013011	1016042	14	Rawa Mazowiecka	Łódzkie	Czerniewice	Łódzkie
1013011	1061011	242	Rawa Mazowiecka	Łódzkie	Łódź	Łódzkie
1013011	1062011	11	Rawa Mazowiecka	Łódzkie	Piotrków Trybunalski	Łódzkie
1013011	1063011	58	Rawa Mazowiecka	Łódzkie	Skierniewice	Łódzkie
1013011	1405044	17	Rawa Mazowiecka	Łódzkie	Grodzisk Mazowiecki - miasto	Mazowieckie
1013011	1405062	17	Rawa Mazowiecka	Łódzkie	Żabia Wola	Mazowieckie
1013011	1406085	18	Rawa Mazowiecka	Łódzkie	Nowe Miasto nad Pilicą - obszar wiejski	Mazowieckie
1013011	1438024	21	Rawa Mazowiecka	Łódzkie	Mszczonów - miasto	Mazowieckie
1013011	1438042	14	Rawa Mazowiecka	Łódzkie	Radziejowice	Mazowieckie
1013011	1465011	179	Rawa Mazowiecka	Łódzkie	Warszawa	Mazowieckie
1013011	2469011	28	Rawa Mazowiecka	Łódzkie	Katowice	Śląskie
1013011	3064011	13	Rawa Mazowiecka	Łódzkie	Poznań	Wielkopolskie
1013024	1013011	27	Biała Rawska - miasto	Łódzkie	Rawa Mazowiecka	Łódzkie
1013024	1013025	48	Biała Rawska - miasto	Łódzkie	Biała Rawska - obszar wiejski	Łódzkie
1013024	1061011	36	Biała Rawska - miasto	Łódzkie	Łódź	Łódzkie
1013024	1405062	10	Biała Rawska - miasto	Łódzkie	Żabia Wola	Mazowieckie
1013024	1465011	63	Biała Rawska - miasto	Łódzkie	Warszawa	Mazowieckie
1013025	1013011	88	Biała Rawska - obszar wiejski	Łódzkie	Rawa Mazowiecka	Łódzkie
1013025	1013024	144	Biała Rawska - obszar wiejski	Łódzkie	Biała Rawska - miasto	Łódzkie
1013025	1013042	11	Biała Rawska - obszar wiejski	Łódzkie	Rawa Mazowiecka	Łódzkie
1013025	1013052	14	Biała Rawska - obszar wiejski	Łódzkie	Regnów	Łódzkie
1013025	1061011	129	Biała Rawska - obszar wiejski	Łódzkie	Łódź	Łódzkie
1013025	1405062	16	Biała Rawska - obszar wiejski	Łódzkie	Żabia Wola	Mazowieckie
1013025	1438025	10	Biała Rawska - obszar wiejski	Łódzkie	Mszczonów - obszar wiejski	Mazowieckie
1013025	1465011	91	Biała Rawska - obszar wiejski	Łódzkie	Warszawa	Mazowieckie
1013025	3064011	24	Biała Rawska - obszar wiejski	Łódzkie	Poznań	Wielkopolskie
1013032	0264011	14	Cielądz	Łódzkie	Wrocław	Dolnośląskie
1013032	1013011	185	Cielądz	Łódzkie	Rawa Mazowiecka	Łódzkie
1013032	1013024	10	Cielądz	Łódzkie	Biała Rawska - miasto	Łódzkie
1013032	1013042	33	Cielądz	Łódzkie	Rawa Mazowiecka	Łódzkie
1013032	1013052	43	Cielądz	Łódzkie	Regnów	Łódzkie
1013032	1061011	62	Cielądz	Łódzkie	Łódź	Łódzkie
1013032	1465011	26	Cielądz	Łódzkie	Warszawa	Mazowieckie
1013032	3064011	25	Cielądz	Łódzkie	Poznań	Wielkopolskie
1013042	0264011	16	Rawa Mazowiecka	Łódzkie	Wrocław	Dolnośląskie
1013042	1013011	530	Rawa Mazowiecka	Łódzkie	Rawa Mazowiecka	Łódzkie
1013042	1013024	22	Rawa Mazowiecka	Łódzkie	Biała Rawska - miasto	Łódzkie
1013042	1013025	16	Rawa Mazowiecka	Łódzkie	Biała Rawska - obszar wiejski	Łódzkie
1013042	1013032	58	Rawa Mazowiecka	Łódzkie	Cielądz	Łódzkie
1013042	1013052	13	Rawa Mazowiecka	Łódzkie	Regnów	Łódzkie
1013042	1015022	12	Rawa Mazowiecka	Łódzkie	Głuchów	Łódzkie
1013042	1015072	12	Rawa Mazowiecka	Łódzkie	Nowy Kawęczyn	Łódzkie
1013042	1016011	12	Rawa Mazowiecka	Łódzkie	Tomaszów Mazowiecki	Łódzkie
1013042	1061011	148	Rawa Mazowiecka	Łódzkie	Łódź	Łódzkie
1013042	1063011	33	Rawa Mazowiecka	Łódzkie	Skierniewice	Łódzkie
1013042	1465011	70	Rawa Mazowiecka	Łódzkie	Warszawa	Mazowieckie
1013042	2476011	11	Rawa Mazowiecka	Łódzkie	Świętochłowice	Śląskie
1013042	3064011	32	Rawa Mazowiecka	Łódzkie	Poznań	Wielkopolskie
1013052	1013011	56	Regnów	Łódzkie	Rawa Mazowiecka	Łódzkie
1013052	1013042	11	Regnów	Łódzkie	Rawa Mazowiecka	Łódzkie
1013052	1061011	21	Regnów	Łódzkie	Łódź	Łódzkie
1013052	1465011	16	Regnów	Łódzkie	Warszawa	Mazowieckie
1013052	3064011	13	Regnów	Łódzkie	Poznań	Wielkopolskie
1013062	1013011	40	Sadkowice	Łódzkie	Rawa Mazowiecka	Łódzkie
1013062	1013024	19	Sadkowice	Łódzkie	Biała Rawska - miasto	Łódzkie
1013062	1013052	13	Sadkowice	Łódzkie	Regnów	Łódzkie
1013062	1016011	10	Sadkowice	Łódzkie	Tomaszów Mazowiecki	Łódzkie
1013062	1061011	43	Sadkowice	Łódzkie	Łódź	Łódzkie
1013062	1406054	14	Sadkowice	Łódzkie	Grójec - miasto	Mazowieckie
1013062	1406085	10	Sadkowice	Łódzkie	Nowe Miasto nad Pilicą - obszar wiejski	Mazowieckie
1013062	1465011	49	Sadkowice	Łódzkie	Warszawa	Mazowieckie
1014011	0264011	35	Sieradz	Łódzkie	Wrocław	Dolnośląskie
1014011	1003024	52	Sieradz	Łódzkie	Łask - miasto	Łódzkie
1014011	1003032	17	Sieradz	Łódzkie	Sędziejowice	Łódzkie
1014011	1014024	21	Sieradz	Łódzkie	Błaszki - miasto	Łódzkie
1014011	1014025	36	Sieradz	Łódzkie	Błaszki - obszar wiejski	Łódzkie
1014011	1014032	42	Sieradz	Łódzkie	Brąszewice	Łódzkie
1014011	1014042	102	Sieradz	Łódzkie	Brzeźnio	Łódzkie
1014011	1014052	30	Sieradz	Łódzkie	Burzenin	Łódzkie
1014011	1014062	15	Sieradz	Łódzkie	Goszczanów	Łódzkie
1014011	1014072	13	Sieradz	Łódzkie	Klonowa	Łódzkie
1014011	1014082	336	Sieradz	Łódzkie	Sieradz	Łódzkie
1014011	1014094	48	Sieradz	Łódzkie	Warta - miasto	Łódzkie
1014011	1014095	56	Sieradz	Łódzkie	Warta - obszar wiejski	Łódzkie
1014011	1014102	189	Sieradz	Łódzkie	Wróblew	Łódzkie
1014011	1014114	40	Sieradz	Łódzkie	Złoczew - miasto	Łódzkie
1014011	1014115	10	Sieradz	Łódzkie	Złoczew - obszar wiejski	Łódzkie
1014011	1015042	19	Sieradz	Łódzkie	Kowiesy	Łódzkie
1014011	1017094	11	Sieradz	Łódzkie	Wieluń - miasto	Łódzkie
1014011	1019011	315	Sieradz	Łódzkie	Zduńska Wola	Łódzkie
1014011	1019042	56	Sieradz	Łódzkie	Zduńska Wola	Łódzkie
1014011	1020062	10	Sieradz	Łódzkie	Ozorków	Łódzkie
1014011	1061011	438	Sieradz	Łódzkie	Łódź	Łódzkie
1014011	1261011	11	Sieradz	Łódzkie	Kraków	Małopolskie
1014011	1465011	107	Sieradz	Łódzkie	Warszawa	Mazowieckie
1014011	2204042	15	Sieradz	Łódzkie	Pruszcz Gdański	Pomorskie
1014011	2469011	11	Sieradz	Łódzkie	Katowice	Śląskie
1014011	3017011	10	Sieradz	Łódzkie	Ostrów Wielkopolski	Wielkopolskie
1014011	3061011	19	Sieradz	Łódzkie	Kalisz	Wielkopolskie
1014011	3064011	13	Sieradz	Łódzkie	Poznań	Wielkopolskie
1014024	1014011	21	Błaszki - miasto	Łódzkie	Sieradz	Łódzkie
1014024	1014025	43	Błaszki - miasto	Łódzkie	Błaszki - obszar wiejski	Łódzkie
1014024	1014102	23	Błaszki - miasto	Łódzkie	Wróblew	Łódzkie
1014024	1061011	23	Błaszki - miasto	Łódzkie	Łódź	Łódzkie
1014024	3061011	35	Błaszki - miasto	Łódzkie	Kalisz	Wielkopolskie
1014025	0264011	16	Błaszki - obszar wiejski	Łódzkie	Wrocław	Dolnośląskie
1014025	1014011	164	Błaszki - obszar wiejski	Łódzkie	Sieradz	Łódzkie
1014025	1014024	162	Błaszki - obszar wiejski	Łódzkie	Błaszki - miasto	Łódzkie
1014025	1014032	22	Błaszki - obszar wiejski	Łódzkie	Brąszewice	Łódzkie
1014025	1014042	11	Błaszki - obszar wiejski	Łódzkie	Brzeźnio	Łódzkie
1014025	1014062	20	Błaszki - obszar wiejski	Łódzkie	Goszczanów	Łódzkie
1014025	1014082	35	Błaszki - obszar wiejski	Łódzkie	Sieradz	Łódzkie
1014025	1014095	10	Błaszki - obszar wiejski	Łódzkie	Warta - obszar wiejski	Łódzkie
1014025	1014102	64	Błaszki - obszar wiejski	Łódzkie	Wróblew	Łódzkie
1014025	1061011	92	Błaszki - obszar wiejski	Łódzkie	Łódź	Łódzkie
1014025	1465011	27	Błaszki - obszar wiejski	Łódzkie	Warszawa	Mazowieckie
1014025	3007022	51	Błaszki - obszar wiejski	Łódzkie	Brzeziny	Wielkopolskie
1014025	3007042	10	Błaszki - obszar wiejski	Łódzkie	Godziesze Wielkie	Wielkopolskie
1014025	3007052	14	Błaszki - obszar wiejski	Łódzkie	Koźminek	Wielkopolskie
1014025	3007082	65	Błaszki - obszar wiejski	Łódzkie	Opatówek	Wielkopolskie
1014025	3007102	25	Błaszki - obszar wiejski	Łódzkie	Szczytniki	Wielkopolskie
1014025	3017011	15	Błaszki - obszar wiejski	Łódzkie	Ostrów Wielkopolski	Wielkopolskie
1014025	3017025	16	Błaszki - obszar wiejski	Łódzkie	Nowe Skalmierzyce - obszar wiejski	Wielkopolskie
1014025	3018012	17	Błaszki - obszar wiejski	Łódzkie	Czajków	Wielkopolskie
1014025	3018052	15	Błaszki - obszar wiejski	Łódzkie	Kraszewice	Wielkopolskie
1014025	3061011	168	Błaszki - obszar wiejski	Łódzkie	Kalisz	Wielkopolskie
1014025	3064011	13	Błaszki - obszar wiejski	Łódzkie	Poznań	Wielkopolskie
1014032	1014011	90	Brąszewice	Łódzkie	Sieradz	Łódzkie
1014032	1014042	30	Brąszewice	Łódzkie	Brzeźnio	Łódzkie
1014032	1014072	17	Brąszewice	Łódzkie	Klonowa	Łódzkie
1014032	1014082	12	Brąszewice	Łódzkie	Sieradz	Łódzkie
1014032	1061011	36	Brąszewice	Łódzkie	Łódź	Łódzkie
1014032	3007022	13	Brąszewice	Łódzkie	Brzeziny	Wielkopolskie
1014032	3018012	18	Brąszewice	Łódzkie	Czajków	Wielkopolskie
1014042	1014011	319	Brzeźnio	Łódzkie	Sieradz	Łódzkie
1014042	1014032	33	Brzeźnio	Łódzkie	Brąszewice	Łódzkie
1014042	1014082	39	Brzeźnio	Łódzkie	Sieradz	Łódzkie
1014042	1014102	28	Brzeźnio	Łódzkie	Wróblew	Łódzkie
1014042	1014114	20	Brzeźnio	Łódzkie	Złoczew - miasto	Łódzkie
1014042	1017094	18	Brzeźnio	Łódzkie	Wieluń - miasto	Łódzkie
1014042	1019011	18	Brzeźnio	Łódzkie	Zduńska Wola	Łódzkie
1014042	1061011	88	Brzeźnio	Łódzkie	Łódź	Łódzkie
1014042	1465011	10	Brzeźnio	Łódzkie	Warszawa	Mazowieckie
1014052	1003042	16	Burzenin	Łódzkie	Widawa	Łódzkie
1014052	1014011	201	Burzenin	Łódzkie	Sieradz	Łódzkie
1014052	1014042	33	Burzenin	Łódzkie	Brzeźnio	Łódzkie
1014052	1014082	46	Burzenin	Łódzkie	Sieradz	Łódzkie
1014052	1014102	10	Burzenin	Łódzkie	Wróblew	Łódzkie
1014052	1014114	25	Burzenin	Łódzkie	Złoczew - miasto	Łódzkie
1014052	1017094	11	Burzenin	Łódzkie	Wieluń - miasto	Łódzkie
1014052	1019011	29	Burzenin	Łódzkie	Zduńska Wola	Łódzkie
1014052	1061011	68	Burzenin	Łódzkie	Łódź	Łódzkie
1014052	1465011	11	Burzenin	Łódzkie	Warszawa	Mazowieckie
1014062	1014011	26	Goszczanów	Łódzkie	Sieradz	Łódzkie
1014062	1014025	11	Goszczanów	Łódzkie	Błaszki - obszar wiejski	Łódzkie
1014062	1014094	15	Goszczanów	Łódzkie	Warta - miasto	Łódzkie
1014062	1019024	12	Goszczanów	Łódzkie	Szadek - miasto	Łódzkie
1014062	1061011	42	Goszczanów	Łódzkie	Łódź	Łódzkie
1014062	3007052	30	Goszczanów	Łódzkie	Koźminek	Wielkopolskie
1014062	3007062	22	Goszczanów	Łódzkie	Lisków	Wielkopolskie
1014062	3007082	18	Goszczanów	Łódzkie	Opatówek	Wielkopolskie
1014062	3007102	15	Goszczanów	Łódzkie	Szczytniki	Wielkopolskie
1014062	3017025	11	Goszczanów	Łódzkie	Nowe Skalmierzyce - obszar wiejski	Wielkopolskie
1014062	3027011	28	Goszczanów	Łódzkie	Turek	Wielkopolskie
1014062	3061011	61	Goszczanów	Łódzkie	Kalisz	Wielkopolskie
1014072	1014011	15	Klonowa	Łódzkie	Sieradz	Łódzkie
1014072	1014032	12	Klonowa	Łódzkie	Brąszewice	Łódzkie
1014072	1014114	18	Klonowa	Łódzkie	Złoczew - miasto	Łódzkie
1014072	1017022	17	Klonowa	Łódzkie	Czarnożyły	Łódzkie
1014072	1017094	12	Klonowa	Łódzkie	Wieluń - miasto	Łódzkie
1014072	1018042	12	Klonowa	Łódzkie	Lututów	Łódzkie
1014072	1061011	21	Klonowa	Łódzkie	Łódź	Łódzkie
1014072	3018012	31	Klonowa	Łódzkie	Czajków	Wielkopolskie
1014082	1003024	18	Sieradz	Łódzkie	Łask - miasto	Łódzkie
1014082	1014011	802	Sieradz	Łódzkie	Sieradz	Łódzkie
1014082	1014042	40	Sieradz	Łódzkie	Brzeźnio	Łódzkie
1014082	1014094	12	Sieradz	Łódzkie	Warta - miasto	Łódzkie
1014082	1014095	14	Sieradz	Łódzkie	Warta - obszar wiejski	Łódzkie
1014082	1014102	37	Sieradz	Łódzkie	Wróblew	Łódzkie
1014082	1014114	19	Sieradz	Łódzkie	Złoczew - miasto	Łódzkie
1014082	1019011	148	Sieradz	Łódzkie	Zduńska Wola	Łódzkie
1014082	1019042	32	Sieradz	Łódzkie	Zduńska Wola	Łódzkie
1014082	1061011	236	Sieradz	Łódzkie	Łódź	Łódzkie
1014082	1465011	14	Sieradz	Łódzkie	Warszawa	Mazowieckie
1014094	1014011	111	Warta - miasto	Łódzkie	Sieradz	Łódzkie
1014094	1014082	28	Warta - miasto	Łódzkie	Sieradz	Łódzkie
1014094	1014095	25	Warta - miasto	Łódzkie	Warta - obszar wiejski	Łódzkie
1014094	1014102	17	Warta - miasto	Łódzkie	Wróblew	Łódzkie
1014094	1061011	44	Warta - miasto	Łódzkie	Łódź	Łódzkie
1014095	1008062	12	Warta - obszar wiejski	Łódzkie	Lutomiersk	Łódzkie
1014095	1014011	327	Warta - obszar wiejski	Łódzkie	Sieradz	Łódzkie
1014095	1014025	15	Warta - obszar wiejski	Łódzkie	Błaszki - obszar wiejski	Łódzkie
1014095	1014062	20	Warta - obszar wiejski	Łódzkie	Goszczanów	Łódzkie
1014095	1014082	52	Warta - obszar wiejski	Łódzkie	Sieradz	Łódzkie
1014095	1014094	138	Warta - obszar wiejski	Łódzkie	Warta - miasto	Łódzkie
1014095	1014102	36	Warta - obszar wiejski	Łódzkie	Wróblew	Łódzkie
1014095	1019011	45	Warta - obszar wiejski	Łódzkie	Zduńska Wola	Łódzkie
1014095	1019024	21	Warta - obszar wiejski	Łódzkie	Szadek - miasto	Łódzkie
1014095	1019042	12	Warta - obszar wiejski	Łódzkie	Zduńska Wola	Łódzkie
1014095	1061011	133	Warta - obszar wiejski	Łódzkie	Łódź	Łódzkie
1014095	1465011	31	Warta - obszar wiejski	Łódzkie	Warszawa	Mazowieckie
1014095	3027011	12	Warta - obszar wiejski	Łódzkie	Turek	Wielkopolskie
1014102	1003024	10	Wróblew	Łódzkie	Łask - miasto	Łódzkie
1014102	1014011	290	Wróblew	Łódzkie	Sieradz	Łódzkie
1014102	1014025	48	Wróblew	Łódzkie	Błaszki - obszar wiejski	Łódzkie
1014102	1014042	16	Wróblew	Łódzkie	Brzeźnio	Łódzkie
1014102	1014082	37	Wróblew	Łódzkie	Sieradz	Łódzkie
1014102	1019011	17	Wróblew	Łódzkie	Zduńska Wola	Łódzkie
1014102	1061011	97	Wróblew	Łódzkie	Łódź	Łódzkie
1014102	3017011	10	Wróblew	Łódzkie	Ostrów Wielkopolski	Wielkopolskie
1014114	1014011	119	Złoczew - miasto	Łódzkie	Sieradz	Łódzkie
1014114	1014032	12	Złoczew - miasto	Łódzkie	Brąszewice	Łódzkie
1014114	1014042	36	Złoczew - miasto	Łódzkie	Brzeźnio	Łódzkie
1014114	1014082	13	Złoczew - miasto	Łódzkie	Sieradz	Łódzkie
1014114	1014115	24	Złoczew - miasto	Łódzkie	Złoczew - obszar wiejski	Łódzkie
1014114	1017094	36	Złoczew - miasto	Łódzkie	Wieluń - miasto	Łódzkie
1014114	1018042	15	Złoczew - miasto	Łódzkie	Lututów	Łódzkie
1014114	1061011	37	Złoczew - miasto	Łódzkie	Łódź	Łódzkie
1014114	1465011	11	Złoczew - miasto	Łódzkie	Warszawa	Mazowieckie
1014115	1014011	91	Złoczew - obszar wiejski	Łódzkie	Sieradz	Łódzkie
1014115	1014032	13	Złoczew - obszar wiejski	Łódzkie	Brąszewice	Łódzkie
1014115	1014042	36	Złoczew - obszar wiejski	Łódzkie	Brzeźnio	Łódzkie
1014115	1014052	10	Złoczew - obszar wiejski	Łódzkie	Burzenin	Łódzkie
1014115	1014082	12	Złoczew - obszar wiejski	Łódzkie	Sieradz	Łódzkie
1014115	1014102	11	Złoczew - obszar wiejski	Łódzkie	Wróblew	Łódzkie
1014115	1014114	116	Złoczew - obszar wiejski	Łódzkie	Złoczew - miasto	Łódzkie
1014115	1017094	38	Złoczew - obszar wiejski	Łódzkie	Wieluń - miasto	Łódzkie
1014115	1018042	16	Złoczew - obszar wiejski	Łódzkie	Lututów	Łódzkie
1014115	1061011	33	Złoczew - obszar wiejski	Łódzkie	Łódź	Łódzkie
1014115	1465011	17	Złoczew - obszar wiejski	Łódzkie	Warszawa	Mazowieckie
1015012	1005011	20	Bolimów	Łódzkie	Łowicz	Łódzkie
1015012	1005082	11	Bolimów	Łódzkie	Łyszkowice	Łódzkie
1015012	1005092	17	Bolimów	Łódzkie	Nieborów	Łódzkie
1015012	1061011	116	Bolimów	Łódzkie	Łódź	Łódzkie
1015012	1063011	54	Bolimów	Łódzkie	Skierniewice	Łódzkie
1015012	1428011	22	Bolimów	Łódzkie	Sochaczew	Mazowieckie
1015012	1428052	22	Bolimów	Łódzkie	Nowa Sucha	Mazowieckie
1015012	1428072	11	Bolimów	Łódzkie	Sochaczew	Mazowieckie
1015012	1428082	11	Bolimów	Łódzkie	Teresin	Mazowieckie
1015012	1438011	24	Bolimów	Łódzkie	Żyrardów	Mazowieckie
1015012	1438024	12	Bolimów	Łódzkie	Mszczonów - miasto	Mazowieckie
1015012	1438042	11	Bolimów	Łódzkie	Radziejowice	Mazowieckie
1015012	1465011	115	Bolimów	Łódzkie	Warszawa	Mazowieckie
1015012	2469011	14	Bolimów	Łódzkie	Katowice	Śląskie
1015022	1013011	102	Głuchów	Łódzkie	Rawa Mazowiecka	Łódzkie
1015022	1013042	10	Głuchów	Łódzkie	Rawa Mazowiecka	Łódzkie
1015022	1016011	14	Głuchów	Łódzkie	Tomaszów Mazowiecki	Łódzkie
1015022	1021011	22	Głuchów	Łódzkie	Brzeziny	Łódzkie
1015022	1021042	14	Głuchów	Łódzkie	Jeżów	Łódzkie
1015022	1061011	94	Głuchów	Łódzkie	Łódź	Łódzkie
1015022	1063011	89	Głuchów	Łódzkie	Skierniewice	Łódzkie
1015022	1465011	33	Głuchów	Łódzkie	Warszawa	Mazowieckie
1015022	3064011	11	Głuchów	Łódzkie	Poznań	Wielkopolskie
1015032	1061011	87	Godzianów	Łódzkie	Łódź	Łódzkie
1015032	1063011	104	Godzianów	Łódzkie	Skierniewice	Łódzkie
1015032	1465011	45	Godzianów	Łódzkie	Warszawa	Mazowieckie
1015032	2609011	12	Godzianów	Łódzkie	Sandomierz	Świętokrzyskie
1015042	1013024	12	Kowiesy	Łódzkie	Biała Rawska - miasto	Łódzkie
1015042	1061011	69	Kowiesy	Łódzkie	Łódź	Łódzkie
1015042	1063011	20	Kowiesy	Łódzkie	Skierniewice	Łódzkie
1015042	1438024	17	Kowiesy	Łódzkie	Mszczonów - miasto	Mazowieckie
1015042	1438025	44	Kowiesy	Łódzkie	Mszczonów - obszar wiejski	Mazowieckie
1015042	1438032	10	Kowiesy	Łódzkie	Puszcza Mariańska	Mazowieckie
1015042	1438042	11	Kowiesy	Łódzkie	Radziejowice	Mazowieckie
1015042	1465011	37	Kowiesy	Łódzkie	Warszawa	Mazowieckie
1015052	1015032	12	Lipce Reymontowskie	Łódzkie	Godzianów	Łódzkie
1015052	1061011	153	Lipce Reymontowskie	Łódzkie	Łódź	Łódzkie
1015052	1063011	95	Lipce Reymontowskie	Łódzkie	Skierniewice	Łódzkie
1015052	1465011	57	Lipce Reymontowskie	Łódzkie	Warszawa	Mazowieckie
1015052	2609011	17	Lipce Reymontowskie	Łódzkie	Sandomierz	Świętokrzyskie
1015062	1005011	12	Maków	Łódzkie	Łowicz	Łódzkie
1015062	1015052	16	Maków	Łódzkie	Lipce Reymontowskie	Łódzkie
1015062	1061011	253	Maków	Łódzkie	Łódź	Łódzkie
1015062	1063011	358	Maków	Łódzkie	Skierniewice	Łódzkie
1015062	1421021	10	Maków	Łódzkie	Pruszków	Mazowieckie
1015062	1438011	16	Maków	Łódzkie	Żyrardów	Mazowieckie
1015062	1465011	128	Maków	Łódzkie	Warszawa	Mazowieckie
1015062	2609011	23	Maków	Łódzkie	Sandomierz	Świętokrzyskie
1015072	1013011	23	Nowy Kawęczyn	Łódzkie	Rawa Mazowiecka	Łódzkie
1015072	1015082	21	Nowy Kawęczyn	Łódzkie	Skierniewice	Łódzkie
1015072	1061011	50	Nowy Kawęczyn	Łódzkie	Łódź	Łódzkie
1015072	1063011	127	Nowy Kawęczyn	Łódzkie	Skierniewice	Łódzkie
1015072	1438011	16	Nowy Kawęczyn	Łódzkie	Żyrardów	Mazowieckie
1015072	1465011	39	Nowy Kawęczyn	Łódzkie	Warszawa	Mazowieckie
1015072	2609011	12	Nowy Kawęczyn	Łódzkie	Sandomierz	Świętokrzyskie
1015082	1001011	11	Skierniewice	Łódzkie	Bełchatów	Łódzkie
1015082	1015012	11	Skierniewice	Łódzkie	Bolimów	Łódzkie
1015082	1015022	18	Skierniewice	Łódzkie	Głuchów	Łódzkie
1015082	1015032	13	Skierniewice	Łódzkie	Godzianów	Łódzkie
1015082	1015062	12	Skierniewice	Łódzkie	Maków	Łódzkie
1015082	1061011	200	Skierniewice	Łódzkie	Łódź	Łódzkie
1015082	1063011	392	Skierniewice	Łódzkie	Skierniewice	Łódzkie
1015082	1405044	11	Skierniewice	Łódzkie	Grodzisk Mazowiecki - miasto	Mazowieckie
1015082	1438011	21	Skierniewice	Łódzkie	Żyrardów	Mazowieckie
