Kod,Nazwa,Powierzchnia,Liczba_ludnosci,Gestosc_zaludnienia
2406000,powiat kłobucki,888.59,84924,95.57
2407000,powiat lubliniecki,822.25,76593,93.15
2408000,powiat mikołowski,233.1,98373,422.02
2409000,powiat myszkowski,479.25,71119,148.4
2410000,powiat pszczyński,471.16,111202,236.02
2411000,powiat raciborski,543.76,108513,199.56
2412000,powiat rybnicki,223.64,78104,349.24
2413000,powiat tarnogórski,644.19,139833,217.07
2414000,powiat bieruńsko-lędziński,158.15,59760,377.87
2415000,powiat wodzisławski,286.75,157616,549.66
2416000,powiat zawierciański,1002.23,118434,118.17
2417000,powiat żywiecki,1040.06,153226,147.32
2461000,powiat m.bielsko-biała,124.51,171259,1375.46
2462000,powiat m.bytom,69.44,166795,2402
2463000,powiat m.chorzów,33.24,108434,3262.15
2464000,powiat m.częstochowa,159.71,222292,1391.85
2465000,powiat m.dąbrowa górnicza,188.73,120259,637.2
2466000,powiat m.gliwice,133.88,179806,1343.04
2467000,powiat m.jastrzębie-zdrój,85.33,89128,1044.51
2468000,powiat m.jaworzno,152.59,91563,600.06
2469000,powiat m.katowice,164.64,294510,1788.81
2470000,powiat m.mysłowice,65.62,74586,1136.64
2471000,powiat m.piekary śląskie,39.98,55299,1383.17
2472000,powiat m.ruda śląska,77.73,138000,1775.38
2473000,powiat m.rybnik,148.36,138696,934.86
2474000,powiat m.siemianowice śląskie,25.5,67154,2633.49
2475000,powiat m.sosnowiec,91.06,202036,2218.71
2476000,powiat m.świętochłowice,13.31,50012,3757.48
2477000,powiat m.tychy,81.81,127831,1562.54
2478000,powiat m.zabrze,80.4,173374,2156.39
2479000,powiat m.żory,64.64,62456,966.21
2601000,powiat buski,968,72058,74.44
2602000,powiat jędrzejowski,1256.96,86076,68.48
2603000,powiat kazimierski,422.18,33851,80.18
2604000,powiat kielecki,2246.07,210694,93.81
2605000,powiat konecki,1139.72,80648,70.76
2606000,powiat opatowski,910.9,52577,57.72
2607000,powiat ostrowiecki,616.78,110127,178.55
2608000,powiat pińczowski,612.85,39271,64.08
2609000,powiat sandomierski,675.89,77773,115.07
2610000,powiat skarżyski,395.43,74817,189.2
2611000,powiat starachowicki,523.41,90377,172.67
2612000,powiat staszowski,924.8,72167,78.04
2613000,powiat włoszczowski,907.86,45336,49.94
2661000,powiat m.kielce,109.65,195774,1785.44
2801000,powiat bartoszycki,1307.49,57916,44.3
2802000,powiat braniewski,1201.65,41391,34.45
2803000,powiat działdowski,953.93,65442,68.6
2804000,powiat elbląski,1415.58,57549,40.65
2805000,powiat ełcki,1112.79,91359,82.1
2806000,powiat giżycki,1119.51,56754,50.7
2807000,powiat iławski,1385.22,93020,67.15
2808000,powiat kętrzyński,1212.99,62924,51.88
2809000,powiat lidzbarski,925,41512,44.88
2810000,powiat mrągowski,1065.38,50080,47.01
2811000,powiat nidzicki,960.64,33068,34.42
2812000,powiat nowomiejski,693.93,43997,63.4
2813000,powiat olecki,873.6,34433,39.42
2814000,powiat olsztyński,2838.02,126018,44.4
2815000,powiat ostródzki,1766.29,104780,59.32
2816000,powiat piski,1774.58,56570,31.88
2817000,powiat szczycieński,1933.21,69885,36.15
2818000,powiat gołdapski,772.29,26908,34.84
2819000,powiat węgorzewski,693.22,22873,33
2861000,powiat m.elbląg,79.82,120142,1505.16
2862000,powiat m.olsztyn,88.33,172362,1951.34
3001000,powiat chodzieski,685.06,47229,68.94
3002000,powiat czarnkowsko-trzcianecki,1806.05,87420,48.4
3003000,powiat gnieźnieński,1255.03,145317,115.79
3004000,powiat gostyński,810.25,76011,93.81
3006000,powiat jarociński,587.29,71686,122.06
3007000,powiat kaliski,1159.99,83030,71.58
3008000,powiat kępiński,608.26,56486,92.86
3009000,powiat kolski,1010.71,87216,86.29
3010000,powiat koniński,1578.39,129966,82.34
3011000,powiat kościański,722.42,79230,109.67
3012000,powiat krotoszyński,713.68,77488,108.58
3013000,powiat leszczyński,805.81,56485,70.1
3014000,powiat międzychodzki,736.44,36982,50.22
3015000,powiat nowotomyski,1013.62,75363,74.35
3016000,powiat obornicki,711.04,59858,84.18
3018000,powiat ostrzeszowski,772.63,55403,71.71
3019000,powiat pilski,1268.21,136621,107.73
3020000,powiat pleszewski,713.07,63147,88.56
3021000,powiat poznański,1899.88,390308,205.44
3022000,powiat rawicki,553.52,60405,109.13
3023000,powiat słupecki,838.01,59371,70.85
3024000,powiat szamotulski,1119.29,91185,81.47
3026000,powiat śremski,574.1,61325,106.82
3027000,powiat turecki,929.43,84101,90.49
3028000,powiat wągrowiecki,1039.65,70274,67.59
3029000,powiat wolsztyński,679.73,57326,84.34
3030000,powiat wrzesiński,703.57,77667,110.39
3031000,powiat złotowski,1660.17,69606,41.93
3061000,powiat m.kalisz,69.42,100975,1454.55
3062000,powiat m.konin,82.16,74151,902.52
3063000,powiat m.leszno,31.86,63952,2007.28
3064000,powiat m.poznań,261.91,536438,2048.18
3201000,powiat białogardzki,845.46,47846,56.59
