"data","przebadane_osoby","nowe_przebadne_osoby","wykonane_testy","testy_na_dobe","testy_na_tys","zlecenia_POZ","zlecenia_POZ_na_dobe","osoby_z_pozytywnym","osoby_z_pozytywnym_na_dobe","procent_pozytywnych_testow_ze_wszystkich","procent_osob_z_pozytywnym_ze_wszystkich","procent_osob_z_pozytywnym_ze_wszystkich_na_dobe","procent_nowych_osob_z_pozytywnym_ze_wszystkich_na_dobe","suma_wynikow_negatywnych_i_powtornie_pozytywnych","wyniki_negatywne_i_powtornie_pozytywne"
2020-04-29,"307098","12509","338027","13500",8.8,NA,NA,"12781","366",0.0378,0.0416,0.0271,0.0293,"325246","13134"
2020-04-30,"322749","15651","354628","16601",9.23,NA,NA,"13105","324",0.037,0.0406,0.0195,0.0207,"341523","16277"
2020-05-01,"333362","10613","366013","11385",9.53,NA,NA,"13375","270",0.0365,0.0401,0.0237,0.0254,"352638","11115"
2020-05-02,"342744","9382","375948","9935",9.79,NA,NA,"13693","318",0.0364,0.04,0.032,0.0339,"362255","9617"
2020-05-03,"350048","7304","383804","7856",9.99,NA,NA,"13937","244",0.0363,0.0398,0.0311,0.0334,"369867","7612"
2020-05-04,"359690","9642","394270","10466",10.26,NA,NA,"14242","305",0.0361,0.0396,0.0291,0.0316,"380028","10161"
2020-05-05,"374694","15004","410468","16198",10.69,NA,NA,"14647","405",0.0357,0.0391,0.025,0.027,"395821","15793"
2020-05-06,"389076","14382","425994","15526",11.09,NA,NA,"14898","251",0.035,0.0383,0.0162,0.0175,"411096","15275"
2020-05-07,"405282","16206","443506","17512",11.55,NA,NA,"15200","302",0.0343,0.0375,0.0172,0.0186,"428306","17210"
2020-05-08,"421168","15886","460686","17180",11.99,NA,NA,"15510","310",0.0337,0.0368,0.018,0.0195,"445176","16870"
2020-05-09,"436641","15473","476904","16218",12.42,NA,NA,"15821","311",0.0332,0.0362,0.0192,0.0201,"461083","15907"
2020-05-10,"450254","13613","491216","14312",12.79,NA,NA,"16206","385",0.033,0.036,0.0269,0.0283,"475010","13927"
2020-05-11,"465976","15722","507776","16560",13.22,NA,NA,"16561","355",0.0326,0.0355,0.0214,0.0226,"491215","16205"
2020-05-12,"485169","19193","528122","20346",13.75,NA,NA,"17062","501",0.0323,0.0352,0.0246,0.0261,"511060","19845"
2020-05-13,"506733","21564","554357","26235",14.43,NA,NA,"17469","407",0.0315,0.0345,0.0155,0.0189,"536888","25828"
2020-05-14,"526895","20162","576276","21919",15,NA,NA,"17850","381",0.031,0.0339,0.0174,0.0189,"558426","21538"
2020-05-15,"549792","22897","601394","25118",15.66,NA,NA,"18184","334",0.0302,0.0331,0.0133,0.0146,"583210","24784"
2020-05-16,"567055","17263","620249","18855",16.15,NA,NA,"18394","210",0.0297,0.0324,0.0111,0.0122,"601855","18645"
2020-05-17,"581471","14416","636046","15797",16.56,NA,NA,"18746","352",0.0295,0.0322,0.0223,0.0244,"617300","15445"
2020-05-18,"597725","16254","653224","17178",17.01,NA,NA,"19080","334",0.0292,0.0319,0.0194,0.0205,"634144","16844"
2020-05-19,"617967","20242","674861","21637",17.57,NA,NA,"19569","489",0.029,0.0317,0.0226,0.0242,"655292","21148"
2020-05-20,"639523","21556","697230","22369",18.15,NA,NA,"19983","414",0.0287,0.0312,0.0185,0.0192,"677247","21955"
2020-05-21,"660800","21277","719571","22341",18.73,NA,NA,"20379","396",0.0283,0.0308,0.0177,0.0186,"699192","21945"
2020-05-22,"687080","26280","750939","31368",19.55,NA,NA,"20838","459",0.0277,0.0303,0.0146,0.0175,"730101","30909"
2020-05-23,"701969","14889","767441","16502",19.98,NA,NA,"21236","398",0.0277,0.0303,0.0241,0.0267,"746205","16104"
2020-05-24,"712675","10706","779576","12135",20.3,NA,NA,"21440","204",0.0275,0.0301,0.0168,0.0191,"758136","11931"
2020-05-25,"733701","21026","801753","22177",20.87,NA,NA,"21867","427",0.0273,0.0298,0.0193,0.0203,"779886","21750"
2020-05-26,"753675","19974","824774","23021",21.47,NA,NA,"22303","436",0.027,0.0296,0.0189,0.0218,"802471","22585"
2020-05-27,"773625","19950","846732","21958",22.04,NA,NA,"22600","297",0.0267,0.0292,0.0135,0.0149,"824132","21661"
2020-05-28,"798476","24851","873456","26724",22.74,NA,NA,"22964","364",0.0263,0.0288,0.0136,0.0146,"850492","26360"
2020-05-29,"821811","23335","899069","25613",23.41,NA,NA,"23376","412",0.026,0.0284,0.0161,0.0177,"875693","25201"
2020-05-30,"836298","14487","915546","16477",23.84,NA,NA,"23686","310",0.0259,0.0283,0.0188,0.0214,"891860","16167"
2020-05-31,"850417","14119","931520","15974",24.25,NA,NA,"23987","301",0.0258,0.0282,0.0188,0.0213,"907533","15673"
2020-06-01,"862883","12466","945955","14435",24.63,NA,NA,"24271","284",0.0257,0.0281,0.0197,0.0228,"921684","14151"
2020-06-02,"881907","19024","967177","21222",25.18,NA,NA,"24545","274",0.0254,0.0278,0.0129,0.0144,"942632","20948"
2020-06-03,"903486","21579","996604","29427",25.95,NA,NA,"24826","281",0.0249,0.0275,0.0095,0.013,"971778","29146"
2020-06-04,"924896","21410","1014937","18333",26.42,NA,NA,"25177","351",0.0248,0.0272,0.0191,0.0164,"989760","17982"
2020-06-05,"945648","20752","1038281","23344",27.03,NA,NA,"25669","492",0.0247,0.0271,0.0211,0.0237,"1012612","22852"
2020-06-06,"961312","15664","1056396","18115",27.5,NA,NA,"26249","580",0.0248,0.0273,0.032,0.037,"1030147","17535"
2020-06-07,"973553","12241","1070800","14404",27.88,NA,NA,"26780","531",0.025,0.0275,0.0369,0.0434,"1044020","13873"
2020-06-08,"988351","14798","1087853","17053",28.32,NA,NA,"27365","585",0.0252,0.0277,0.0343,0.0395,"1060488","16468"
2020-06-09,"1007719","19368","1109909","22056",28.9,NA,NA,"27668","303",0.0249,0.0275,0.0137,0.0156,"1082241","21753"
2020-06-10,"1024261","16542","1129039","19130",29.39,NA,NA,"28201","533",0.025,0.0275,0.0279,0.0322,"1100838","18597"
2020-06-11,"1043639","19378","1150983","21944",29.96,NA,NA,"28577","376",0.0248,0.0274,0.0171,0.0194,"1122406","21568"
2020-06-12,"1059202","15563","1169088","18105",30.44,NA,NA,"29017","440",0.0248,0.0274,0.0243,0.0283,"1140071","17665"
2020-06-13,"1076251","17049","1188742","19654",30.95,NA,NA,"29392","375",0.0247,0.0273,0.0191,0.022,"1159350","19279"
2020-06-14,"1086927","10676","1202024","13282",31.29,NA,NA,"29788","396",0.0248,0.0274,0.0298,0.0371,"1172236","12886"
2020-06-15,"1103330","16403","1221133","19109",31.79,NA,NA,"30195","407",0.0247,0.0274,0.0213,0.0248,"1190938","18702"
2020-06-16,"1126312","22982","1247099","25966",32.47,NA,NA,"30701","506",0.0246,0.0273,0.0195,0.022,"1216398","25460"
2020-06-17,"1147218","20906","1270951","23852",33.09,NA,NA,"31015","314",0.0244,0.027,0.0132,0.015,"1239936","23538"
2020-06-18,"1170761","23543","1297676","26725",33.78,NA,NA,"31316","301",0.0241,0.0267,0.0113,0.0128,"1266360","26424"
2020-06-19,"1190401","19640","1320399","22723",34.38,NA,NA,"31620","304",0.0239,0.0266,0.0134,0.0155,"1288779","22419"
2020-06-20,"1208632","18231","1341842","21443",34.93,NA,NA,"31931","311",0.0238,0.0264,0.0145,0.0171,"1309911","21132"
2020-06-21,"1219673","11041","1356035","14193",35.3,NA,NA,"32227","296",0.0238,0.0264,0.0209,0.0268,"1323808","13897"
2020-06-22,"1237750","18077","1377206","21171",35.85,NA,NA,"32527","300",0.0236,0.0263,0.0142,0.0166,"1344679","20871"
2020-06-23,"1257001","19251","1399647","22441",36.44,NA,NA,"32821","294",0.0234,0.0261,0.0131,0.0153,"1366826","22147"
2020-06-24,"1278454","21453","1424843","25196",37.09,NA,NA,"33119","298",0.0232,0.0259,0.0118,0.0139,"1391724","24898"
2020-06-25,"1296790","18336","1447130","22287",37.67,NA,NA,"33395","276",0.0231,0.0258,0.0124,0.0151,"1413735","22011"
2020-06-26,"1315933","19143","1469962","22832",38.27,NA,NA,"33714","319",0.0229,0.0256,0.014,0.0167,"1436248","22513"
2020-06-27,"1330751","14818","1493993","24031",38.89,NA,NA,"33907","193",0.0227,0.0255,0.008,0.013,"1460086","23838"
2020-06-28,"1338503","7752","1499540","5547",39.04,NA,NA,"34154","247",0.0228,0.0255,0.0445,0.0319,"1465386","5300"
2020-06-29,"1356310","17807","1521406","21866",39.61,NA,NA,"34393","239",0.0226,0.0254,0.0109,0.0134,"1487013","21627"
2020-06-30,"1377374","21064","1546510","25104",40.26,NA,NA,"34775","382",0.0225,0.0252,0.0152,0.0181,"1511735","24722"
2020-07-01,"1396177","18803","1569693","23183",40.87,NA,NA,"35146","371",0.0224,0.0252,0.016,0.0197,"1534547","22812"
2020-07-02,"1419434","23257","1597497","27804",41.59,NA,NA,"35405","259",0.0222,0.0249,0.0093,0.0111,"1562092","27545"
2020-07-03,"1437849","18415","1620160","22663",42.18,NA,NA,"35719","314",0.022,0.0248,0.0139,0.0171,"1584441","22349"
2020-07-04,"1452787","14938","1639370","19210",42.68,NA,NA,"35950","231",0.0219,0.0247,0.012,0.0155,"1603420","18979"
2020-07-05,"1464912","12125","1655664","16294",43.1,NA,NA,"36155","205",0.0218,0.0247,0.0126,0.0169,"1619509","16089"
2020-07-06,"1481219","16307","1676364","20700",43.64,NA,NA,"36412","257",0.0217,0.0246,0.0124,0.0158,"1639952","20443"
2020-07-07,"1510573","29354","1696573","20209",44.17,NA,NA,"36689","277",0.0216,0.0243,0.0137,0.0094,"1659884","19932"
2020-07-08,"1529354","18781","1720428","23855",44.79,NA,NA,"36951","262",0.0215,0.0242,0.011,0.014,"1683477","23593"
2020-07-09,"1548706","19352","1744631","24203",45.42,NA,NA,"37216","265",0.0213,0.024,0.0109,0.0137,"1707415","23938"
2020-07-10,"1581440","32734","1779643","35012",46.33,NA,NA,"37521","305",0.0211,0.0237,0.0087,0.0093,"1742122","34707"
2020-07-11,"1594625","13185","1797612","17969",46.8,NA,NA,"37891","370",0.0211,0.0238,0.0206,0.0281,"1759721","17599"
2020-07-12,"1605344","10719","1813365","15753",47.21,NA,NA,"38190","299",0.0211,0.0238,0.019,0.0279,"1775175","15454"
2020-07-13,"1621972","16628","1835269","21904",47.78,NA,NA,"38457","267",0.021,0.0237,0.0122,0.0161,"1796812","21637"
2020-07-14,"1641890","19918","1860592","25323",48.44,NA,NA,"38721","264",0.0208,0.0236,0.0104,0.0133,"1821871","25059"
2020-07-15,"1661906","20016","1886089","25497",49.1,NA,NA,"39054","333",0.0207,0.0235,0.0131,0.0166,"1847035","25164"
2020-07-16,"1682473","20567","1912343","26254",49.79,NA,NA,"39407","353",0.0206,0.0234,0.0134,0.0172,"1872936","25901"
2020-07-17,"1701400","18927","1936889","24546",50.43,NA,NA,"39746","339",0.0205,0.0234,0.0138,0.0179,"1897143","24207"
2020-07-18,"1715356","13956","1956272","19383",50.93,NA,NA,"40104","358",0.0205,0.0234,0.0185,0.0257,"1916168","19025"
2020-07-19,"1725447","10091","1971736","15464",51.33,NA,NA,"40383","279",0.0205,0.0234,0.018,0.0276,"1931353","15185"
2020-07-20,"1741609","16162","1992002","20266",51.86,NA,NA,"40782","399",0.0205,0.0234,0.0197,0.0247,"1951220","19867"
2020-07-21,"1761265","19656","2017513","25511",52.52,NA,NA,"41162","380",0.0204,0.0234,0.0149,0.0193,"1976351","25131"
2020-07-22,"1782250","20985","2044703","27190",53.23,NA,NA,"41580","418",0.0203,0.0233,0.0154,0.0199,"2003123","26772"
2020-07-23,"1800348","18098","2068983","24280",53.86,NA,NA,"42038","458",0.0203,0.0233,0.0189,0.0253,"2026945","23822"
2020-07-24,"1820358","20010","2095222","26239",54.55,NA,NA,"42622","584",0.0203,0.0234,0.0223,0.0292,"2052600","25655"
2020-07-25,"1836358","16000","2115522","20300",55.08,NA,NA,"43065","443",0.0204,0.0235,0.0218,0.0277,"2072457","19857"
2020-07-26,"1847663","11305","2134334","18812",55.57,NA,NA,"43402","337",0.0203,0.0235,0.0179,0.0298,"2090932","18475"
2020-07-27,"1864103","16440","2157025","22691",56.16,NA,NA,"43904","502",0.0204,0.0236,0.0221,0.0305,"2113121","22189"
2020-07-28,"1887072","22969","2186977","29952",56.94,NA,NA,"44416","512",0.0203,0.0235,0.0171,0.0223,"2142561","29440"
2020-07-29,"1909180","22108","2210041","23064",57.54,NA,NA,"45031","615",0.0204,0.0236,0.0267,0.0278,"2165010","22449"
2020-07-30,"1931574","22394","2245168","35127",58.45,NA,NA,"45688","657",0.0203,0.0237,0.0187,0.0293,"2199480","34470"
2020-07-31,"1952836","21262","2273553","28385",59.19,NA,NA,"46346","658",0.0204,0.0237,0.0232,0.0309,"2227207","27727"
2020-08-01,"1969570","16734","2297427","23874",59.81,NA,NA,"46894","548",0.0204,0.0238,0.023,0.0327,"2250533","23326"
2020-08-02,"1980641","11071","2315210","17783",60.27,NA,NA,"47469","575",0.0205,0.024,0.0323,0.0519,"2267741","17208"
2020-08-03,"1999529","18888","2341039","25829",60.95,NA,NA,"48149","680",0.0206,0.0241,0.0263,0.036,"2292890","25149"
2020-08-04,"2027951","28422","2374686","33647",61.82,NA,NA,"48789","640",0.0205,0.0241,0.019,0.0225,"2325897","33007"
2020-08-05,"2049229","21278","2403336","28650",62.57,NA,NA,"49515","726",0.0206,0.0242,0.0253,0.0341,"2353821","27924"
2020-08-06,"2074473","25244","2436012","32676",63.42,NA,NA,"50324","809",0.0207,0.0243,0.0248,0.032,"2385688","31867"
2020-08-07,"2102780","28307","2199085","21900",57.25,NA,NA,"51167","843",0.0233,0.0243,0.0385,0.0298,"2147918","21057"
2020-08-08,"2123622","20842","2219459","20374",57.78,NA,NA,"51791","624",0.0233,0.0244,0.0306,0.0299,"2167668","19750"
2020-08-09,"2138021","14399","2234383","14924",58.17,NA,NA,"52410","619",0.0235,0.0245,0.0415,0.043,"2181973","14305"
2020-08-10,"2158532","20511","2257525","23142",58.77,NA,NA,"52961","551",0.0235,0.0245,0.0238,0.0269,"2204564","22591"
2020-08-11,"2182027","23495","2281604","24079",59.4,NA,NA,"53676","715",0.0235,0.0246,0.0297,0.0304,"2227928","23364"
2020-08-12,"2207204","25177","2307735","26131",60.08,NA,NA,"54487","811",0.0236,0.0247,0.031,0.0322,"2253248","25320"
2020-08-13,"2232996","25792","2334461","26726",60.78,NA,NA,"55319","832",0.0237,0.0248,0.0311,0.0323,"2279142","25894"
2020-08-14,"2256726","23730","2359093","24632",61.42,NA,NA,"56090","771",0.0238,0.0249,0.0313,0.0325,"2303003","23861"
2020-08-15,"2272730","16004","2375706","16613",61.85,NA,NA,"56684","594",0.0239,0.0249,0.0358,0.0371,"2319022","16019"
2020-08-16,"2285508","12778","2388864","13158",62.19,NA,NA,"57279","595",0.024,0.0251,0.0452,0.0466,"2331585","12563"
2020-08-17,"2305392","19884","2409394","20530",62.73,NA,NA,"57876","597",0.024,0.0251,0.0291,0.03,"2351518","19933"
2020-08-18,"2333126","27734","2438135","28741",63.47,NA,NA,"58611","735",0.024,0.0251,0.0256,0.0265,"2379524","28006"
2020-08-19,"2357772","24646","2463734","25599",64.14,NA,NA,"59378","767",0.0241,0.0252,0.03,0.0311,"2404356","24832"
2020-08-20,"2386438","28666","2493423","29689",64.91,NA,NA,"60281","903",0.0242,0.0253,0.0304,0.0315,"2433142","28786"
2020-08-21,"2411231","24793","2519127","25704",65.58,NA,NA,"61181","900",0.0243,0.0254,0.035,0.0363,"2457946","24804"
2020-08-22,"2430214","18983","2538761","19634",66.09,NA,NA,"61762","581",0.0243,0.0254,0.0296,0.0306,"2476999","19053"
2020-08-23,"2445546","15332","2555515","16754",66.53,NA,NA,"62310","548",0.0244,0.0255,0.0327,0.0357,"2493205","16206"
2020-08-24,"2467528","21982","2577726","22211",67.11,NA,NA,"63073","763",0.0245,0.0256,0.0344,0.0347,"2514653","21448"
2020-08-25,"2495839","28311","2606620","28894",67.86,NA,NA,"63802","729",0.0245,0.0256,0.0252,0.0257,"2542818","28165"
2020-08-26,"2522949","27110","2634903","28283",68.6,NA,NA,"64689","887",0.0246,0.0256,0.0314,0.0327,"2570214","27396"
2020-08-27,"2547731","24782","2660665","25762",69.27,NA,NA,"65480","791",0.0246,0.0257,0.0307,0.0319,"2595185","24971"
2020-08-28,"2568806","21075","2682536","21871",69.84,NA,NA,"66239","759",0.0247,0.0258,0.0347,0.036,"2616297","21112"
2020-08-29,"2587559","18753","2701553","19017",70.33,NA,NA,"66870","631",0.0248,0.0258,0.0332,0.0336,"2634683","18386"
2020-08-30,"2599569","12010","2714027","12474",70.66,NA,NA,"67372","502",0.0248,0.0259,0.0402,0.0418,"2646655","11972"
2020-08-31,"2628272","28703","2743434","29407",71.42,NA,NA,"67922","550",0.0248,0.0258,0.0187,0.0192,"2675512","28857"
2020-09-01,"2652626","24354","2777601","34167",72.31,NA,NA,"68517","595",0.0247,0.0258,0.0174,0.0244,"2709084","33572"
2020-09-02,"2676598","23972","2793285","15684",72.72,NA,NA,"69129","612",0.0247,0.0258,0.039,0.0255,"2724156","15072"
2020-09-03,"2698343","21745","2815778","22493",73.31,NA,NA,"69820","691",0.0248,0.0259,0.0307,0.0318,"2745958","21802"
2020-09-04,"2723162","24819","2841344","25566",73.97,NA,NA,"70387","567",0.0248,0.0258,0.0222,0.0228,"2770957","24999"
2020-09-05,"2741388","18226","2859963","18619",74.46,NA,NA,"70824","437",0.0248,0.0258,0.0235,0.024,"2789139","18182"
2020-09-06,"2751413","10025","2870266","10303",74.73,NA,NA,"71126","302",0.0248,0.0259,0.0293,0.0301,"2799140","10001"
2020-09-07,"2769608","18195","2889084","18818",75.22,NA,NA,"71526","400",0.0248,0.0258,0.0213,0.022,"2817558","18418"
2020-09-08,"2792387","22779","2912411","23327",75.82,NA,NA,"71947","421",0.0247,0.0258,0.018,0.0185,"2840464","22906"
2020-09-09,"2810401","18014","2931091","18680",76.31,NA,NA,"72453","506",0.0247,0.0258,0.0271,0.0281,"2858638","18174"
2020-09-10,"2829116","18715","2949734","18643",76.79,NA,NA,"73047","594",0.0248,0.0258,0.0319,0.0317,"2876687","18049"
2020-09-11,"2849407","20291","2970888","21154",77.34,NA,NA,"73650","603",0.0248,0.0258,0.0285,0.0297,"2897238","20551"
2020-09-12,"2863566","14159","2985390","14502",77.72,NA,NA,"74152","502",0.0248,0.0259,0.0346,0.0355,"2911238","14000"
2020-09-13,"2875675","12109","2998021","12631",78.05,NA,NA,"74529","377",0.0249,0.0259,0.0298,0.0311,"2923492","12254"
2020-09-14,"2893600","17925","3016740","18719",78.54,NA,NA,"75134","605",0.0249,0.026,0.0323,0.0338,"2941606","18114"
2020-09-15,"2914967","21367","3038652","21912",79.11,NA,NA,"75734","600",0.0249,0.026,0.0274,0.0281,"2962918","21312"
2020-09-16,"2936840","21873","3060844","22192",79.69,NA,NA,"76571","837",0.025,0.0261,0.0377,0.0383,"2984273","21355"
2020-09-17,"2957030","20190","3081867","21023",80.23,NA,NA,"77328","757",0.0251,0.0262,0.036,0.0375,"3004539","20266"
2020-09-18,"2976527","19497","3101907","20040",80.76,NA,NA,"78330","1002",0.0253,0.0263,0.05,0.0514,"3023577","19038"
2020-09-19,"2995131","18604","3120895","18988",81.25,NA,NA,"79240","910",0.0254,0.0265,0.0479,0.0489,"3041655","18078"
2020-09-20,"3006973","11842","3133119","12224",81.57,NA,NA,"79988","748",0.0255,0.0266,0.0612,0.0632,"3053131","11476"
2020-09-21,"3027118","20145","3155718","22599",82.16,NA,NA,"80699","711",0.0256,0.0267,0.0315,0.0353,"3075019","21888"
2020-09-22,"3048348","21230","3177776","22058",82.73,NA,NA,"81673","974",0.0257,0.0268,0.0442,0.0459,"3096103","21084"
2020-09-23,"3071718","23370","3201501","23725",83.35,NA,NA,"82809","1136",0.0259,0.027,0.0479,0.0486,"3118692","22589"
2020-09-24,"3095373","23655","3225733","24232",83.98,NA,NA,"84396","1587",0.0262,0.0273,0.0655,0.0671,"3141337","22645"
2020-09-25,"3117767","22394","3249023","23290",84.59,NA,NA,"85980","1584",0.0265,0.0276,0.068,0.0707,"3163043","21706"
2020-09-26,"3136297","18530","3267844","18821",85.08,NA,NA,"87330","1350",0.0267,0.0278,0.0717,0.0729,"3180514","17471"
2020-09-27,"3149201","12904","3281311","13467",85.43,NA,NA,"88636","1306",0.027,0.0281,0.097,0.1012,"3192675","12161"
