"Kod","Nazwa","Gestosc_zaludnienia","Procent_chorych"
2801000,"powiat bartoszycki",44.3,0.0141929691277022
2802000,"powiat braniewski",34.45,0.00792442801575222
2803000,"powiat działdowski",68.6,0.0183826900155863
2804000,"powiat elbląski",40.65,0.0105475334063146
2861000,"powiat m.elbląg",1505.16,0.0133675151071232
2805000,"powiat ełcki",82.1,0.016035639619523
2806000,"powiat giżycki",50.7,0.0128096698030095
2807000,"powiat iławski",67.15,0.0121479251773812
2808000,"powiat kętrzyński",51.88,0.0106000889962494
2809000,"powiat lidzbarski",44.88,0.0096116785507805
2810000,"powiat mrągowski",47.01,0.0124800319488818
2811000,"powiat nidzicki",34.42,0.0135176000967703
2812000,"powiat nowomiejski",63.4,0.0179330408891515
2813000,"powiat olecki",39.42,0.0171056835012924
2814000,"powiat olsztyński",44.4,0.0114190036344014
2862000,"powiat m.olsztyn",1951.34,0.0154732481637484
2815000,"powiat ostródzki",59.32,0.0161862950944837
2816000,"powiat piski",31.88,0.00975782216722645
2817000,"powiat szczycieński",36.15,0.00870000715461115
2818000,"powiat gołdapski",34.84,0.0120038650215549
2819000,"powiat węgorzewski",33,0.0289424211952958
3001000,"powiat chodzieski",68.94,0.0213216455991022
3002000,"powiat czarnkowsko-trzcianecki",48.4,0.0148135438114848
3003000,"powiat gnieźnieński",115.79,0.0193645616135758
3004000,"powiat gostyński",93.81,0.0266145689439686
3005000,"powiat grodziski",80.97,0.0212614484722543
3006000,"powiat jarociński",122.06,0.0216639232207126
3007000,"powiat kaliski",71.58,0.0151150186679513
3061000,"powiat m.kalisz",1454.55,0.0179054221341916
3008000,"powiat kępiński",92.86,0.0280954572814503
3009000,"powiat kolski",86.29,0.010663181067694
3010000,"powiat koniński",82.34,0.0153886401058738
3062000,"powiat m.konin",902.52,0.017073269409718
3011000,"powiat kościański",109.67,0.0161176322100215
3012000,"powiat krotoszyński",108.58,0.0283398719801776
3013000,"powiat leszczyński",70.1,0.0213862087279809
3063000,"powiat m.leszno",2007.28,0.0224230673004754
3014000,"powiat międzychodzki",50.22,0.0157103455735223
3015000,"powiat nowotomyski",74.35,0.0230484455236655
