"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"11","AUS","Oceania","Australia",2020-11-29,27885,11,11.143,907,0,0,1093.535,0.431,0.437,35.569,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.939
"12","AUT","Europe","Austria",2020-11-29,274275,4765,4766.571,2822,58,95.286,30453.344,529.068,529.243,313.333,6.44,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,3083264,22197,342.341,2.465,28833,3.201,6.049,0.165,"tests performed",NA,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.908
"13","AZE","Asia","Azerbaijan",2020-11-29,114025,4212,3446.714,1323,32,30.857,11245.984,415.418,339.94,130.484,3.156,3.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
"14","BDI","Africa","Burundi",2020-11-29,681,4,3.571,1,0,0,57.271,0.336,0.3,0.084,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,NA,NA,6.144,0.8,61.58,0.417
"15","BEN","Africa","Benin",2020-11-29,2974,0,8.286,43,0,0,245.315,0,0.683,3.547,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515
"16","BES","North America","Bonaire Sint Eustatius and Saba",2020-11-29,161,0,0.429,3,0,0,6140.117,0,16.345,114.412,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,26221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.79,NA
"17","BFA","Africa","Burkina Faso",2020-11-29,2816,39,16.143,68,0,0,134.716,1.866,0.772,3.253,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423
"18","BGD","Asia","Bangladesh",2020-11-29,460619,1908,2191.143,6580,36,32.857,2796.896,11.585,13.305,39.954,0.219,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2755156,13737,16.729,0.083,15465,0.094,7.058,0.142,"tests performed",NA,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
"19","BGR","Europe","Bulgaria",2020-11-29,141747,1792,3007.143,3749,69,132.714,20399.816,257.899,432.779,539.545,9.93,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,964461,4928,138.802,0.709,7504,1.08,2.495,0.401,"tests performed",57.41,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.813
"20","BHR","Asia","Bahrain",2020-11-29,86645,130,150.571,341,0,0.429,50920.231,76.399,88.489,200.402,0,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,2033895,8121,1195.296,4.773,10141,5.96,67.35,0.015,"units unclear",NA,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.846
"21","BHS","North America","Bahamas",2020-11-29,7496,0,14.429,163,0,0,19061.763,0,36.691,414.497,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,393248,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.807
"22","BIH","Europe","Bosnia and Herzegovina",2020-11-29,85431,0,874.571,2542,0,41.857,26039.566,0,266.571,774.807,0,12.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
"23","BLR","Europe","Belarus",2020-11-29,133324,1691,1555.571,1143,7,7.714,14109.374,178.955,164.623,120.961,0.741,0.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,9449321,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,0.808
"24","BLZ","North America","Belize",2020-11-29,5647,60,76.714,144,3,4.571,14201.966,150.897,192.933,362.154,7.545,11.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,397621,16.426,25,3.853,2.279,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,74.62,0.708
"25","BMU","North America","Bermuda",2020-11-29,251,9,3.429,9,0,0,4030.639,144.525,55.057,144.525,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,62273,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA
"26","BOL","South America","Bolivia",2020-11-29,144592,98,95.714,8949,6,6.429,12386.845,8.395,8.2,766.639,0.514,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.693
"27","BRA","South America","Brazil",2020-11-29,6290272,51922,33926.571,172561,587,510.286,29593.007,244.271,159.61,811.825,2.762,2.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.759
"28","BRB","North America","Barbados",2020-11-29,270,0,2.143,7,0,0,939.552,0,7.457,24.359,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,287371,664.463,39.8,14.952,9.473,16978.068,NA,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
"29","BRN","Asia","Brunei",2020-11-29,150,0,0.286,3,0,0,342.87,0,0.653,6.857,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,75.86,0.853
"30","BTN","Asia","Bhutan",2020-11-29,396,1,2.429,NA,0,0,513.211,1.296,3.147,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,71.78,0.612
"31","BWA","Africa","Botswana",2020-11-29,9992,0,56.857,31,0,0,4248.977,0,24.178,13.182,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2351625,4.044,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,69.59,0.717
"32","CAF","Africa","Central African Republic",2020-11-29,4913,0,0.286,63,0,0,1017.234,0,0.059,13.044,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,53.28,0.367
"33","CAN","North America","Canada",2020-11-29,364810,5746,5585.571,11976,82,81.429,9665.849,152.244,147.993,317.311,2.173,2.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.926
"34","CHE","Europe","Switzerland",2020-11-29,317017,0,3933.429,4236,0,95.571,36629.809,0,454.489,489.45,0,11.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,8654618,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,83.78,0.944
"35","CHL","South America","Chile",2020-11-29,548941,1718,1399.714,15322,44,41.714,28715.997,89.871,73.221,801.519,2.302,2.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.843
"36","CHN","Asia","China",2020-11-29,91796,6,10.857,4739,0,0,63.777,0.004,0.008,3.293,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,0.752
"37","CIV","Africa","Cote d'Ivoire",2020-11-29,21261,62,19.286,131,0,0.286,806.004,2.35,0.731,4.966,0,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,57.78,0.492
"38","CMR","Africa","Cameroon",2020-11-29,24117,95,84.143,437,0,0.286,908.503,3.579,3.17,16.462,0,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,NA,NA,2.735,1.3,59.29,0.556
"39","COD","Africa","Democratic Republic of Congo",2020-11-29,12607,138,61,332,0,0.714,140.764,1.541,0.681,3.707,0,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NA,NA,4.472,NA,60.68,0.457
"40","COG","Africa","Congo",2020-11-29,5774,142,20.286,94,1,0.286,1046.376,25.734,3.676,17.035,0.181,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,64.57,0.606
"41","COL","South America","Colombia",2020-11-29,1299613,9103,8445.714,36401,187,185.286,25541.261,178.901,165.983,715.388,3.675,3.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.747
"42","COM","Africa","Comoros",2020-11-29,611,1,2.143,7,0,0,702.626,1.15,2.464,8.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.503
"43","CPV","Africa","Cape Verde",2020-11-29,10526,0,41.714,104,0,0,18932.063,0,75.027,187.054,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,72.98,0.654
"44","CRI","North America","Costa Rica",2020-11-29,137093,0,1096.429,1690,0,11.714,26912.04,0,215.234,331.755,0,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.794
"45","CUB","North America","Cuba",2020-11-29,8173,63,53.571,133,0,0.143,721.575,5.562,4.73,11.742,0,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
"46","CUW","North America","Curacao",2020-11-29,2258,101,82.286,4,1,0.143,13759.902,615.478,501.436,24.375,6.094,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,164100,362.644,41.7,16.367,10.068,NA,NA,NA,11.62,NA,NA,NA,NA,78.88,NA
"47","CYM","North America","Cayman Islands",2020-11-29,274,5,1.857,2,0,0,4169.203,76.08,28.258,30.432,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,65720,256.496,NA,NA,NA,49903.029,NA,NA,13.22,NA,NA,NA,NA,83.92,NA
"48","CYP","Europe","Cyprus",2020-11-29,10231,248,253.571,48,0,0.714,11680.57,283.138,289.498,54.801,0,0.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,0.869
"49","CZE","Europe","Czech Republic",2020-11-29,518649,2665,3985.571,8054,87,137,48431.214,248.857,372.171,752.079,8.124,12.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.888
"50","DEU","Europe","Germany",2020-11-29,1042700,14611,17775.857,16123,158,300.143,12445.105,174.389,212.163,192.435,1.886,3.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.936
"51","DJI","Africa","Djibouti",2020-11-29,5676,0,2.143,61,0,0,5744.928,0,2.169,61.741,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,67.11,0.476
"52","DMA","North America","Dominica",2020-11-29,85,0,1.857,NA,0,0,1180.703,0,25.797,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,71991,98.567,NA,NA,NA,9673.367,NA,227.376,11.62,NA,NA,NA,3.8,75,0.715
"53","DNK","Europe","Denmark",2020-11-29,78354,1636,1245.571,823,7,6,13527.495,282.449,215.043,142.088,1.209,1.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.929
"54","DOM","North America","Dominican Republic",2020-11-29,142653,876,838.429,2328,4,3.143,13150.282,80.753,77.289,214.604,0.369,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.736
"55","DZA","Africa","Algeria",2020-11-29,81212,2102,1062.571,2393,41,21.857,1851.997,47.935,24.231,54.571,0.935,0.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",72.22,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
"56","ECU","South America","Ecuador",2020-11-29,190909,1375,861.857,13371,13,33.143,10820.629,77.934,48.85,757.862,0.737,1.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.752
"57","EGY","Africa","Egypt",2020-11-29,115183,351,358.143,6621,13,12.286,1125.555,3.43,3.5,64.7,0.127,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",60.19,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.696
"58","ERI","Africa","Eritrea",2020-11-29,577,11,3.714,NA,0,0,162.699,3.102,1.047,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3546427,44.304,19.3,3.607,2.171,1510.459,NA,311.11,6.05,0.2,11.4,NA,0.7,66.32,0.44
"59","ESH","Africa","Western Sahara",2020-11-29,766,0,0,1,0,0,1282.373,0,0,1.674,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,597330,NA,28.4,NA,1.38,NA,NA,NA,NA,NA,NA,NA,NA,70.26,NA
"60","EST","Europe","Estonia",2020-11-29,11698,375,331.857,109,5,3.143,8818.437,282.691,250.168,82.169,3.769,2.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.871
"61","ETH","Africa","Ethiopia",2020-11-29,108930,492,511.143,1695,9,8.429,947.517,4.28,4.446,14.744,0.078,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.463
"62","FIN","Europe","Finland",2020-11-29,24307,541,441.571,393,0,2.571,4386.977,97.641,79.696,70.929,0,0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,0.92
"63","FJI","Oceania","Fiji",2020-11-29,38,0,0.429,2,0,0,42.39,0,0.478,2.231,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,NA,2.3,67.44,0.741
"64","FLK","South America","Falkland Islands",2020-11-29,17,0,0.143,NA,0,0,4880.85,0,41.016,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44,NA
"65","FRA","Europe","France",2020-11-29,2208699,12500,11664,52127,213,515.571,33837.6,191.502,178.694,798.593,3.263,7.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901
"66","FRO","Europe","Faeroe Islands",2020-11-29,502,2,0.429,NA,0,0,10273.202,40.929,8.771,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,48865,35.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.67,NA
"67","GAB","Africa","Gabon",2020-11-29,9191,0,8.571,59,0,0,4129.435,0,3.851,26.508,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,66.47,0.702
"68","GBR","Europe","United Kingdom",2020-11-29,1605172,15871,15969.857,58030,479,486.286,23645.11,233.789,235.245,854.815,7.056,7.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"69","GEO","Asia","Georgia",2020-11-29,132368,4426,3948,1230,35,36.286,33181.798,1109.503,989.678,308.334,8.774,9.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,73.77,0.78
"70","GGY","Europe","Guernsey",2020-11-29,286,0,0.429,13,0,0,4265.346,0,6.392,193.879,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,67052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","GHA","Africa","Ghana",2020-11-29,51379,154,72.143,323,0,0,1653.496,4.956,2.322,10.395,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.592
"72","GIB","Europe","Gibraltar",2020-11-29,1009,10,8,5,0,0.286,29948.651,296.815,237.452,148.408,0,8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,33691,3457.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.93,NA
"73","GIN","Africa","Guinea",2020-11-29,13039,0,34.429,76,0,0.143,992.858,0,2.622,5.787,0,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,NA,NA,17.45,0.3,61.6,0.459
"74","GMB","Africa","Gambia",2020-11-29,3734,3,1.143,123,0,0,1545.105,1.241,0.473,50.897,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
