"Kod";"Nazwa";"Miesiące";"Rodzaje obiektów";"Zakres przedmiotowy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"październik";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2018";2863790;"osoba";"";
0000000;"POLSKA";"październik";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2019";2987993;"osoba";"";
0000000;"POLSKA";"październik";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2020";;"osoba";"n";
0000000;"POLSKA";"listopad";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2015";1859672;"osoba";"";
0000000;"POLSKA";"listopad";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2016";2086069;"osoba";"";
0000000;"POLSKA";"listopad";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2017";2273641;"osoba";"";
0000000;"POLSKA";"listopad";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2018";2436125;"osoba";"";
0000000;"POLSKA";"listopad";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2019";2596441;"osoba";"";
0000000;"POLSKA";"listopad";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2020";;"osoba";"n";
0000000;"POLSKA";"grudzień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2015";1703224;"osoba";"";
0000000;"POLSKA";"grudzień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2016";1925399;"osoba";"";
0000000;"POLSKA";"grudzień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2017";2116904;"osoba";"";
0000000;"POLSKA";"grudzień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2018";2194190;"osoba";"";
0000000;"POLSKA";"grudzień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2019";2295963;"osoba";"";
0000000;"POLSKA";"grudzień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2020";;"osoba";"n";
