"","time_usec","domain","count"
"222",2020-01-17,"google.com",91
"223",2020-01-17,"facebook.com",3
"224",2020-01-17,"instagram.com",0
"225",2020-01-18,"stackoverflow.com",0
"226",2020-01-18,"wikipedia.org",9
"227",2020-01-18,"github.com",0
"228",2020-01-18,"pw.edu.pl",8
"229",2020-01-18,"youtube.com",77
"230",2020-01-18,"google.com",73
"231",2020-01-18,"facebook.com",19
"232",2020-01-18,"instagram.com",0
"233",2020-01-19,"stackoverflow.com",0
"234",2020-01-19,"wikipedia.org",14
"235",2020-01-19,"github.com",0
"236",2020-01-19,"pw.edu.pl",12
"237",2020-01-19,"youtube.com",135
"238",2020-01-19,"google.com",110
"239",2020-01-19,"facebook.com",5
"240",2020-01-19,"instagram.com",0
"241",2020-01-20,"stackoverflow.com",0
"242",2020-01-20,"wikipedia.org",7
"243",2020-01-20,"github.com",0
"244",2020-01-20,"pw.edu.pl",19
"245",2020-01-20,"youtube.com",103
"246",2020-01-20,"google.com",97
"247",2020-01-20,"facebook.com",22
"248",2020-01-20,"instagram.com",0
"249",2020-01-21,"stackoverflow.com",0
"250",2020-01-21,"wikipedia.org",17
"251",2020-01-21,"github.com",0
"252",2020-01-21,"pw.edu.pl",28
"253",2020-01-21,"youtube.com",82
"254",2020-01-21,"google.com",112
"255",2020-01-21,"facebook.com",24
"256",2020-01-21,"instagram.com",0
"257",2020-01-22,"stackoverflow.com",0
"258",2020-01-22,"wikipedia.org",11
"259",2020-01-22,"github.com",0
"260",2020-01-22,"pw.edu.pl",33
"261",2020-01-22,"youtube.com",77
"262",2020-01-22,"google.com",74
"263",2020-01-22,"facebook.com",17
"264",2020-01-22,"instagram.com",0
"265",2020-01-23,"stackoverflow.com",0
"266",2020-01-23,"wikipedia.org",4
"267",2020-01-23,"github.com",0
"268",2020-01-23,"pw.edu.pl",15
"269",2020-01-23,"youtube.com",54
"270",2020-01-23,"google.com",12
"271",2020-01-23,"facebook.com",0
"272",2020-01-23,"instagram.com",0
"273",2020-01-24,"stackoverflow.com",0
"274",2020-01-24,"wikipedia.org",10
"275",2020-01-24,"github.com",0
"276",2020-01-24,"pw.edu.pl",44
"277",2020-01-24,"youtube.com",91
"278",2020-01-24,"google.com",42
"279",2020-01-24,"facebook.com",35
"280",2020-01-24,"instagram.com",0
"281",2020-01-25,"stackoverflow.com",0
"282",2020-01-25,"wikipedia.org",4
"283",2020-01-25,"github.com",0
"284",2020-01-25,"pw.edu.pl",0
"285",2020-01-25,"youtube.com",109
"286",2020-01-25,"google.com",87
"287",2020-01-25,"facebook.com",23
"288",2020-01-25,"instagram.com",0
"289",2020-01-26,"stackoverflow.com",0
"290",2020-01-26,"wikipedia.org",7
"291",2020-01-26,"github.com",0
"292",2020-01-26,"pw.edu.pl",9
"293",2020-01-26,"youtube.com",39
"294",2020-01-26,"google.com",86
"295",2020-01-26,"facebook.com",9
"296",2020-01-26,"instagram.com",0
"297",2020-01-27,"stackoverflow.com",0
"298",2020-01-27,"wikipedia.org",4
"299",2020-01-27,"github.com",0
"300",2020-01-27,"pw.edu.pl",12
"301",2020-01-27,"youtube.com",113
"302",2020-01-27,"google.com",79
"303",2020-01-27,"facebook.com",3
"304",2020-01-27,"instagram.com",0
"305",2020-01-28,"stackoverflow.com",0
"306",2020-01-28,"wikipedia.org",2
"307",2020-01-28,"github.com",0
"308",2020-01-28,"pw.edu.pl",28
"309",2020-01-28,"youtube.com",65
"310",2020-01-28,"google.com",93
"311",2020-01-28,"facebook.com",4
"312",2020-01-28,"instagram.com",0
"313",2020-01-29,"stackoverflow.com",0
"314",2020-01-29,"wikipedia.org",18
"315",2020-01-29,"github.com",0
