Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19244861,SDGAIRBOD,COUNTRY,AUT,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,2[ 1–3],1.54957,0.55939,2.88,,2018-05-28T14:22:49.71+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244870,SDGAIRBOD,COUNTRY,AUT,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,24[ 15–33],23.60744,14.86036,33.19402,,2018-05-28T14:22:50+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244873,SDGAIRBOD,COUNTRY,AUT,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,4[ 2–6],3.51258,1.69562,5.8819,,2018-05-28T14:22:50.093+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244876,SDGAIRBOD,COUNTRY,AUT,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,5[ 2–10],4.64071,2.18571,10.02127,,2018-05-28T14:22:50.2+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244879,SDGAIRBOD,COUNTRY,AZE,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,3[ 2–5],2.94109,1.53659,4.71849,,2018-05-28T14:22:50.293+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244888,SDGAIRBOD,COUNTRY,AZE,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,38[ 29–49],37.72784,28.61465,49.28873,,2018-05-28T14:22:50.55+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244891,SDGAIRBOD,COUNTRY,AZE,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,2[ 1–3],1.66801,0.79575,3.08136,,2018-05-28T14:22:50.63+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244894,SDGAIRBOD,COUNTRY,AZE,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,9[ 6–13],9.25078,6.42699,13.24153,,2018-05-28T14:22:50.713+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244897,SDGAIRBOD,COUNTRY,BDI,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,61[ 52–68],60.99399,51.9599,68.19464,,2018-05-28T14:22:50.797+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244906,SDGAIRBOD,COUNTRY,BDI,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,17[ 15–19],16.89663,15.10572,18.63561,,2018-05-28T14:22:51.047+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244909,SDGAIRBOD,COUNTRY,BDI,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,0[ 0–1],0.451,0.36398,0.52525,,2018-05-28T14:22:51.117+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244912,SDGAIRBOD,COUNTRY,BDI,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,14[ 13–16],14.43023,12.70022,16.24348,,2018-05-28T14:22:51.2+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244915,SDGAIRBOD,COUNTRY,BEL,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,6[ 2–12],6.30522,2.34979,11.53377,,2018-05-28T14:22:51.293+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244924,SDGAIRBOD,COUNTRY,BEL,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,15[ 9–20],14.64897,9.49297,20.28386,,2018-05-28T14:22:51.57+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244927,SDGAIRBOD,COUNTRY,BEL,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,5[ 2–8],4.64655,2.2681,7.74196,,2018-05-28T14:22:51.66+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244930,SDGAIRBOD,COUNTRY,BEL,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,6[ 3–12],5.54202,2.58046,11.96617,,2018-05-28T14:22:51.767+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244933,SDGAIRBOD,COUNTRY,BEN,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,70[ 59–79],70.24324,59.34092,78.71985,,2018-05-28T14:22:51.877+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244942,SDGAIRBOD,COUNTRY,BEN,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,22[ 19–24],21.558,19.08154,24.10372,,2018-05-28T14:22:52.137+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244945,SDGAIRBOD,COUNTRY,BEN,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,0[ 0–0],0.27363,0.21996,0.32165,,2018-05-28T14:22:52.237+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244948,SDGAIRBOD,COUNTRY,BEN,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,18[ 15–20],17.73962,15.43518,20.0393,,2018-05-28T14:22:52.327+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244951,SDGAIRBOD,COUNTRY,BFA,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,55[ 47–62],55.08542,46.57943,61.5489,,2018-05-28T14:22:52.41+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244960,SDGAIRBOD,COUNTRY,BFA,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,21[ 18–23],20.73317,18.35074,23.21832,,2018-05-28T14:22:52.65+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244963,SDGAIRBOD,COUNTRY,BFA,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,1[ 0–1],0.53732,0.42601,0.63255,,2018-05-28T14:22:52.73+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244966,SDGAIRBOD,COUNTRY,BFA,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,11[ 10–13],11.09286,9.67281,12.55664,,2018-05-28T14:22:52.803+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244969,SDGAIRBOD,COUNTRY,BGD,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,13[ 11–15],13.1854,10.99147,14.89099,,2018-05-28T14:22:52.89+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244978,SDGAIRBOD,COUNTRY,BGD,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,31[ 28–35],31.24187,27.53766,35.18398,,2018-05-28T14:22:53.247+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244981,SDGAIRBOD,COUNTRY,BGD,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,5[ 4–6],4.74241,3.72475,5.64113,,2018-05-28T14:22:53.427+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244984,SDGAIRBOD,COUNTRY,BGD,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,28[ 24–33],28.49942,24.49916,32.57722,,2018-05-28T14:22:53.503+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244987,SDGAIRBOD,COUNTRY,BGR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,5[ 2–9],4.78295,2.28588,9.44581,,2018-05-28T14:22:53.583+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244996,SDGAIRBOD,COUNTRY,BGR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,79[ 54–122],78.98936,54.20238,121.68363,,2018-05-28T14:22:53.823+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244999,SDGAIRBOD,COUNTRY,BGR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,8[ 4–19],8.28317,3.66536,19.06673,,2018-05-28T14:22:53.9+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245002,SDGAIRBOD,COUNTRY,BGR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,37[ 22–65],36.78167,21.99381,64.65792,,2018-05-28T14:22:53.973+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245005,SDGAIRBOD,COUNTRY,BHR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,2[ 1–2],1.76134,1.40358,2.12977,,2018-05-28T14:22:54.05+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245014,SDGAIRBOD,COUNTRY,BHR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,9[ 8–11],9.16218,7.84085,10.53941,,2018-05-28T14:22:54.353+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245017,SDGAIRBOD,COUNTRY,BHR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,1[ 1–2],1.39942,0.95383,1.83454,,2018-05-28T14:22:54.43+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245020,SDGAIRBOD,COUNTRY,BHR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,1[ 1–2],1.49985,1.25982,1.76672,,2018-05-28T14:22:54.497+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245023,SDGAIRBOD,COUNTRY,BHS,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,4[ 2–6],3.63671,1.73605,5.90523,,2018-05-28T14:22:54.573+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245032,SDGAIRBOD,COUNTRY,BHS,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,11[ 8–13],10.93089,8.43661,13.29091,,2018-05-28T14:22:54.813+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245035,SDGAIRBOD,COUNTRY,BHS,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,1[ 1–2],1.0864,0.56659,1.73692,,2018-05-28T14:22:54.89+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245038,SDGAIRBOD,COUNTRY,BHS,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,5[ 4–7],4.88855,3.50202,7.22271,,2018-05-28T14:22:54.97+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245041,SDGAIRBOD,COUNTRY,BIH,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,5[ 3–6],4.79481,3.33289,6.22088,,2018-05-28T14:22:55.06+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245050,SDGAIRBOD,COUNTRY,BIH,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,76[ 54–102],76.158,53.69506,101.9073,,2018-05-28T14:22:55.31+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245053,SDGAIRBOD,COUNTRY,BIH,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,19[ 12–27],19.47482,11.58789,27.38163,,2018-05-28T14:22:55.393+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245056,SDGAIRBOD,COUNTRY,BIH,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,42[ 28–59],42.38542,28.1102,58.62626,,2018-05-28T14:22:55.483+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245059,SDGAIRBOD,COUNTRY,BLR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,2[ 1–3],1.66598,0.86244,2.62803,,2018-05-28T14:22:55.57+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245068,SDGAIRBOD,COUNTRY,BLR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,83[ 61–109],82.96878,60.92932,109.3926,,2018-05-28T14:22:55.803+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245071,SDGAIRBOD,COUNTRY,BLR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,4[ 2–7],4.15547,2.12668,7.29405,,2018-05-28T14:22:55.87+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245074,SDGAIRBOD,COUNTRY,BLR,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,17[ 12–26],16.98528,11.78468,25.6063,,2018-05-28T14:22:55.95+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245077,SDGAIRBOD,COUNTRY,BLZ,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,9[ 6–12],8.99756,6.49566,11.95687,,2018-05-28T14:22:56.027+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245086,SDGAIRBOD,COUNTRY,BLZ,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,14[ 11–17],14.15383,11.08534,17.12424,,2018-05-28T14:22:56.267+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245089,SDGAIRBOD,COUNTRY,BLZ,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,2[ 1–3],2.32165,1.43322,3.40023,,2018-05-28T14:22:56.357+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245092,SDGAIRBOD,COUNTRY,BLZ,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,6[ 5–8],6.03103,4.55414,7.73547,,2018-05-28T14:22:56.437+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245095,SDGAIRBOD,COUNTRY,BOL,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,19[ 14–25],19.43936,14.32291,25.0911,,2018-05-28T14:22:56.513+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245104,SDGAIRBOD,COUNTRY,BOL,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,19[ 15–23],19.17562,15.29198,23.28896,,2018-05-28T14:22:56.77+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245107,SDGAIRBOD,COUNTRY,BOL,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,1[ 1–1],0.99764,0.63663,1.38491,,2018-05-28T14:22:56.853+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245110,SDGAIRBOD,COUNTRY,BOL,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,8[ 7–11],8.39188,6.67288,10.5356,,2018-05-28T14:22:56.937+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245113,SDGAIRBOD,COUNTRY,BRA,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,7[ 4–12],7.02924,3.72342,11.72505,,2018-05-28T14:22:57.023+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245122,SDGAIRBOD,COUNTRY,BRA,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,12[ 9–15],11.74856,8.95867,14.76744,,2018-05-28T14:22:57.25+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245125,SDGAIRBOD,COUNTRY,BRA,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,2[ 1–3],1.61973,0.84917,2.71302,,2018-05-28T14:22:57.32+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245128,SDGAIRBOD,COUNTRY,BRA,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,6[ 4–9],5.70648,3.93413,8.70957,,2018-05-28T14:22:57.417+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245131,SDGAIRBOD,COUNTRY,BRB,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,19[ 11–28],19.32522,11.37054,28.19498,,2018-05-28T14:22:57.497+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19245140,SDGAIRBOD,COUNTRY,BRB,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,18[ 14–23],18.32951,13.55282,23.0139,,2018-05-28T14:22:57.733+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
