"","date","pos","artistName","no","color"
"1997",2020-07-18,7,"     Billie Eilish",117,"#BC80BD"
"1998",2020-07-18,8,"    Dorian Electra",114,"#FB8072"
"1999",2020-07-18,9,"        Charli XCX",111,"#FCCDE5"
"2000",2020-07-18,10,"       Quebonafide",96,"#BC80BD"
"2001",2020-07-19,1,"        The Weeknd",227,"#80B1D3"
"2002",2020-07-19,2,"     TUZZA Globale",210,"#BC80BD"
"2003",2020-07-19,3,"           PRO8L3M",192,"#FDB462"
"2004",2020-07-19,4,"       Oliver Tree",159,"#80B1D3"
"2005",2020-07-19,5,"         clipping.",152,"#D9D9D9"
"2006",2020-07-19,6,"            Bedoes",142,"#FDB462"
"2007",2020-07-19,7,"     Billie Eilish",118,"#BC80BD"
"2008",2020-07-19,8,"    Dorian Electra",114,"#FB8072"
"2009",2020-07-19,9,"        Charli XCX",111,"#FCCDE5"
"2010",2020-07-19,10,"       Quebonafide",96,"#BC80BD"
"2011",2020-07-20,1,"        The Weeknd",227,"#80B1D3"
"2012",2020-07-20,2,"     TUZZA Globale",210,"#BC80BD"
"2013",2020-07-20,3,"           PRO8L3M",192,"#FDB462"
"2014",2020-07-20,4,"       Oliver Tree",159,"#80B1D3"
"2015",2020-07-20,5,"         clipping.",152,"#D9D9D9"
"2016",2020-07-20,6,"            Bedoes",142,"#FDB462"
"2017",2020-07-20,7,"     Billie Eilish",119,"#BC80BD"
"2018",2020-07-20,8,"    Dorian Electra",114,"#FB8072"
"2019",2020-07-20,9,"        Charli XCX",111,"#FCCDE5"
"2020",2020-07-20,10,"       Quebonafide",96,"#BC80BD"
"2021",2020-07-21,1,"        The Weeknd",227,"#80B1D3"
"2022",2020-07-21,2,"     TUZZA Globale",210,"#BC80BD"
"2023",2020-07-21,3,"           PRO8L3M",192,"#FDB462"
"2024",2020-07-21,4,"       Oliver Tree",159,"#80B1D3"
"2025",2020-07-21,5,"         clipping.",152,"#D9D9D9"
"2026",2020-07-21,6,"            Bedoes",142,"#FDB462"
"2027",2020-07-21,7,"     Billie Eilish",119,"#BC80BD"
"2028",2020-07-21,8,"    Dorian Electra",114,"#FB8072"
"2029",2020-07-21,9,"        Charli XCX",111,"#FCCDE5"
"2030",2020-07-21,10,"       Quebonafide",96,"#BC80BD"
"2031",2020-07-22,1,"        The Weeknd",227,"#80B1D3"
"2032",2020-07-22,2,"     TUZZA Globale",210,"#BC80BD"
"2033",2020-07-22,3,"           PRO8L3M",192,"#FDB462"
"2034",2020-07-22,4,"       Oliver Tree",181,"#80B1D3"
"2035",2020-07-22,5,"         clipping.",152,"#D9D9D9"
"2036",2020-07-22,6,"            Bedoes",142,"#FDB462"
"2037",2020-07-22,7,"     Billie Eilish",119,"#BC80BD"
"2038",2020-07-22,8,"    Dorian Electra",114,"#FB8072"
"2039",2020-07-22,9,"        Charli XCX",111,"#FCCDE5"
"2040",2020-07-22,10,"       Quebonafide",96,"#BC80BD"
"2041",2020-07-23,1,"        The Weeknd",228,"#80B1D3"
"2042",2020-07-23,2,"     TUZZA Globale",210,"#BC80BD"
"2043",2020-07-23,3,"       Oliver Tree",201,"#80B1D3"
"2044",2020-07-23,4,"           PRO8L3M",192,"#FDB462"
"2045",2020-07-23,5,"         clipping.",152,"#D9D9D9"
"2046",2020-07-23,6,"            Bedoes",142,"#FDB462"
"2047",2020-07-23,7,"     Billie Eilish",119,"#BC80BD"
"2048",2020-07-23,8,"    Dorian Electra",114,"#FB8072"
"2049",2020-07-23,9,"        Charli XCX",111,"#FCCDE5"
"2050",2020-07-23,10,"       Quebonafide",96,"#BC80BD"
"2051",2020-07-24,1,"        The Weeknd",228,"#80B1D3"
"2052",2020-07-24,2,"       Oliver Tree",220,"#80B1D3"
"2053",2020-07-24,3,"     TUZZA Globale",210,"#BC80BD"
"2054",2020-07-24,4,"           PRO8L3M",192,"#FDB462"
"2055",2020-07-24,5,"         clipping.",152,"#D9D9D9"
"2056",2020-07-24,6,"            Bedoes",142,"#FDB462"
"2057",2020-07-24,7,"     Billie Eilish",119,"#BC80BD"
"2058",2020-07-24,8,"    Dorian Electra",114,"#FB8072"
"2059",2020-07-24,9,"        Charli XCX",112,"#FCCDE5"
"2060",2020-07-24,10,"       Quebonafide",97,"#BC80BD"
"2061",2020-07-25,1,"       Oliver Tree",245,"#80B1D3"
"2062",2020-07-25,2,"        The Weeknd",228,"#80B1D3"
"2063",2020-07-25,3,"     TUZZA Globale",210,"#BC80BD"
"2064",2020-07-25,4,"           PRO8L3M",192,"#FDB462"
"2065",2020-07-25,5,"         clipping.",152,"#D9D9D9"
"2066",2020-07-25,6,"            Bedoes",143,"#FDB462"
"2067",2020-07-25,7,"     Billie Eilish",119,"#BC80BD"
"2068",2020-07-25,8,"    Dorian Electra",114,"#FB8072"
"2069",2020-07-25,9,"        Charli XCX",113,"#FCCDE5"
"2070",2020-07-25,10,"       Quebonafide",97,"#BC80BD"
"2071",2020-07-26,1,"       Oliver Tree",245,"#80B1D3"
"2072",2020-07-26,2,"        The Weeknd",228,"#80B1D3"
"2073",2020-07-26,3,"     TUZZA Globale",210,"#BC80BD"
"2074",2020-07-26,4,"           PRO8L3M",192,"#FDB462"
"2075",2020-07-26,5,"         clipping.",152,"#D9D9D9"
"2076",2020-07-26,6,"            Bedoes",143,"#FDB462"
"2077",2020-07-26,7,"     Billie Eilish",119,"#BC80BD"
"2078",2020-07-26,8,"    Dorian Electra",114,"#FB8072"
"2079",2020-07-26,9,"        Charli XCX",113,"#FCCDE5"
"2080",2020-07-26,10,"       Quebonafide",97,"#BC80BD"
"2081",2020-07-27,1,"       Oliver Tree",248,"#80B1D3"
"2082",2020-07-27,2,"        The Weeknd",228,"#80B1D3"
"2083",2020-07-27,3,"     TUZZA Globale",210,"#BC80BD"
"2084",2020-07-27,4,"           PRO8L3M",192,"#FDB462"
"2085",2020-07-27,5,"         clipping.",152,"#D9D9D9"
"2086",2020-07-27,6,"            Bedoes",143,"#FDB462"
"2087",2020-07-27,7,"     Billie Eilish",119,"#BC80BD"
"2088",2020-07-27,8,"    Dorian Electra",114,"#FB8072"
"2089",2020-07-27,9,"        Charli XCX",113,"#FCCDE5"
"2090",2020-07-27,10,"       Quebonafide",97,"#BC80BD"
"2091",2020-07-28,1,"       Oliver Tree",264,"#80B1D3"
"2092",2020-07-28,2,"        The Weeknd",228,"#80B1D3"
"2093",2020-07-28,3,"     TUZZA Globale",211,"#BC80BD"
"2094",2020-07-28,4,"           PRO8L3M",192,"#FDB462"
"2095",2020-07-28,5,"         clipping.",152,"#D9D9D9"
"2096",2020-07-28,6,"            Bedoes",143,"#FDB462"
"2097",2020-07-28,7,"     Billie Eilish",119,"#BC80BD"
"2098",2020-07-28,8,"    Dorian Electra",114,"#FB8072"
"2099",2020-07-28,9,"        Charli XCX",113,"#FCCDE5"
"2100",2020-07-28,10,"       Quebonafide",97,"#BC80BD"
"2101",2020-07-29,1,"       Oliver Tree",265,"#80B1D3"
"2102",2020-07-29,2,"        The Weeknd",228,"#80B1D3"
"2103",2020-07-29,3,"     TUZZA Globale",213,"#BC80BD"
"2104",2020-07-29,4,"           PRO8L3M",192,"#FDB462"
"2105",2020-07-29,5,"         clipping.",152,"#D9D9D9"
"2106",2020-07-29,6,"            Bedoes",143,"#FDB462"
"2107",2020-07-29,7,"     Billie Eilish",119,"#BC80BD"
"2108",2020-07-29,8,"    Dorian Electra",114,"#FB8072"
"2109",2020-07-29,9,"        Charli XCX",113,"#FCCDE5"
"2110",2020-07-29,10,"       Quebonafide",97,"#BC80BD"
"2111",2020-07-30,1,"       Oliver Tree",273,"#80B1D3"
"2112",2020-07-30,2,"        The Weeknd",228,"#80B1D3"
"2113",2020-07-30,3,"     TUZZA Globale",213,"#BC80BD"
"2114",2020-07-30,4,"           PRO8L3M",192,"#FDB462"
"2115",2020-07-30,5,"         clipping.",152,"#D9D9D9"
"2116",2020-07-30,6,"            Bedoes",143,"#FDB462"
"2117",2020-07-30,7,"     Billie Eilish",119,"#BC80BD"
"2118",2020-07-30,8,"        Charli XCX",117,"#FCCDE5"
"2119",2020-07-30,9,"    Dorian Electra",114,"#FB8072"
"2120",2020-07-30,10,"       Quebonafide",97,"#BC80BD"
"2121",2020-07-31,1,"       Oliver Tree",275,"#80B1D3"
"2122",2020-07-31,2,"        The Weeknd",228,"#80B1D3"
"2123",2020-07-31,3,"     TUZZA Globale",213,"#BC80BD"
