number-of-people	living-municipality	living-voivodeship	working-municipality	working-voivodeship
12	Kołaczyce - obszar wiejski	Podkarpackie	Brzyska	Podkarpackie
36	Kołaczyce - obszar wiejski	Podkarpackie	Jasło	Podkarpackie
137	Kołaczyce - obszar wiejski	Podkarpackie	Kołaczyce - miasto	Podkarpackie
10	Kołaczyce - obszar wiejski	Podkarpackie	Skołyszyn	Podkarpackie
13	Kołaczyce - obszar wiejski	Podkarpackie	Tarnowiec	Podkarpackie
12	Kołaczyce - obszar wiejski	Podkarpackie	Frysztak	Podkarpackie
101	Kołaczyce - obszar wiejski	Podkarpackie	Krosno	Podkarpackie
84	Kołaczyce - obszar wiejski	Podkarpackie	Rzeszów	Podkarpackie
12	Kołaczyce - obszar wiejski	Podkarpackie	Tarnobrzeg	Podkarpackie
21	Krempna	Podkarpackie	Jasło	Podkarpackie
13	Krempna	Podkarpackie	Rzeszów	Podkarpackie
16	Nowy Żmigród	Podkarpackie	Kraków	Małopolskie
10	Nowy Żmigród	Podkarpackie	Brzozów - miasto	Podkarpackie
352	Nowy Żmigród	Podkarpackie	Jasło	Podkarpackie
33	Nowy Żmigród	Podkarpackie	Dębowiec	Podkarpackie
11	Nowy Żmigród	Podkarpackie	Jasło	Podkarpackie
23	Nowy Żmigród	Podkarpackie	Krempna	Podkarpackie
18	Nowy Żmigród	Podkarpackie	Osiek Jasielski	Podkarpackie
10	Nowy Żmigród	Podkarpackie	Skołyszyn	Podkarpackie
18	Nowy Żmigród	Podkarpackie	Tarnowiec	Podkarpackie
17	Nowy Żmigród	Podkarpackie	Chorkówka	Podkarpackie
16	Nowy Żmigród	Podkarpackie	Dukla - miasto	Podkarpackie
11	Nowy Żmigród	Podkarpackie	Dukla - obszar wiejski	Podkarpackie
12	Nowy Żmigród	Podkarpackie	Miejsce Piastowe	Podkarpackie
10	Nowy Żmigród	Podkarpackie	Rymanów - miasto	Podkarpackie
170	Nowy Żmigród	Podkarpackie	Krosno	Podkarpackie
79	Nowy Żmigród	Podkarpackie	Rzeszów	Podkarpackie
26	Osiek Jasielski	Podkarpackie	Kraków	Małopolskie
236	Osiek Jasielski	Podkarpackie	Jasło	Podkarpackie
49	Osiek Jasielski	Podkarpackie	Dębowiec	Podkarpackie
44	Osiek Jasielski	Podkarpackie	Nowy Żmigród	Podkarpackie
35	Osiek Jasielski	Podkarpackie	Krosno	Podkarpackie
41	Osiek Jasielski	Podkarpackie	Rzeszów	Podkarpackie
72	Skołyszyn	Podkarpackie	Gorlice	Małopolskie
43	Skołyszyn	Podkarpackie	Biecz - miasto	Małopolskie
24	Skołyszyn	Podkarpackie	Biecz - obszar wiejski	Małopolskie
19	Skołyszyn	Podkarpackie	Szerzyny	Małopolskie
27	Skołyszyn	Podkarpackie	Kraków	Małopolskie
24	Skołyszyn	Podkarpackie	Tarnów	Małopolskie
20	Skołyszyn	Podkarpackie	Warszawa	Mazowieckie
782	Skołyszyn	Podkarpackie	Jasło	Podkarpackie
11	Skołyszyn	Podkarpackie	Brzyska	Podkarpackie
52	Skołyszyn	Podkarpackie	Jasło	Podkarpackie
22	Skołyszyn	Podkarpackie	Kołaczyce - obszar wiejski	Podkarpackie
20	Skołyszyn	Podkarpackie	Nowy Żmigród	Podkarpackie
33	Skołyszyn	Podkarpackie	Tarnowiec	Podkarpackie
10	Skołyszyn	Podkarpackie	Sanok	Podkarpackie
66	Skołyszyn	Podkarpackie	Krosno	Podkarpackie
180	Skołyszyn	Podkarpackie	Rzeszów	Podkarpackie
14	Skołyszyn	Podkarpackie	Tarnobrzeg	Podkarpackie
11	Skołyszyn	Podkarpackie	Gdańsk	Pomorskie
14	Skołyszyn	Podkarpackie	Piła	Wielkopolskie
50	Tarnowiec	Podkarpackie	Trzebinia - miasto	Małopolskie
28	Tarnowiec	Podkarpackie	Kraków	Małopolskie
19	Tarnowiec	Podkarpackie	Tarnów	Małopolskie
13	Tarnowiec	Podkarpackie	Warszawa	Mazowieckie
456	Tarnowiec	Podkarpackie	Jasło	Podkarpackie
25	Tarnowiec	Podkarpackie	Jasło	Podkarpackie
11	Tarnowiec	Podkarpackie	Kolbuszowa - miasto	Podkarpackie
20	Tarnowiec	Podkarpackie	Chorkówka	Podkarpackie
87	Tarnowiec	Podkarpackie	Jedlicze - miasto	Podkarpackie
19	Tarnowiec	Podkarpackie	Jedlicze - obszar wiejski	Podkarpackie
22	Tarnowiec	Podkarpackie	Trzebownisko	Podkarpackie
15	Tarnowiec	Podkarpackie	Sanok	Podkarpackie
382	Tarnowiec	Podkarpackie	Krosno	Podkarpackie
117	Tarnowiec	Podkarpackie	Rzeszów	Podkarpackie
25	Cmolas	Podkarpackie	Warszawa	Mazowieckie
323	Cmolas	Podkarpackie	Kolbuszowa - miasto	Podkarpackie
64	Cmolas	Podkarpackie	Kolbuszowa - obszar wiejski	Podkarpackie
12	Cmolas	Podkarpackie	Majdan Królewski	Podkarpackie
39	Cmolas	Podkarpackie	Niwiska	Podkarpackie
12	Cmolas	Podkarpackie	Dzikowiec	Podkarpackie
229	Cmolas	Podkarpackie	Mielec	Podkarpackie
10	Cmolas	Podkarpackie	Tuszów Narodowy	Podkarpackie
26	Cmolas	Podkarpackie	Głogów Małopolski - obszar wiejski	Podkarpackie
49	Cmolas	Podkarpackie	Nowa Dęba - miasto	Podkarpackie
76	Cmolas	Podkarpackie	Rzeszów	Podkarpackie
15	Cmolas	Podkarpackie	Tarnobrzeg	Podkarpackie
29	Kolbuszowa - miasto	Podkarpackie	Warszawa	Mazowieckie
37	Kolbuszowa - miasto	Podkarpackie	Cmolas	Podkarpackie
134	Kolbuszowa - miasto	Podkarpackie	Kolbuszowa - obszar wiejski	Podkarpackie
20	Kolbuszowa - miasto	Podkarpackie	Niwiska	Podkarpackie
13	Kolbuszowa - miasto	Podkarpackie	Raniżów	Podkarpackie
20	Kolbuszowa - miasto	Podkarpackie	Dzikowiec	Podkarpackie
42	Kolbuszowa - miasto	Podkarpackie	Mielec	Podkarpackie
17	Kolbuszowa - miasto	Podkarpackie	Głogów Małopolski - obszar wiejski	Podkarpackie
13	Kolbuszowa - miasto	Podkarpackie	Trzebownisko	Podkarpackie
10	Kolbuszowa - miasto	Podkarpackie	Nowa Dęba - miasto	Podkarpackie
114	Kolbuszowa - miasto	Podkarpackie	Rzeszów	Podkarpackie
57	Kolbuszowa - obszar wiejski	Podkarpackie	Warszawa	Mazowieckie
16	Kolbuszowa - obszar wiejski	Podkarpackie	Dębica	Podkarpackie
59	Kolbuszowa - obszar wiejski	Podkarpackie	Cmolas	Podkarpackie
1210	Kolbuszowa - obszar wiejski	Podkarpackie	Kolbuszowa - miasto	Podkarpackie
23	Kolbuszowa - obszar wiejski	Podkarpackie	Niwiska	Podkarpackie
12	Kolbuszowa - obszar wiejski	Podkarpackie	Raniżów	Podkarpackie
30	Kolbuszowa - obszar wiejski	Podkarpackie	Dzikowiec	Podkarpackie
52	Kolbuszowa - obszar wiejski	Podkarpackie	Mielec	Podkarpackie
