number-of-people	living-municipality	living-voivodeship	working-municipality	working-voivodeship
25	Bełżyce - miasto	Lubelskie	Chodel	Lubelskie
24	Bełżyce - miasto	Lubelskie	Opole Lubelskie - miasto	Lubelskie
14	Bełżyce - miasto	Lubelskie	Poniatowa - miasto	Lubelskie
10	Bełżyce - miasto	Lubelskie	Nałęczów - miasto	Lubelskie
349	Bełżyce - miasto	Lubelskie	Lublin	Lubelskie
26	Bełżyce - miasto	Lubelskie	Warszawa	Mazowieckie
224	Bełżyce - obszar wiejski	Lubelskie	Bełżyce - miasto	Lubelskie
14	Bełżyce - obszar wiejski	Lubelskie	Konopnica	Lubelskie
25	Bełżyce - obszar wiejski	Lubelskie	Niedrzwica Duża	Lubelskie
11	Bełżyce - obszar wiejski	Lubelskie	Chodel	Lubelskie
16	Bełżyce - obszar wiejski	Lubelskie	Opole Lubelskie - miasto	Lubelskie
18	Bełżyce - obszar wiejski	Lubelskie	Poniatowa - miasto	Lubelskie
24	Bełżyce - obszar wiejski	Lubelskie	Nałęczów - miasto	Lubelskie
310	Bełżyce - obszar wiejski	Lubelskie	Lublin	Lubelskie
23	Bełżyce - obszar wiejski	Lubelskie	Warszawa	Mazowieckie
18	Borzechów	Lubelskie	Kraśnik	Lubelskie
54	Borzechów	Lubelskie	Bełżyce - miasto	Lubelskie
43	Borzechów	Lubelskie	Niedrzwica Duża	Lubelskie
25	Borzechów	Lubelskie	Chodel	Lubelskie
148	Borzechów	Lubelskie	Lublin	Lubelskie
13	Borzechów	Lubelskie	Warszawa	Mazowieckie
30	Bychawa - miasto	Lubelskie	Bychawa - obszar wiejski	Lubelskie
16	Bychawa - miasto	Lubelskie	Głusk	Lubelskie
10	Bychawa - miasto	Lubelskie	Jabłonna	Lubelskie
13	Bychawa - miasto	Lubelskie	Niedrzwica Duża	Lubelskie
38	Bychawa - miasto	Lubelskie	Strzyżewice	Lubelskie
198	Bychawa - miasto	Lubelskie	Lublin	Lubelskie
14	Bychawa - miasto	Lubelskie	Warszawa	Mazowieckie
14	Bychawa - obszar wiejski	Lubelskie	Bełżyce - miasto	Lubelskie
105	Bychawa - obszar wiejski	Lubelskie	Bychawa - miasto	Lubelskie
10	Bychawa - obszar wiejski	Lubelskie	Jabłonna	Lubelskie
57	Bychawa - obszar wiejski	Lubelskie	Strzyżewice	Lubelskie
269	Bychawa - obszar wiejski	Lubelskie	Lublin	Lubelskie
55	Garbów	Lubelskie	Jastków	Lubelskie
15	Garbów	Lubelskie	Konopnica	Lubelskie
23	Garbów	Lubelskie	Niemce	Lubelskie
42	Garbów	Lubelskie	Puławy	Lubelskie
10	Garbów	Lubelskie	Końskowola	Lubelskie
10	Garbów	Lubelskie	Kurów	Lubelskie
21	Garbów	Lubelskie	Markuszów	Lubelskie
19	Garbów	Lubelskie	Nałęczów - obszar wiejski	Lubelskie
507	Garbów	Lubelskie	Lublin	Lubelskie
43	Garbów	Lubelskie	Warszawa	Mazowieckie
19	Głusk	Lubelskie	Brzeg Dolny - miasto	Dolnośląskie
10	Głusk	Lubelskie	Jabłonna	Lubelskie
12	Głusk	Lubelskie	Jastków	Lubelskie
13	Głusk	Lubelskie	Niemce	Lubelskie
11	Głusk	Lubelskie	Strzyżewice	Lubelskie
10	Głusk	Lubelskie	Puchaczów	Lubelskie
62	Głusk	Lubelskie	Świdnik	Lubelskie
10	Głusk	Lubelskie	Mełgiew	Lubelskie
1054	Głusk	Lubelskie	Lublin	Lubelskie
54	Głusk	Lubelskie	Warszawa	Mazowieckie
17	Głusk	Lubelskie	Człuchów	Pomorskie
26	Jabłonna	Lubelskie	Bychawa - miasto	Lubelskie
32	Jabłonna	Lubelskie	Głusk	Lubelskie
12	Jabłonna	Lubelskie	Jastków	Lubelskie
10	Jabłonna	Lubelskie	Konopnica	Lubelskie
30	Jabłonna	Lubelskie	Strzyżewice	Lubelskie
11	Jabłonna	Lubelskie	Wólka	Lubelskie
15	Jabłonna	Lubelskie	Świdnik	Lubelskie
723	Jabłonna	Lubelskie	Lublin	Lubelskie
20	Jabłonna	Lubelskie	Jabłonna	Mazowieckie
38	Jabłonna	Lubelskie	Warszawa	Mazowieckie
10	Jabłonna	Lubelskie	Człuchów	Pomorskie
38	Jastków	Lubelskie	Garbów	Lubelskie
11	Jastków	Lubelskie	Głusk	Lubelskie
34	Jastków	Lubelskie	Konopnica	Lubelskie
31	Jastków	Lubelskie	Niemce	Lubelskie
11	Jastków	Lubelskie	Wólka	Lubelskie
11	Jastków	Lubelskie	Puchaczów	Lubelskie
10	Jastków	Lubelskie	Puławy	Lubelskie
21	Jastków	Lubelskie	Nałęczów - miasto	Lubelskie
19	Jastków	Lubelskie	Świdnik	Lubelskie
1325	Jastków	Lubelskie	Lublin	Lubelskie
10	Jastków	Lubelskie	Kraków	Małopolskie
80	Jastków	Lubelskie	Warszawa	Mazowieckie
11	Jastków	Lubelskie	Poznań	Wielkopolskie
18	Konopnica	Lubelskie	Bełżyce - miasto	Lubelskie
10	Konopnica	Lubelskie	Bełżyce - obszar wiejski	Lubelskie
10	Konopnica	Lubelskie	Głusk	Lubelskie
31	Konopnica	Lubelskie	Jastków	Lubelskie
18	Konopnica	Lubelskie	Niedrzwica Duża	Lubelskie
21	Konopnica	Lubelskie	Niemce	Lubelskie
13	Konopnica	Lubelskie	Puchaczów	Lubelskie
23	Konopnica	Lubelskie	Świdnik	Lubelskie
1168	Konopnica	Lubelskie	Lublin	Lubelskie
11	Konopnica	Lubelskie	Łódź	Łódzkie
10	Konopnica	Lubelskie	Tarnów	Małopolskie
85	Konopnica	Lubelskie	Warszawa	Mazowieckie
22	Krzczonów	Lubelskie	Bychawa - miasto	Lubelskie
14	Krzczonów	Lubelskie	Głusk	Lubelskie
221	Krzczonów	Lubelskie	Lublin	Lubelskie
14	Krzczonów	Lubelskie	Warszawa	Mazowieckie
10	Niedrzwica Duża	Lubelskie	Wrocław	Dolnośląskie
10	Niedrzwica Duża	Lubelskie	Lubartów	Lubelskie
49	Niedrzwica Duża	Lubelskie	Bełżyce - miasto	Lubelskie
19	Niedrzwica Duża	Lubelskie	Bełżyce - obszar wiejski	Lubelskie
16	Niedrzwica Duża	Lubelskie	Jastków	Lubelskie
41	Niedrzwica Duża	Lubelskie	Konopnica	Lubelskie
16	Niedrzwica Duża	Lubelskie	Niemce	Lubelskie
50	Niedrzwica Duża	Lubelskie	Strzyżewice	Lubelskie
15	Niedrzwica Duża	Lubelskie	Wólka	Lubelskie
17	Niedrzwica Duża	Lubelskie	Świdnik	Lubelskie
923	Niedrzwica Duża	Lubelskie	Lublin	Lubelskie
51	Niedrzwica Duża	Lubelskie	Warszawa	Mazowieckie
71	Niemce	Lubelskie	Lubartów	Lubelskie
12	Niemce	Lubelskie	Lubartów	Lubelskie
13	Niemce	Lubelskie	Garbów	Lubelskie
39	Niemce	Lubelskie	Jastków	Lubelskie
11	Niemce	Lubelskie	Konopnica	Lubelskie
26	Niemce	Lubelskie	Wólka	Lubelskie
14	Niemce	Lubelskie	Puchaczów	Lubelskie
30	Niemce	Lubelskie	Świdnik	Lubelskie
1750	Niemce	Lubelskie	Lublin	Lubelskie
13	Niemce	Lubelskie	Łódź	Łódzkie
10	Niemce	Lubelskie	Kraków	Małopolskie
11	Niemce	Lubelskie	Piaseczno - miasto	Mazowieckie
137	Niemce	Lubelskie	Warszawa	Mazowieckie
10	Niemce	Lubelskie	Poznań	Wielkopolskie
43	Strzyżewice	Lubelskie	Bychawa - miasto	Lubelskie
18	Strzyżewice	Lubelskie	Głusk	Lubelskie
13	Strzyżewice	Lubelskie	Konopnica	Lubelskie
34	Strzyżewice	Lubelskie	Niedrzwica Duża	Lubelskie
11	Strzyżewice	Lubelskie	Świdnik	Lubelskie
489	Strzyżewice	Lubelskie	Lublin	Lubelskie
23	Strzyżewice	Lubelskie	Warszawa	Mazowieckie
24	Strzyżewice	Lubelskie	Człuchów	Pomorskie
61	Wojciechów	Lubelskie	Bełżyce - miasto	Lubelskie
13	Wojciechów	Lubelskie	Bełżyce - obszar wiejski	Lubelskie
34	Wojciechów	Lubelskie	Konopnica	Lubelskie
10	Wojciechów	Lubelskie	Niedrzwica Duża	Lubelskie
11	Wojciechów	Lubelskie	Poniatowa - miasto	Lubelskie
45	Wojciechów	Lubelskie	Nałęczów - miasto	Lubelskie
14	Wojciechów	Lubelskie	Nałęczów - obszar wiejski	Lubelskie
10	Wojciechów	Lubelskie	Mełgiew	Lubelskie
324	Wojciechów	Lubelskie	Lublin	Lubelskie
28	Wojciechów	Lubelskie	Warszawa	Mazowieckie
11	Wólka	Lubelskie	Lubartów	Lubelskie
13	Wólka	Lubelskie	Głusk	Lubelskie
22	Wólka	Lubelskie	Jastków	Lubelskie
16	Wólka	Lubelskie	Konopnica	Lubelskie
44	Wólka	Lubelskie	Niemce	Lubelskie
24	Wólka	Lubelskie	Łęczna - miasto	Lubelskie
115	Wólka	Lubelskie	Puchaczów	Lubelskie
10	Wólka	Lubelskie	Spiczyn	Lubelskie
77	Wólka	Lubelskie	Świdnik	Lubelskie
27	Wólka	Lubelskie	Mełgiew	Lubelskie
1216	Wólka	Lubelskie	Lublin	Lubelskie
90	Wólka	Lubelskie	Warszawa	Mazowieckie
15	Wysokie	Lubelskie	Bychawa - miasto	Lubelskie
10	Wysokie	Lubelskie	Zakrzew	Lubelskie
124	Wysokie	Lubelskie	Lublin	Lubelskie
26	Zakrzew	Lubelskie	Bychawa - miasto	Lubelskie
11	Zakrzew	Lubelskie	Wysokie	Lubelskie
57	Zakrzew	Lubelskie	Lublin	Lubelskie
12	Cyców	Lubelskie	Wrocław	Dolnośląskie
15	Cyców	Lubelskie	Ludwin	Lubelskie
186	Cyców	Lubelskie	Łęczna - miasto	Lubelskie
471	Cyców	Lubelskie	Puchaczów	Lubelskie
13	Cyców	Lubelskie	Urszulin	Lubelskie
10	Cyców	Lubelskie	Chełm	Lubelskie
97	Cyców	Lubelskie	Lublin	Lubelskie
14	Cyców	Lubelskie	Warszawa	Mazowieckie
172	Ludwin	Lubelskie	Łęczna - miasto	Lubelskie
15	Ludwin	Lubelskie	Łęczna - obszar wiejski	Lubelskie
255	Ludwin	Lubelskie	Puchaczów	Lubelskie
12	Ludwin	Lubelskie	Spiczyn	Lubelskie
114	Ludwin	Lubelskie	Lublin	Lubelskie
11	Ludwin	Lubelskie	Warszawa	Mazowieckie
29	Łęczna - miasto	Lubelskie	Wrocław	Dolnośląskie
15	Łęczna - miasto	Lubelskie	Niemce	Lubelskie
43	Łęczna - miasto	Lubelskie	Wólka	Lubelskie
27	Łęczna - miasto	Lubelskie	Cyców	Lubelskie
62	Łęczna - miasto	Lubelskie	Ludwin	Lubelskie
69	Łęczna - miasto	Lubelskie	Łęczna - obszar wiejski	Lubelskie
66	Łęczna - miasto	Lubelskie	Milejów	Lubelskie
1886	Łęczna - miasto	Lubelskie	Puchaczów	Lubelskie
19	Łęczna - miasto	Lubelskie	Spiczyn	Lubelskie
35	Łęczna - miasto	Lubelskie	Świdnik	Lubelskie
34	Łęczna - miasto	Lubelskie	Mełgiew	Lubelskie
785	Łęczna - miasto	Lubelskie	Lublin	Lubelskie
83	Łęczna - miasto	Lubelskie	Warszawa	Mazowieckie
11	Łęczna - obszar wiejski	Lubelskie	Wólka	Lubelskie
17	Łęczna - obszar wiejski	Lubelskie	Ludwin	Lubelskie
172	Łęczna - obszar wiejski	Lubelskie	Łęczna - miasto	Lubelskie
241	Łęczna - obszar wiejski	Lubelskie	Puchaczów	Lubelskie
146	Łęczna - obszar wiejski	Lubelskie	Lublin	Lubelskie
19	Łęczna - obszar wiejski	Lubelskie	Warszawa	Mazowieckie
202	Milejów	Lubelskie	Łęczna - miasto	Lubelskie
30	Milejów	Lubelskie	Łęczna - obszar wiejski	Lubelskie
200	Milejów	Lubelskie	Puchaczów	Lubelskie
112	Milejów	Lubelskie	Świdnik	Lubelskie
50	Milejów	Lubelskie	Mełgiew	Lubelskie
27	Milejów	Lubelskie	Trawniki	Lubelskie
312	Milejów	Lubelskie	Lublin	Lubelskie
32	Milejów	Lubelskie	Warszawa	Mazowieckie
15	Puchaczów	Lubelskie	Wrocław	Dolnośląskie
19	Puchaczów	Lubelskie	Ludwin	Lubelskie
154	Puchaczów	Lubelskie	Łęczna - miasto	Lubelskie
12	Puchaczów	Lubelskie	Milejów	Lubelskie
103	Puchaczów	Lubelskie	Lublin	Lubelskie
15	Puchaczów	Lubelskie	Warszawa	Mazowieckie
24	Spiczyn	Lubelskie	Lubartów	Lubelskie
35	Spiczyn	Lubelskie	Niemce	Lubelskie
24	Spiczyn	Lubelskie	Wólka	Lubelskie
11	Spiczyn	Lubelskie	Ludwin	Lubelskie
54	Spiczyn	Lubelskie	Łęczna - miasto	Lubelskie
62	Spiczyn	Lubelskie	Puchaczów	Lubelskie
381	Spiczyn	Lubelskie	Lublin	Lubelskie
23	Spiczyn	Lubelskie	Warszawa	Mazowieckie
10	Łuków	Lubelskie	Międzyrzec Podlaski	Lubelskie
10	Łuków	Lubelskie	Stoczek Łukowski	Lubelskie
25	Łuków	Lubelskie	Adamów	Lubelskie
13	Łuków	Lubelskie	Krzywda	Lubelskie
338	Łuków	Lubelskie	Łuków	Lubelskie
26	Łuków	Lubelskie	Stanin	Lubelskie
135	Łuków	Lubelskie	Trzebieszów	Lubelskie
24	Łuków	Lubelskie	Wojcieszków	Lubelskie
23	Łuków	Lubelskie	Radzyń Podlaski	Lubelskie
13	Łuków	Lubelskie	Ulan-Majorat	Lubelskie
11	Łuków	Lubelskie	Biała Podlaska	Lubelskie
149	Łuków	Lubelskie	Lublin	Lubelskie
15	Łuków	Lubelskie	Siedlce	Mazowieckie
48	Łuków	Lubelskie	Wiśniew	Mazowieckie
178	Łuków	Lubelskie	Siedlce	Mazowieckie
256	Łuków	Lubelskie	Warszawa	Mazowieckie
14	Stoczek Łukowski	Lubelskie	Łuków	Lubelskie
45	Stoczek Łukowski	Lubelskie	Stoczek Łukowski	Lubelskie
18	Stoczek Łukowski	Lubelskie	Lublin	Lubelskie
10	Stoczek Łukowski	Lubelskie	Józefów	Mazowieckie
25	Stoczek Łukowski	Lubelskie	Siedlce	Mazowieckie
42	Stoczek Łukowski	Lubelskie	Warszawa	Mazowieckie
11	Adamów	Lubelskie	Trzeszczany	Lubelskie
74	Adamów	Lubelskie	Łuków	Lubelskie
19	Adamów	Lubelskie	Krzywda	Lubelskie
11	Adamów	Lubelskie	Serokomla	Lubelskie
29	Adamów	Lubelskie	Lublin	Lubelskie
49	Adamów	Lubelskie	Warszawa	Mazowieckie
96	Krzywda	Lubelskie	Łuków	Lubelskie
12	Krzywda	Lubelskie	Adamów	Lubelskie
18	Krzywda	Lubelskie	Łuków	Lubelskie
16	Krzywda	Lubelskie	Stanin	Lubelskie
154	Krzywda	Lubelskie	Parczew - miasto	Lubelskie
88	Krzywda	Lubelskie	Lublin	Lubelskie
13	Krzywda	Lubelskie	Garwolin	Mazowieckie
14	Krzywda	Lubelskie	Żelechów - miasto	Mazowieckie
36	Krzywda	Lubelskie	Wiązowna	Mazowieckie
20	Krzywda	Lubelskie	Zielonka	Mazowieckie
11	Krzywda	Lubelskie	Siedlce	Mazowieckie
102	Krzywda	Lubelskie	Warszawa	Mazowieckie
1006	Łuków	Lubelskie	Łuków	Lubelskie
16	Łuków	Lubelskie	Stanin	Lubelskie
121	Łuków	Lubelskie	Trzebieszów	Lubelskie
11	Łuków	Lubelskie	Radzyń Podlaski	Lubelskie
10	Łuków	Lubelskie	Ulan-Majorat	Lubelskie
274	Łuków	Lubelskie	Lublin	Lubelskie
10	Łuków	Lubelskie	Mińsk Mazowiecki	Mazowieckie
18	Łuków	Lubelskie	Siedlce	Mazowieckie
60	Łuków	Lubelskie	Wiśniew	Mazowieckie
142	Łuków	Lubelskie	Siedlce	Mazowieckie
160	Łuków	Lubelskie	Warszawa	Mazowieckie
29	Serokomla	Lubelskie	Trzeszczany	Lubelskie
47	Serokomla	Lubelskie	Łuków	Lubelskie
13	Serokomla	Lubelskie	Adamów	Lubelskie
10	Serokomla	Lubelskie	Łuków	Lubelskie
52	Serokomla	Lubelskie	Lublin	Lubelskie
25	Serokomla	Lubelskie	Warszawa	Mazowieckie
224	Stanin	Lubelskie	Łuków	Lubelskie
25	Stanin	Lubelskie	Krzywda	Lubelskie
61	Stanin	Lubelskie	Łuków	Lubelskie
14	Stanin	Lubelskie	Stoczek Łukowski	Lubelskie
48	Stanin	Lubelskie	Lublin	Lubelskie
27	Stanin	Lubelskie	Olszewo-Borki	Mazowieckie
14	Stanin	Lubelskie	Siedlce	Mazowieckie
85	Stanin	Lubelskie	Warszawa	Mazowieckie
16	Stoczek Łukowski	Lubelskie	Wrocław	Dolnośląskie
63	Stoczek Łukowski	Lubelskie	Łuków	Lubelskie
93	Stoczek Łukowski	Lubelskie	Stoczek Łukowski	Lubelskie
16	Stoczek Łukowski	Lubelskie	Adamów	Lubelskie
164	Stoczek Łukowski	Lubelskie	Lublin	Lubelskie
22	Stoczek Łukowski	Lubelskie	Garwolin	Mazowieckie
10	Stoczek Łukowski	Lubelskie	Olszewo-Borki	Mazowieckie
25	Stoczek Łukowski	Lubelskie	Józefów	Mazowieckie
18	Stoczek Łukowski	Lubelskie	Zielonka	Mazowieckie
37	Stoczek Łukowski	Lubelskie	Siedlce	Mazowieckie
168	Stoczek Łukowski	Lubelskie	Warszawa	Mazowieckie
17	Trzebieszów	Lubelskie	Międzyrzec Podlaski	Lubelskie
39	Trzebieszów	Lubelskie	Międzyrzec Podlaski	Lubelskie
196	Trzebieszów	Lubelskie	Łuków	Lubelskie
43	Trzebieszów	Lubelskie	Łuków	Lubelskie
92	Trzebieszów	Lubelskie	Lublin	Lubelskie
14	Trzebieszów	Lubelskie	Zbuczyn	Mazowieckie
83	Trzebieszów	Lubelskie	Siedlce	Mazowieckie
52	Trzebieszów	Lubelskie	Warszawa	Mazowieckie
14	Wojcieszków	Lubelskie	Trzeszczany	Lubelskie
175	Wojcieszków	Lubelskie	Łuków	Lubelskie
28	Wojcieszków	Lubelskie	Adamów	Lubelskie
20	Wojcieszków	Lubelskie	Krzywda	Lubelskie
34	Wojcieszków	Lubelskie	Łuków	Lubelskie
36	Wojcieszków	Lubelskie	Lublin	Lubelskie
16	Wojcieszków	Lubelskie	Siedlce	Mazowieckie
59	Wojcieszków	Lubelskie	Warszawa	Mazowieckie
25	Wola Mysłowska	Lubelskie	Łuków	Lubelskie
10	Wola Mysłowska	Lubelskie	Łuków	Lubelskie
22	Wola Mysłowska	Lubelskie	Parczew - miasto	Lubelskie
31	Wola Mysłowska	Lubelskie	Lublin	Lubelskie
40	Wola Mysłowska	Lubelskie	Garwolin	Mazowieckie
24	Wola Mysłowska	Lubelskie	Żelechów - miasto	Mazowieckie
65	Wola Mysłowska	Lubelskie	Warszawa	Mazowieckie
33	Chodel	Lubelskie	Kraśnik	Lubelskie
30	Chodel	Lubelskie	Bełżyce - miasto	Lubelskie
30	Chodel	Lubelskie	Bełżyce - obszar wiejski	Lubelskie
54	Chodel	Lubelskie	Opole Lubelskie - miasto	Lubelskie
37	Chodel	Lubelskie	Poniatowa - miasto	Lubelskie
138	Chodel	Lubelskie	Lublin	Lubelskie
12	Chodel	Lubelskie	Warszawa	Mazowieckie
61	Józefów nad Wisłą	Lubelskie	Kraśnik	Lubelskie
51	Józefów nad Wisłą	Lubelskie	Opole Lubelskie - miasto	Lubelskie
20	Józefów nad Wisłą	Lubelskie	Opole Lubelskie - obszar wiejski	Lubelskie
43	Józefów nad Wisłą	Lubelskie	Lublin	Lubelskie
28	Karczmiska	Lubelskie	Lubartów	Lubelskie
98	Karczmiska	Lubelskie	Opole Lubelskie - miasto	Lubelskie
46	Karczmiska	Lubelskie	Poniatowa - miasto	Lubelskie
17	Karczmiska	Lubelskie	Wilków	Lubelskie
57	Karczmiska	Lubelskie	Puławy	Lubelskie
45	Karczmiska	Lubelskie	Kazimierz Dolny - miasto	Lubelskie
21	Karczmiska	Lubelskie	Wąwolnica	Lubelskie
82	Karczmiska	Lubelskie	Lublin	Lubelskie
11	Karczmiska	Lubelskie	Warszawa	Mazowieckie
62	Łaziska	Lubelskie	Opole Lubelskie - miasto	Lubelskie
13	Łaziska	Lubelskie	Wilków	Lubelskie
44	Łaziska	Lubelskie	Lublin	Lubelskie
13	Opole Lubelskie - miasto	Lubelskie	Józefów nad Wisłą	Lubelskie
32	Opole Lubelskie - miasto	Lubelskie	Karczmiska	Lubelskie
38	Opole Lubelskie - miasto	Lubelskie	Łaziska	Lubelskie
42	Opole Lubelskie - miasto	Lubelskie	Opole Lubelskie - obszar wiejski	Lubelskie
46	Opole Lubelskie - miasto	Lubelskie	Poniatowa - miasto	Lubelskie
11	Opole Lubelskie - miasto	Lubelskie	Wilków	Lubelskie
12	Opole Lubelskie - miasto	Lubelskie	Puławy	Lubelskie
116	Opole Lubelskie - miasto	Lubelskie	Lublin	Lubelskie
31	Opole Lubelskie - miasto	Lubelskie	Warszawa	Mazowieckie
13	Opole Lubelskie - miasto	Lubelskie	Katowice	Śląskie
12	Opole Lubelskie - obszar wiejski	Lubelskie	Kraśnik	Lubelskie
15	Opole Lubelskie - obszar wiejski	Lubelskie	Lubartów	Lubelskie
27	Opole Lubelskie - obszar wiejski	Lubelskie	Chodel	Lubelskie
12	Opole Lubelskie - obszar wiejski	Lubelskie	Józefów nad Wisłą	Lubelskie
28	Opole Lubelskie - obszar wiejski	Lubelskie	Łaziska	Lubelskie
297	Opole Lubelskie - obszar wiejski	Lubelskie	Opole Lubelskie - miasto	Lubelskie
74	Opole Lubelskie - obszar wiejski	Lubelskie	Poniatowa - miasto	Lubelskie
101	Opole Lubelskie - obszar wiejski	Lubelskie	Lublin	Lubelskie
20	Opole Lubelskie - obszar wiejski	Lubelskie	Warszawa	Mazowieckie
30	Poniatowa - miasto	Lubelskie	Bełżyce - miasto	Lubelskie
19	Poniatowa - miasto	Lubelskie	Bełżyce - obszar wiejski	Lubelskie
23	Poniatowa - miasto	Lubelskie	Chodel	Lubelskie
22	Poniatowa - miasto	Lubelskie	Karczmiska	Lubelskie
147	Poniatowa - miasto	Lubelskie	Opole Lubelskie - miasto	Lubelskie
41	Poniatowa - miasto	Lubelskie	Poniatowa - obszar wiejski	Lubelskie
13	Poniatowa - miasto	Lubelskie	Puławy	Lubelskie
22	Poniatowa - miasto	Lubelskie	Nałęczów - miasto	Lubelskie
186	Poniatowa - miasto	Lubelskie	Lublin	Lubelskie
29	Poniatowa - miasto	Lubelskie	Warszawa	Mazowieckie
53	Poniatowa - obszar wiejski	Lubelskie	Lubartów	Lubelskie
13	Poniatowa - obszar wiejski	Lubelskie	Bełżyce - miasto	Lubelskie
18	Poniatowa - obszar wiejski	Lubelskie	Bełżyce - obszar wiejski	Lubelskie
17	Poniatowa - obszar wiejski	Lubelskie	Chodel	Lubelskie
11	Poniatowa - obszar wiejski	Lubelskie	Karczmiska	Lubelskie
59	Poniatowa - obszar wiejski	Lubelskie	Opole Lubelskie - miasto	Lubelskie
168	Poniatowa - obszar wiejski	Lubelskie	Poniatowa - miasto	Lubelskie
11	Poniatowa - obszar wiejski	Lubelskie	Wąwolnica	Lubelskie
110	Poniatowa - obszar wiejski	Lubelskie	Lublin	Lubelskie
21	Poniatowa - obszar wiejski	Lubelskie	Warszawa	Mazowieckie
13	Wilków	Lubelskie	Łaziska	Lubelskie
23	Wilków	Lubelskie	Opole Lubelskie - miasto	Lubelskie
39	Wilków	Lubelskie	Puławy	Lubelskie
17	Wilków	Lubelskie	Kazimierz Dolny - miasto	Lubelskie
45	Wilków	Lubelskie	Lublin	Lubelskie
122	Dębowa Kłoda	Lubelskie	Parczew - miasto	Lubelskie
11	Dębowa Kłoda	Lubelskie	Radzyń Podlaski	Lubelskie
42	Dębowa Kłoda	Lubelskie	Lublin	Lubelskie
27	Dębowa Kłoda	Lubelskie	Warszawa	Mazowieckie
17	Dębowa Kłoda	Lubelskie	Pszczyna - obszar wiejski	Śląskie
10	Jabłoń	Lubelskie	Wisznice	Lubelskie
10	Jabłoń	Lubelskie	Lubartów	Lubelskie
90	Jabłoń	Lubelskie	Parczew - miasto	Lubelskie
26	Jabłoń	Lubelskie	Lublin	Lubelskie
29	Jabłoń	Lubelskie	Warszawa	Mazowieckie
110	Milanów	Lubelskie	Parczew - miasto	Lubelskie
25	Milanów	Lubelskie	Radzyń Podlaski	Lubelskie
29	Milanów	Lubelskie	Lublin	Lubelskie
17	Milanów	Lubelskie	Warszawa	Mazowieckie
21	Parczew - miasto	Lubelskie	Dębowa Kłoda	Lubelskie
25	Parczew - miasto	Lubelskie	Jabłoń	Lubelskie
19	Parczew - miasto	Lubelskie	Milanów	Lubelskie
57	Parczew - miasto	Lubelskie	Parczew - obszar wiejski	Lubelskie
26	Parczew - miasto	Lubelskie	Siemień	Lubelskie
23	Parczew - miasto	Lubelskie	Radzyń Podlaski	Lubelskie
83	Parczew - miasto	Lubelskie	Lublin	Lubelskie
31	Parczew - miasto	Lubelskie	Warszawa	Mazowieckie
11	Parczew - obszar wiejski	Lubelskie	Milanów	Lubelskie
288	Parczew - obszar wiejski	Lubelskie	Parczew - miasto	Lubelskie
15	Parczew - obszar wiejski	Lubelskie	Radzyń Podlaski	Lubelskie
39	Parczew - obszar wiejski	Lubelskie	Lublin	Lubelskie
10	Parczew - obszar wiejski	Lubelskie	Warszawa	Mazowieckie
12	Podedwórze	Lubelskie	Parczew - miasto	Lubelskie
32	Siemień	Lubelskie	Lubartów	Lubelskie
18	Siemień	Lubelskie	Łęczna - miasto	Lubelskie
12	Siemień	Lubelskie	Milanów	Lubelskie
194	Siemień	Lubelskie	Parczew - miasto	Lubelskie
10	Siemień	Lubelskie	Parczew - obszar wiejski	Lubelskie
20	Siemień	Lubelskie	Radzyń Podlaski	Lubelskie
12	Siemień	Lubelskie	Wohyń	Lubelskie
83	Siemień	Lubelskie	Lublin	Lubelskie
16	Siemień	Lubelskie	Warszawa	Mazowieckie
23	Sosnowica	Lubelskie	Łęczna - miasto	Lubelskie
46	Sosnowica	Lubelskie	Puchaczów	Lubelskie
38	Sosnowica	Lubelskie	Parczew - miasto	Lubelskie
39	Sosnowica	Lubelskie	Lublin	Lubelskie
10	Sosnowica	Lubelskie	Warszawa	Mazowieckie
10	Puławy	Lubelskie	Wrocław	Dolnośląskie
17	Puławy	Lubelskie	Garbów	Lubelskie
11	Puławy	Lubelskie	Karczmiska	Lubelskie
15	Puławy	Lubelskie	Poniatowa - miasto	Lubelskie
10	Puławy	Lubelskie	Wilków	Lubelskie
10	Puławy	Lubelskie	Baranów	Lubelskie
69	Puławy	Lubelskie	Janowiec	Lubelskie
102	Puławy	Lubelskie	Kazimierz Dolny - miasto	Lubelskie
11	Puławy	Lubelskie	Kazimierz Dolny - obszar wiejski	Lubelskie
126	Puławy	Lubelskie	Końskowola	Lubelskie
31	Puławy	Lubelskie	Kurów	Lubelskie
13	Puławy	Lubelskie	Markuszów	Lubelskie
34	Puławy	Lubelskie	Nałęczów - miasto	Lubelskie
10	Puławy	Lubelskie	Nałęczów - obszar wiejski	Lubelskie
179	Puławy	Lubelskie	Puławy	Lubelskie
44	Puławy	Lubelskie	Wąwolnica	Lubelskie
42	Puławy	Lubelskie	Żyrzyn	Lubelskie
105	Puławy	Lubelskie	Dęblin	Lubelskie
26	Puławy	Lubelskie	Ryki - miasto	Lubelskie
361	Puławy	Lubelskie	Lublin	Lubelskie
13	Puławy	Lubelskie	Kraków	Małopolskie
11	Puławy	Lubelskie	Tarnów	Małopolskie
16	Puławy	Lubelskie	Gniewoszów	Mazowieckie
168	Puławy	Lubelskie	Warszawa	Mazowieckie
10	Puławy	Lubelskie	Poznań	Wielkopolskie
