"","Country","Year","5P","25P","AVG/50P","75P","95P"
"83","Iran, Islamic Rep. of",2019,278,379,443,512,592
"84","Iran, Islamic Rep. of",2015,248,367,431,504,583
"85","Iran, Islamic Rep. of",2011,271,370,431,496,575
"86","Iran, Islamic Rep. of",2007,260,346,402,461,534
"87","Iran, Islamic Rep. of",2003,246,330,389,450,528
"88","Iran, Islamic Rep. of",1995,244,330,387,444,528
"89","Ireland",2019,414,501,548,601,665
"90","Ireland",2015,420,501,547,598,658
"91","Ireland",2011,390,479,527,580,648
"92","Ireland",1995,370,469,523,583,654
"93","Italy",2019,403,470,515,560,619
"94","Italy",2015,383,461,507,556,619
"95","Italy",2011,386,461,508,557,622
"96","Italy",2007,374,457,507,558,629
"97","Italy",2003,362,450,503,558,632
"98","Japan",2019,474,548,593,641,703
"99","Japan",2015,476,549,593,639,703
"100","Japan",2011,460,540,585,635,700
"101","Japan",2007,438,520,568,620,688
"102","Japan",2003,437,518,565,615,680
"103","Japan",1995,437,521,567,618,685
"104","Kazakhstan",2019,401,466,512,558,622
"105","Kazakhstan",2011,363,442,501,560,637
"106","Korea, Rep. of",2019,477,556,600,648,710
"107","Korea, Rep. of",2015,494,565,608,653,715
"108","Korea, Rep. of",2011,489,561,605,651,714
"109","Korea, Rep. of",1995,471,541,581,624,682
"110","Kuwait",2019,190,307,383,463,555
"111","Kuwait",2015,180,281,353,426,522
"112","Latvia",2019,427,501,546,594,650
"113","Latvia",2003,407,491,536,587,647
"114","Lithuania",2019,410,493,542,596,660
"115","Lithuania",2015,411,489,535,584,646
"116","Lithuania",2011,405,486,534,585,650
"117","Lithuania",2007,396,482,530,583,645
"118","Lithuania",2003,405,487,534,585,648
"119","Malta",2019,373,460,509,563,625
"120","Malta",2011,357,446,496,549,613
"121","Morocco",2019,220,312,383,452,555
"122","Morocco",2015,220,311,377,445,533
"123","Morocco",2011,177,261,335,404,511
"124","Netherlands",2019,432,495,538,581,634
"125","Netherlands",2015,436,492,530,569,619
"126","Netherlands",2011,449,505,540,577,623
"127","Netherlands",2007,429,495,535,577,632
"128","Netherlands",2003,448,505,540,578,627
"129","Netherlands",1995,439,506,549,593,656
"130","New Zealand",2019,338,425,487,549,634
"131","New Zealand",2015,335,432,491,553,632
"132","New Zealand",2011,339,432,486,545,614
"133","New Zealand",2007,341,436,492,553,626
"134","New Zealand",2003,346,438,493,553,623
"135","New Zealand",1995,297,410,469,535,613
"136","Northern Ireland",2019,410,510,566,627,699
"137","Northern Ireland",2015,420,514,570,630,702
"138","Northern Ireland",2011,411,511,562,622,693
"139","Norway (5)",2019,416,493,543,595,660
"140","Norway (5)",2015,430,504,549,597,661
"141","Oman",2019,263,362,431,499,602
"142","Oman",2015,256,356,425,496,587
"143","Oman",2011,208,314,385,459,548
"144","Philippines",2019,121,216,297,376,480
"145","Philippines",2003,189,280,358,431,549
"146","Poland",2019,386,471,520,573,642
"147","Poland",2015,412,487,535,585,645
"148","Portugal",2019,398,472,525,580,644
"149","Portugal",2015,420,492,541,592,657
"150","Portugal",2011,417,488,532,578,642
"151","Portugal",1995,285,386,442,505,580
"152","Qatar",2019,300,384,449,515,599
"153","Qatar",2015,279,372,439,506,597
"154","Qatar",2011,237,338,413,487,582
"155","Russian Federation",2019,451,524,567,613,675
"156","Russian Federation",2015,441,517,564,613,683
"157","Russian Federation",2011,417,493,542,593,660
"158","Russian Federation",2007,400,492,544,599,677
"159","Russian Federation",2003,401,479,532,586,658
"160","Saudi Arabia",2019,223,331,398,469,558
"161","Saudi Arabia",2015,233,321,383,446,534
"162","Saudi Arabia",2011,245,346,410,473,568
"163","Serbia",2019,356,456,508,566,639
"164","Serbia",2015,363,466,518,577,650
"165","Serbia",2011,362,461,516,574,652
"166","Singapore",2019,481,578,625,682,741
"167","Singapore",2015,458,566,618,677,746
"168","Singapore",2011,464,559,606,661,723
"169","Singapore",2007,447,548,599,659,725
"170","Singapore",2003,439,546,594,652,721
"171","Singapore",1995,414,536,590,654,731
"172","Slovak Republic",2019,368,466,510,561,626
"173","Slovak Republic",2015,354,450,498,552,618
"174","Slovak Republic",2011,365,460,507,561,626
"175","Slovak Republic",2007,350,446,496,553,623
"176","South Africa (5)",2019,222,301,374,439,552
"177","South Africa (5)",2015,219,303,376,443,554
"178","Spain",2019,378,453,502,554,617
"179","Spain",2015,388,459,505,554,614
"180","Spain",2011,362,435,482,532,593
"181","Sweden",2019,396,474,521,571,640
"182","Sweden",2015,398,475,519,567,626
"183","Sweden",2011,388,462,504,549,610
"184","Sweden",2007,388,459,503,548,608
"185","United Arab Emirates",2019,316,412,481,553,638
"186","United Arab Emirates",2015,276,377,452,527,623
"187","United Arab Emirates",2011,270,366,434,504,593
"188","United States",2019,383,480,535,594,663
"189","United States",2015,398,485,539,596,667
"190","United States",2011,410,492,541,593,660
"191","United States",2007,401,479,529,581,650
"192","United States",2003,387,467,518,572,639
"193","United States",1995,374,465,518,575,643
