"","endTime","artistName","trackName","msPlayed","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"345","2020-12-29 13:24","The Replacements","Androgynous",190853,0.476,0.361,11,-9.312,1,0.0287,0.518,0,0.0817,0.389,106.484,"audio_features","3fnL2JDgy4QD04araOl0eY","spotify:track:3fnL2JDgy4QD04araOl0eY","https://api.spotify.com/v1/tracks/3fnL2JDgy4QD04araOl0eY","https://api.spotify.com/v1/audio-analysis/3fnL2JDgy4QD04araOl0eY",190853,4
"346","2020-12-29 13:28","Cocteau Twins","Cherry-coloured Funk",192466,0.49,0.652,2,-5.813,1,0.0274,0.00196,6.24e-05,0.0991,0.339,90.085,"audio_features","37pKTyMwalomKCZjxTc2QZ","spotify:track:37pKTyMwalomKCZjxTc2QZ","https://api.spotify.com/v1/tracks/37pKTyMwalomKCZjxTc2QZ","https://api.spotify.com/v1/audio-analysis/37pKTyMwalomKCZjxTc2QZ",192467,4
"347","2020-12-29 13:33","Mazzy Star","Fade Into You",295600,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,"audio_features","1LzNfuep1bnAUR9skqdHCK","spotify:track:1LzNfuep1bnAUR9skqdHCK","https://api.spotify.com/v1/tracks/1LzNfuep1bnAUR9skqdHCK","https://api.spotify.com/v1/audio-analysis/1LzNfuep1bnAUR9skqdHCK",295600,3
"348","2020-12-29 13:37","The Smiths","There Is a Light That Never Goes Out - 2011 Remaster",244586,0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,"audio_features","0WQiDwKJclirSYG9v5tayI","spotify:track:0WQiDwKJclirSYG9v5tayI","https://api.spotify.com/v1/tracks/0WQiDwKJclirSYG9v5tayI","https://api.spotify.com/v1/audio-analysis/0WQiDwKJclirSYG9v5tayI",244587,4
"349","2020-12-29 13:42","Yo La Tengo","Autumn Sweater",318373,0.628,0.455,7,-12.436,1,0.0427,0.142,0.693,0.135,0.858,102.09,"audio_features","19Qi2Cymjh7HDQESDrDBzs","spotify:track:19Qi2Cymjh7HDQESDrDBzs","https://api.spotify.com/v1/tracks/19Qi2Cymjh7HDQESDrDBzs","https://api.spotify.com/v1/audio-analysis/19Qi2Cymjh7HDQESDrDBzs",318373,4
"350","2020-12-29 13:47","New Order","Age of Consent - 2015 Remaster",315333,0.372,0.91,2,-5.559,1,0.0392,0.00101,0.0944,0.13,0.756,161.964,"audio_features","2EEinN4Zk8MUv4OQuLsTBj","spotify:track:2EEinN4Zk8MUv4OQuLsTBj","https://api.spotify.com/v1/tracks/2EEinN4Zk8MUv4OQuLsTBj","https://api.spotify.com/v1/audio-analysis/2EEinN4Zk8MUv4OQuLsTBj",315333,4
"351","2020-12-29 13:50","Big Star","Thirteen",154480,0.457,0.268,0,-14.371,0,0.0319,0.674,5.77e-06,0.11,0.348,117.141,"audio_features","3BQLTtpQOYGXQY2lT3ZZeU","spotify:track:3BQLTtpQOYGXQY2lT3ZZeU","https://api.spotify.com/v1/tracks/3BQLTtpQOYGXQY2lT3ZZeU","https://api.spotify.com/v1/audio-analysis/3BQLTtpQOYGXQY2lT3ZZeU",154667,4
"352","2020-12-29 13:52","Joy Division","Love Will Tear Us Apart - 2010 Remaster",108571,0.525,0.902,2,-8.662,1,0.0368,0.000989,0.691,0.137,0.907,146.83,"audio_features","1r8oPEXqnhUVgkUkJNqEuF","spotify:track:1r8oPEXqnhUVgkUkJNqEuF","https://api.spotify.com/v1/tracks/1r8oPEXqnhUVgkUkJNqEuF","https://api.spotify.com/v1/audio-analysis/1r8oPEXqnhUVgkUkJNqEuF",204621,4
"353","2020-12-29 13:56","Joy Division","Disorder - 2007 Remaster",208608,0.32,0.798,10,-7.078,0,0.124,0.00033,0.692,0.176,0.74,84.696,"audio_features","5fbQCQt91LsVgXusFS0CCD","spotify:track:5fbQCQt91LsVgXusFS0CCD","https://api.spotify.com/v1/tracks/5fbQCQt91LsVgXusFS0CCD","https://api.spotify.com/v1/audio-analysis/5fbQCQt91LsVgXusFS0CCD",209040,4
"354","2020-12-29 14:01","Joy Division","Day of the Lords - 2007 Remaster",287509,0.317,0.599,9,-8.434,1,0.0321,1.9e-05,0.897,0.122,0.113,124.492,"audio_features","33yz4pZitBJaa7eXSW5Dxs","spotify:track:33yz4pZitBJaa7eXSW5Dxs","https://api.spotify.com/v1/tracks/33yz4pZitBJaa7eXSW5Dxs","https://api.spotify.com/v1/audio-analysis/33yz4pZitBJaa7eXSW5Dxs",287573,4
