"","Date","stringency_index"
"90","2020-03-30",57.41
"91","2020-03-31",81.48
"92","2020-04-01",81.48
"93","2020-04-02",81.48
"94","2020-04-03",81.48
"95","2020-04-04",81.48
"96","2020-04-05",81.48
"97","2020-04-06",81.48
"98","2020-04-07",81.48
"99","2020-04-08",81.48
"100","2020-04-09",83.33
"101","2020-04-10",83.33
"102","2020-04-11",83.33
"103","2020-04-12",83.33
"104","2020-04-13",83.33
"105","2020-04-14",83.33
"106","2020-04-15",83.33
"107","2020-04-16",83.33
"108","2020-04-17",83.33
"109","2020-04-18",83.33
"110","2020-04-19",83.33
"111","2020-04-20",83.33
"112","2020-04-21",83.33
"113","2020-04-22",83.33
"114","2020-04-23",83.33
"115","2020-04-24",83.33
"116","2020-04-25",83.33
"117","2020-04-26",83.33
"118","2020-04-27",83.33
"119","2020-04-28",83.33
"120","2020-04-29",83.33
"121","2020-04-30",83.33
"122","2020-05-01",83.33
"123","2020-05-02",83.33
"124","2020-05-03",83.33
"125","2020-05-04",83.33
"126","2020-05-05",83.33
"127","2020-05-06",83.33
"128","2020-05-07",83.33
"129","2020-05-08",83.33
"130","2020-05-09",83.33
"131","2020-05-10",83.33
"132","2020-05-11",83.33
"133","2020-05-12",83.33
"134","2020-05-13",83.33
"135","2020-05-14",83.33
"136","2020-05-15",83.33
"137","2020-05-16",83.33
"138","2020-05-17",83.33
"139","2020-05-18",83.33
"140","2020-05-19",83.33
"141","2020-05-20",83.33
"142","2020-05-21",83.33
"143","2020-05-22",83.33
"144","2020-05-23",83.33
"145","2020-05-24",83.33
"146","2020-05-25",79.63
"147","2020-05-26",79.63
"148","2020-05-27",79.63
"149","2020-05-28",79.63
"150","2020-05-29",79.63
"151","2020-05-30",64.81
"152","2020-05-31",64.81
"153","2020-06-01",64.81
"154","2020-06-02",53.7
"155","2020-06-03",53.7
"156","2020-06-04",53.7
"157","2020-06-05",53.7
"158","2020-06-06",53.7
"159","2020-06-07",53.7
"160","2020-06-08",53.7
"161","2020-06-09",53.7
"162","2020-06-10",53.7
"163","2020-06-11",53.7
"164","2020-06-12",53.7
"165","2020-06-13",53.7
"166","2020-06-14",53.7
"167","2020-06-15",50.93
"168","2020-06-16",50.93
"169","2020-06-17",50.93
"170","2020-06-18",50.93
"171","2020-06-19",50.93
"172","2020-06-20",50.93
"173","2020-06-21",50.93
"174","2020-06-22",50.93
"175","2020-06-23",50.93
"176","2020-06-24",50.93
"177","2020-06-25",50.93
"178","2020-06-26",50.93
"179","2020-06-27",50.93
"180","2020-06-28",50.93
"181","2020-06-29",50.93
"182","2020-06-30",50.93
"183","2020-07-01",50.93
"184","2020-07-02",50.93
"185","2020-07-03",50.93
"186","2020-07-04",50.93
"187","2020-07-05",50.93
"188","2020-07-06",50.93
"189","2020-07-07",50.93
"190","2020-07-08",50.93
"191","2020-07-09",39.81
"192","2020-07-10",39.81
"193","2020-07-11",39.81
"194","2020-07-12",39.81
"195","2020-07-13",39.81
"196","2020-07-14",39.81
"197","2020-07-15",39.81
"198","2020-07-16",39.81
"199","2020-07-17",39.81
"200","2020-07-18",39.81
"201","2020-07-19",39.81
"202","2020-07-20",39.81
"203","2020-07-21",39.81
"204","2020-07-22",39.81
"205","2020-07-23",39.81
"206","2020-07-24",39.81
"207","2020-07-25",39.81
"208","2020-07-26",39.81
"209","2020-07-27",39.81
"210","2020-07-28",39.81
"211","2020-07-29",39.81
"212","2020-07-30",39.81
"213","2020-07-31",39.81
"214","2020-08-01",39.81
"215","2020-08-02",39.81
"216","2020-08-03",39.81
"217","2020-08-04",39.81
"218","2020-08-05",39.81
"219","2020-08-06",39.81
"220","2020-08-07",39.81
"221","2020-08-08",39.81
"222","2020-08-09",39.81
"223","2020-08-10",39.81
"224","2020-08-11",39.81
"225","2020-08-12",39.81
"226","2020-08-13",39.81
"227","2020-08-14",39.81
"228","2020-08-15",39.81
"229","2020-08-16",39.81
"230","2020-08-17",39.81
"231","2020-08-18",39.81
"232","2020-08-19",39.81
"233","2020-08-20",39.81
"234","2020-08-21",39.81
"235","2020-08-22",39.81
"236","2020-08-23",39.81
"237","2020-08-24",39.81
"238","2020-08-25",39.81
"239","2020-08-26",39.81
"240","2020-08-27",39.81
"241","2020-08-28",39.81
"242","2020-08-29",39.81
"243","2020-08-30",39.81
"244","2020-08-31",39.81
"245","2020-09-01",36.11
"246","2020-09-02",36.11
"247","2020-09-03",36.11
"248","2020-09-04",36.11
"249","2020-09-05",36.11
"250","2020-09-06",36.11
"251","2020-09-07",36.11
"252","2020-09-08",36.11
"253","2020-09-09",36.11
"254","2020-09-10",36.11
"255","2020-09-11",36.11
"256","2020-09-12",36.11
"257","2020-09-13",36.11
"258","2020-09-14",36.11
"259","2020-09-15",36.11
"260","2020-09-16",36.11
"261","2020-09-17",36.11
"262","2020-09-18",23.15
"263","2020-09-19",23.15
"264","2020-09-20",23.15
"265","2020-09-21",23.15
"266","2020-09-22",23.15
"267","2020-09-23",23.15
"268","2020-09-24",23.15
"269","2020-09-25",23.15
"270","2020-09-26",23.15
"271","2020-09-27",23.15
"272","2020-09-28",23.15
"273","2020-09-29",23.15
"274","2020-09-30",23.15
"275","2020-10-01",23.15
"276","2020-10-02",23.15
"277","2020-10-03",23.15
"278","2020-10-04",23.15
"279","2020-10-05",23.15
"280","2020-10-06",23.15
"281","2020-10-07",23.15
"282","2020-10-08",23.15
"283","2020-10-09",23.15
"284","2020-10-10",37.04
"285","2020-10-11",37.04
"286","2020-10-12",37.04
"287","2020-10-13",37.04
"288","2020-10-14",37.04
"289","2020-10-15",37.04
"290","2020-10-16",37.04
"291","2020-10-17",32.87
"292","2020-10-18",32.87
"293","2020-10-19",34.72
"294","2020-10-20",34.72
"295","2020-10-21",34.72
"296","2020-10-22",34.72
"297","2020-10-23",34.72
"298","2020-10-24",71.3
"299","2020-10-25",71.3
"300","2020-10-26",71.3
"301","2020-10-27",71.3
"302","2020-10-28",71.3
"303","2020-10-29",71.3
"304","2020-10-30",71.3
"305","2020-10-31",71.3
"306","2020-11-01",71.3
"307","2020-11-02",71.3
"308","2020-11-03",71.3
"309","2020-11-04",71.3
"310","2020-11-05",71.3
"311","2020-11-06",71.3
"312","2020-11-07",71.3
"313","2020-11-08",71.3
"314","2020-11-09",71.3
"315","2020-11-10",71.3
"316","2020-11-11",71.3
"317","2020-11-12",71.3
"318","2020-11-13",71.3
"319","2020-11-14",71.3
"320","2020-11-15",71.3
"321","2020-11-16",71.3
"322","2020-11-17",71.3
"323","2020-11-18",71.3
"324","2020-11-19",71.3
"325","2020-11-20",71.3
"326","2020-11-21",71.3
"327","2020-11-22",71.3
"328","2020-11-23",71.3
"329","2020-11-24",71.3
"330","2020-11-25",71.3
"331","2020-11-26",71.3
"332","2020-11-27",71.3
"333","2020-11-28",71.3
