Zmienna;Jednostka terytorialna;Jednostka;Rodzaj obiektu noclegowego;Kraj turysty;Rok;Miesi¹c;Wartoœæ
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Hong Kong;2019;3;967
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Indie;2019;3;5702
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Irlandia;2019;3;14084
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Izrael;2019;3;56706
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Japonia;2019;3;9260
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Kanada;2019;3;4866
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Litwa;2019;3;16074
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Luksemburg;2019;3;945
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;£otwa;2019;3;6183
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Malta;2019;3;1405
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Niemcy;2019;3;401412
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Norwegia;2019;3;29935
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Polska;2019;3;4358860
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Portugalia;2019;3;5643
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Republika Korei;2019;3;10247
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Rosja;2019;3;32809
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Rumunia;2019;3;7956
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;S³owacja;2019;3;17933
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;S³owenia;2019;3;2341
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Szwajcaria;2019;3;6860
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Szwecja;2019;3;27907
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Tajwan;2019;3;641
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Turcja;2019;3;6910
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Ukraina;2019;3;141513
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;USA;2019;3;50522
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Wêgry;2019;3;13053
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Wielka Brytania;2019;3;127498
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;W³ochy;2019;3;50829
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Ogó³em;2019;3;3706066
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Zagranica;2019;3;1083969
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Australia;2019;3;2455
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Austria;2019;3;7512
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Belgia;2019;3;11525
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Bia³oruœ;2019;3;16462
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Brazylia;2019;3;2114
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Bu³garia;2019;3;2172
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Chiny (bez Tajwanu);2019;3;15026
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Cypr;2019;3;863
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Czechy;2019;3;16770
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Dania;2019;3;15447
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Estonia;2019;3;3335
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Finlandia;2019;3;13187
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Francja;2019;3;29986
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Grecja;2019;3;5731
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Hiszpania;2019;3;19950
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Holandia;2019;3;21383
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Hong Kong;2019;3;908
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Indie;2019;3;4833
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Irlandia;2019;3;13297
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Izrael;2019;3;55077
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Japonia;2019;3;8856
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Kanada;2019;3;4565
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Litwa;2019;3;14939
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Luksemburg;2019;3;839
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;£otwa;2019;3;5752
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Malta;2019;3;1360
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Niemcy;2019;3;298424
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Norwegia;2019;3;28595
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Polska;2019;3;2622097
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Portugalia;2019;3;5160
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Republika Korei;2019;3;10059
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Rosja;2019;3;29122
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Rumunia;2019;3;7205
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;S³owacja;2019;3;16194
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;S³owenia;2019;3;2251
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Szwajcaria;2019;3;6646
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Szwecja;2019;3;26046
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Tajwan;2019;3;588
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Turcja;2019;3;5213
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Ukraina;2019;3;86873
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;USA;2019;3;47150
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Wêgry;2019;3;11604
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;Wielka Brytania;2019;3;118965
Noclegi udzielone turystom;Polska;osobonoc;obiekt hotelowy;W³ochy;2019;3;48250
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Ogó³em;2019;4;5958335
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Zagranica;2019;4;1430554
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Australia;2019;4;4680
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Austria;2019;4;11112
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Belgia;2019;4;17622
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Bia³oruœ;2019;4;15405
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Brazylia;2019;4;2527
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Bu³garia;2019;4;2553
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Chiny (bez Tajwanu);2019;4;18299
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Cypr;2019;4;821
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Czechy;2019;4;21671
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Dania;2019;4;21160
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Estonia;2019;4;5295
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Finlandia;2019;4;20631
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Francja;2019;4;42676
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Grecja;2019;4;7364
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Hiszpania;2019;4;37387
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Holandia;2019;4;24608
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Hong Kong;2019;4;1680
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Indie;2019;4;5697
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Irlandia;2019;4;11379
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Izrael;2019;4;50448
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Japonia;2019;4;10347
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Kanada;2019;4;4893
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Litwa;2019;4;18776
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Luksemburg;2019;4;901
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;£otwa;2019;4;7379
Noclegi udzielone turystom;Polska;osobonoc;ogó³em;Malta;2019;4;984
